feature_id,feature_name,module,primary_wave,foundation_dependencies,implementation_order_rule,authorization,status
F001,Leads,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F002,Accounts / companies,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F003,Contacts,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F004,Lead sources,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F005,Lead assignment,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F006,Lead qualification,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F007,Lead stages and statuses,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F008,Duplicate detection,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F009,Opportunities,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F010,Opportunity pipeline,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F011,Probability and expected revenue,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F012,Sales stages,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F013,Calls,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
