finding_id,priority,category,scope,affected_ids,evidence,risk,remediation,acceptance_test,owner_ai_role,freeze_blocking,status,last_reviewed_on
AUD-P0-001,P0,Shared platform authority,Shared platform,36 shared-platform requirements,"Final Pass A materialized exact SP001-SP036 authority, 36 specification-ready dossiers, atomic requirements, primary-source evidence, dependencies, tests/UAT and validator. | Pass A: SP001-SP036 exact authority + 36 dossiers/requirements/tests/UAT.","Architecture can omit or contradict tenancy, auth, billing, audit, jobs, files, integrations, DR, accessibility, mobile/offline and AI platform behavior.",Supply the founder-approved exact 36 shared-platform requirement identities/names and materialize a governed register/specification pack without assigning F511+.,"SHARED_PLATFORM_REGISTER.csv exists with exactly 36 unique approved identities/names; each has requirements, security, tests/UAT, dependencies and readiness; validator passes.",Product architect / Governance AI,YES,RESOLVED,2026-08-31
AUD-P0-002,P0,End-to-end journeys,Cross-module,LEAD_TO_CASH.md;ORDER_TO_CASH.md;PROCURE_TO_PAY.md;PLAN_TO_PRODUCE.md;POS_TO_CASH.md;HIRE_TO_PAYROLL_TO_BOOKS.md;ASSET_TO_BOOKS.md;PROJECT_TO_CASH.md;SERVICE_TO_RESOLUTION.md;MANUFACTURING_QUALITY_STOCK.md,"Program-level journey contracts under docs/05-cross-module remain non-SPECIFICATION_READY: LEAD_TO_CASH.md=UNSPECIFIED, ORDER_TO_CASH.md=UNSPECIFIED, PROCURE_TO_PAY.md=UNSPECIFIED, PLAN_TO_PRODUCE.md=UNSPECIFIED, POS_TO_CASH.md=UNSPECIFIED, HIRE_TO_PAYROLL_TO_BOOKS.md=UNSPECIFIED, ASSET_TO_BOOKS.md=UNSPECIFIED, PROJECT_TO_CASH.md=UNSPECIFIED, SERVICE_TO_RESOLUTION.md=UNSPECIFIED, MANUFACTURING_QUALITY_STOCK.md=UNSPECIFIED | Pass F: 10 program journeys now SPECIFICATION_READY with retry/reversal/reconciliation/E2E/UAT.","Module-local specifications can be individually correct while cross-module transaction, retry, reversal, reconciliation and ownership semantics remain undefined.","Fully materialize the mandatory enterprise journeys with transition owners, public commands, transaction boundaries, idempotency, outbox/retry/DLQ, reversals, reconciliation, E2E and UAT.",All mandatory docs/05-cross-module journey contracts are SPECIFICATION_READY and pass a journey semantic validator with nonempty E2E/UAT mappings.,Integration architect / Journey Red-Team AI,YES,RESOLVED,2026-08-31
AUD-P0-003,P0,Journey readiness,Journey register,CRM-JRN-002,Journey register contains non-final entries: CRM-JRN-002=REVIEW_READY/DESIGN_READY | Pass F: all JOURNEY_REGISTER rows specification-ready with planned E2E/UAT IDs.,A critical handoff can escape module pass gates while the global journey validator still returns PASS.,"Resolve each non-final journey, add E2E/UAT IDs, and strengthen global journey/freeze validation to reject non-final mandatory journeys.","No mandatory journey row is below SPECIFICATION_READY and every mandatory row has contract_path, E2E IDs and UAT IDs.",Integration architect / Verification AI,YES,RESOLVED,2026-08-31
AUD-P1-001,P1,Requirement-to-test traceability,F001-F510,4806 critical requirement rows,"9879 of 18870 subrequirements have blank test_ids; 4806 blanks are in FR/BR/VAL/CALC/SEC/INT/API/E2E/UAT. | Pass F: PLANNED_VERIFICATION_REGISTER + nonblank test_ids for all 18,870 business and 1,332 shared requirements.","Implementation agents can satisfy prose without a machine-traceable verification obligation, allowing silent regression or false completion.",Assign stable planned test IDs to deterministic/security/integration/API requirements and link them to module test/E2E/UAT plans before implementation waves.,Zero APPROVED critical testable requirements have blank test_ids; every referenced test ID resolves to a declared test plan or future test manifest.,Test architect / Traceability AI,YES,RESOLVED,2026-08-31
AUD-P1-002,P1,Semantic completeness,F001-F510,All feature dossiers,"Every feature has exactly 37 subrequirements=True; exact-statement duplicate groups=73; maximum reuse=66. Current validators check IDs/type presence, not feature-specific semantic sufficiency. | Pass B: 510/510 semantic reviews + 4,080 semantic sub-capabilities.","Template-complete dossiers can pass while feature-specific state machines, invariants, edge cases or accounting consequences remain shallow.","Add semantic red-team rules, shared-standard inheritance markers, required feature-specific invariants/state transitions and sampled review evidence.",Semantic review produces no unreviewed boilerplate flags; each feature has feature-specific BR/FLOW/DATA/VAL/SEC coverage and high-duplication statements are explicitly inherited shared standards.,Domain architect / Semantic Red-Team AI,YES,RESOLVED,2026-08-31
AUD-P1-003,P1,Benchmark evidence quality,Benchmark register,80 missing access dates; semantic mismatch POS-P8-BM-006-A:F273->NPCI,"80 captured benchmark rows lack accessed_on; all 1020 captured rows lack published/updated date metadata; concrete mismatch: F273 Barcode scanning is mapped to an NPCI UPI source. | Pass D: 510/510 benchmark relevance approvals + 1,020 curated mappings.",The >=2-sources-per-feature validator can pass with authoritative but irrelevant sources or stale statutory/vendor evidence.,"Re-review benchmark-to-feature relevance, add access dates, capture update dates where available, classify statutory freshness and reject semantically irrelevant mappings.",No captured benchmark row lacks accessed_on; statutory/legal rows have freshness/effective-date evidence; known semantic mismatches are removed; sampled relevance review passes.,Research lead / Evidence QA AI,YES,RESOLVED,2026-08-31
AUD-P1-004,P1,Tenant isolation architecture,Shared platform / Database,Tenant DB transaction/RLS context,DATABASE_STANDARD mentions RLS generally but does not explicitly require a request-scoped transaction using one DB client/connection for tenant context and all request queries. | Pass E: request-scoped DB transaction/RLS architecture frozen.,"Transaction-local tenant context can be lost between pooled queries, risking cross-tenant exposure despite table-level RLS policies.","Specify BEGIN -> parameterized SET LOCAL/set_config tenant/company context -> all request queries on the same client -> COMMIT/ROLLBACK, worker/service-role boundary and DB-level cross-org negative tests.",Database/security standard contains the transaction-scoped tenant-context invariant and tests prove cross-org isolation for reads/writes/jobs under pooled connections.,Security architect / DB Isolation AI,YES,RESOLVED,2026-08-31
AUD-P1-005,P1,Operational resilience,Shared platform,Backup / restore / DR,"Backup/restore/DR appears only as an omission-audit reminder; no dedicated governed specification with RPO/RTO, restore verification, encryption, retention and disaster exercises was found. | Pass E: deployment/DR/release standard frozen.",An enterprise architecture can be frozen without a recoverability contract.,"Create backup/restore/DR standard covering RPO/RTO tiers, PITR, file/object backups, encryption/key dependency, restore drills, tenant restore policy, region failure and evidence retention.",Dedicated DR spec exists with objective RPO/RTO and automated/manual restore-test evidence requirements and is referenced by the shared-platform register.,SRE architect / Reliability AI,YES,RESOLVED,2026-08-31
AUD-P1-006,P1,Experience architecture,Shared platform / UX,Experience Kernel,No explicit Experience Kernel/design-system freeze artifact was found defining shared workspace/grid/form/board/timeline/search/command/approval/audit/loading/error/conflict/mobile patterns. | Pass E: Experience Kernel register/standard frozen.,Module specs can drift into inconsistent screens and repeated one-off UX during AI-driven implementation.,Materialize the Experience Kernel contract and map each module workspace to approved shared primitives and exceptions.,Experience Kernel artifact is approved; every major module workspace maps to primitives/states and responsive/accessibility rules; visual regression plan exists.,UX architect / Design-System AI,YES,RESOLVED,2026-08-31
AUD-P1-007,P1,AI governance,Shared platform / AI,AI product standard,"AI standard covers classes, provenance and authority limits but does not explicitly state both no-direct-DB-write and model/evaluation/prompt-data-isolation operational gates. | Pass E: AI runtime governance + no-direct-DB-write/eval/isolation/kill-switch controls frozen.",AI implementation can bypass business commands or ship without measurable safety/quality controls despite feature-level prose.,Expand AI platform standard: no direct DB writes; action authorization through normal commands; prompt/data isolation; model/version provenance; eval suites; rollback/disable; approval policy and audit.,"AI standard and shared requirement explicitly cover command-only writes, authorization-safe retrieval, provenance, evals, isolation, human approval and kill-switch/rollback.",AI architect / AI Safety QA,YES,RESOLVED,2026-08-31
