wave_id,wave_name,depends_on,go1_status,go2_status,go3_status,go4_status,go5_status,codex_qa_status,defect_loop_status,human_uat_status,final_acceptance_status,current_blocker,evidence_dir,last_updated_commit
T00,Technical safety foundation,None,RECONCILED_COMPLETE,RECONCILED_COMPLETE,RECONCILED_COMPLETE,RECONCILED_COMPLETE,RECONCILED_COMPLETE,LEGACY_EVIDENCE_ACCEPTED,CLOSED,NOT_APPLICABLE,ACCEPTED,,docs/08-implementation-plans/evidence/t00,e7c0dfe27fdd19d11a29e8b2ad9ff1628cf651ca
T01,Shared Platform + Experience Kernel,T00,RECONCILED_CANDIDATE,RECONCILED_CANDIDATE,RECONCILED_CANDIDATE,RECONCILED_CANDIDATE,RECONCILED_CANDIDATE,PENDING,NOT_STARTED,BLOCKED_BY_CODEX_QA,PENDING,Automated T01 engineering/release/live-DB certification passed; Project Manager human UAT sign-off is required before COMPLETE/PASS.,docs/08-implementation-plans/evidence/t01,3569376eb9bbbed930235dda4b462b833b0d80fe
W01,Master-data foundation,T00;T01,RECONCILIATION_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_BY_GO5,NOT_STARTED,BLOCKED_BY_CODEX_QA,BLOCKED,T01 exit gate is PENDING; master-data implementation evidence exists but dedicated wave-level live invariant/UAT acceptance is not PASS,docs/08-implementation-plans/evidence/w01,e7c0dfe27fdd19d11a29e8b2ad9ff1628cf651ca
W02,Accounting + inventory primitives,T00;T01;W01,RECONCILIATION_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_BY_GO5,NOT_STARTED,BLOCKED_BY_CODEX_QA,BLOCKED,T01/W01 exit gates are not PASS; ledger/stock primitive evidence exists but property/golden/live-concurrency wave acceptance is incomplete,docs/08-implementation-plans/evidence/w02,e7c0dfe27fdd19d11a29e8b2ad9ff1628cf651ca
W03,CRM,T01;W01,RECONCILIATION_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_BY_GO5,NOT_STARTED,BLOCKED_BY_CODEX_QA,BLOCKED,T01/W01 exit gates are not PASS; F001 human UAT remains pending and F001-F030 do not have a reconciled CRM wave exit PASS,docs/08-implementation-plans/evidence/w03,e7c0dfe27fdd19d11a29e8b2ad9ff1628cf651ca
W04,Sales,W01;W02;W03,RECONCILIATION_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_BY_GO5,NOT_STARTED,BLOCKED_BY_CODEX_QA,BLOCKED,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,docs/08-implementation-plans/evidence/w04,656ba69e302fbbf133fae0716c4dc7516d3a4a17
W05,Procurement + Stock,W01;W02,RECONCILIATION_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_BY_GO5,NOT_STARTED,BLOCKED_BY_CODEX_QA,BLOCKED,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,docs/08-implementation-plans/evidence/w05,656ba69e302fbbf133fae0716c4dc7516d3a4a17
W06,Finance integration,W02;W04;W05,RECONCILIATION_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_BY_GO5,NOT_STARTED,BLOCKED_BY_CODEX_QA,BLOCKED,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,docs/08-implementation-plans/evidence/w06,656ba69e302fbbf133fae0716c4dc7516d3a4a17
W07,Manufacturing + Quality,W05;W06,RECONCILIATION_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_BY_GO5,NOT_STARTED,BLOCKED_BY_CODEX_QA,BLOCKED,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,docs/08-implementation-plans/evidence/w07,656ba69e302fbbf133fae0716c4dc7516d3a4a17
W08,Projects + Assets,W04;W05;W06,RECONCILIATION_REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,BLOCKED_BY_GO5,NOT_STARTED,BLOCKED_BY_CODEX_QA,BLOCKED,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,docs/08-implementation-plans/evidence/w08,656ba69e302fbbf133fae0716c4dc7516d3a4a17
