source_path,capability,exported_symbols,sp_requirement_ids,related_business_requirement_ids,current_active_equivalent,target_architecture,database_dependencies,environment_variables,permissions,security_implications,tests,migration_classification,migration_status,evidence,notes
apps/web/src/core/access-control.ts,ALL_PERMISSIONS catalog import,ALL_PERMISSIONS,SP010,,packages/permissions/src/index.js ALL_PERMISSIONS/CORE_PERMISSIONS already exports the full permission-key catalog,packages/permissions (no change needed),none,none,none,none read-only catalog,tests/security/module-access.test.mjs (existing),ALREADY_LIVE_ELSEWHERE,not-applicable,packages/permissions/src/index.js:15-89 verified live,No port needed; parked file merely re-imports the live catalog.
apps/web/src/core/access-control.ts,Role templates + SoD policy (ROLE_TEMPLATES; SOD_CONFLICTS; CURRENT_MODULE_KEYS; permissionsForRole; analyzePermissionConflicts; permissionsOutsideGrantCeiling; roleIsAvailable),ROLE_TEMPLATES; ROLE_TEMPLATE_BY_SLUG; SOD_CONFLICTS; CURRENT_MODULE_KEYS; AccessModuleKey; RoleTemplate; permissionsForRole; analyzePermissionConflicts; permissionsOutsideGrantCeiling; roleIsAvailable,SP010; SP011,,none - no equivalent exists live anywhere in packages/permissions or services/api,packages/permissions/src/roles.js (policy primitive; framework-agnostic; consumed by services/api and apps/web alike),none,none,access.sod.override (referenced),Grant-ceiling + separation-of-duties logic gates role assignment; must not silently degrade blocking conflicts to warnings,services/api/tests/access-control.test.mjs (new); packages/permissions tests (new),PORT_NOW_ACCESS_SESSION,ported,packages/permissions/src/roles.js,Ported verbatim with CURRENT_MODULE_KEYS reconciled against ERP_MODULE_CATALOG (all 12 modules now released, per file's own 2026-08-08 comment).
apps/web/src/core/access-admin.ts,Access administration (role assignment validation; delegated-admin scope enforcement; role snapshots; user access state),validateRoleSelection; hasUnrestrictedAccessAdministration; assertUserWithinAdministrationScope; assertInvitationWithinAdministrationScope; validateScopeGrantCeiling; validateInvitationRolesForAcceptance; recordRoleSnapshot; getUserAccessState,SP010; SP011,,none,services/api/src/core/access-administration.js (client-injected; follows master-data.js/idempotency.js convention),tenant company/branch/department/team access tables; roles; role_permissions; role_version_snapshots,none,users.manage; roles.assign; access.sod.override,Delegated-admin scope containment (an admin cannot grant/see access outside their own company/branch/department/team scope) and privileged-role-assignment gating are the core defense against privilege escalation,services/api/tests/access-administration.test.mjs (new),PORT_NOW_ACCESS_SESSION,ported,services/api/src/core/access-administration.js,Re-reviewed: scope-containment queries preserved exactly (NOT EXISTS anti-join pattern); no weakening.
apps/web/src/core/auth.ts,Session lifecycle (password hashing; opaque session tokens; session creation/resolution/revocation; workspace/company/branch resolution),hashPassword; verifyPassword; verifyPasswordOrDummy; createOpaqueToken; tokenHash; createSession; setSessionOrganization; resolveSessionContext (internal); SessionContext; WorkspaceSessionContext,SP010,,none,services/api/src/core/session.js (client-injected DB/session-resolution logic; scrypt hashing; no Next.js import),sessions; users; organization_memberships; user_preferences; companies; branches; user_role_assignments; roles; role_permissions,SESSION_COOKIE_NAME; SESSION_ABSOLUTE_DAYS; SESSION_IDLE_MINUTES; MOBILE_SESSION_IDLE_DAYS,workspace.view (implicit baseline),"scrypt password hashing with constant-time compare; timing-safe dummy-hash comparison on unknown users (anti user-enumeration); idle+absolute session expiry; unrestricted-vs-scoped company/branch resolution via privileged-role EXISTS clause",services/api/tests/session.test.mjs (new),PORT_NOW_ACCESS_SESSION,ported,services/api/src/core/session.js,Split from the parked file (see next row for the Next.js-specific half).
apps/web/src/core/auth.ts,Next.js session wiring (cookies; headers; redirects; request-scoped cache()),setSessionCookie; clearSessionCookie; currentSessionTokenHash; revokeCurrentSession; getSessionContext; getMobileSessionContext; requireUser; requireVerifiedUser; requireWorkspace; requireApiWorkspace; nextPath,SP010,,none,apps/web/src/core/session.ts (new; thin Next.js Route Handler/Server Component wrapper that calls services/api/src/core/session.js with a client from apps/web's own pool),none (delegates to services/api/src/core/session.js),SESSION_COOKIE_NAME,workspace.view,"httpOnly/sameSite=lax/secure cookie flags; React cache() is request-scoped only, never cross-request",apps/web/tests (new; Phase 4),NEEDS_REDESIGN,ported,apps/web/src/core/session.ts,Rebuilt against the live (auth) route group rather than copied verbatim; Bearer-token mobile path preserved.
apps/web/src/core/module-access.ts,Module entitlement/permission resolution (release x tenant-enablement x billing-plan x permission composition),ModuleAccessReason; ModuleAccess; getModuleDefinition; isModuleReleased; getEnabledModuleKeys; isModuleEnabledForTenant; isModuleEntitled; isModulePermitted; resolveModuleAccess; canUserAccessModule; assertModuleAccessible; requireModuleWorkspace; getAccessibleModules,SP012,,none,services/api/src/core/module-entitlements.js (client-injected; consumes @vercentlabs/shared-types ERP_MODULE_CATALOG + services/api/src/core/entitlements.js),organization_modules,none,crm.view; sales.view; accounting.view; procurement.view; stock.view; manufacturing.view; projects.view; assets.view; pos.view; quality.view; support.view; hr_payroll.view,Fails closed on any lookup error (never defaults to granting module access); this is the sole authority the new navigation registry (Phase 7) must call - never re-implemented per-caller,services/api/tests/module-entitlements.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/module-entitlements.js,Depends on a permission-check helper (hasPermission/PERMISSIONS from @/core/authorization) that was referenced but NOT itself among the 42 recovered files - see access-control-runtime.js note below.
(gap - referenced but not recovered),Session permission-check helper,hasPermission; PERMISSIONS,SP010,,none found live under this name,services/api/src/core/access-control-runtime.js (new; hasPermission(session,key) = session.roleSlugs.includes(organization_owner) || session.permissions.includes(key), matching the inline sessionHasPermission() pattern found in shared-platform.ts:973-975),none,none,none,"This helper was imported by 6+ recovered files (module-access.ts, billing.ts is exempt, security.ts, several route handlers) but its own source file was never part of the 42 recovered files - either never captured by the archive point or lost earlier. Reconstructed from the one inline duplicate that WAS recovered (shared-platform.ts's sessionHasPermission), not invented.",services/api/tests/access-control-runtime.test.mjs (new),PORT_NOW_ACCESS_SESSION,ported,services/api/src/core/access-control-runtime.js,Flagged per the explicit instruction to never assume recovered code is complete; this gap is disclosed rather than silently patched over.
apps/web/src/core/billing.ts,Billing entitlement/usage summary (plan limits; usage metering; module entitlement enforcement; organization limits),billingEnforcementMode; ensureOrganizationBilling; listBillingPlans; getBillingSummary; requireBillingWriteAccess; incrementBillingUsage; assertModuleEntitlement; assertOrganizationLimit; replaceOrganizationSubscriptionWithClient; replaceOrganizationSubscription,SP013,,services/api/src/core/billing.js (Razorpay provider-status mapping ONLY - distinct concern; no naming collision risk avoided by renaming target),services/api/src/core/entitlements.js (client-injected; separate file from the existing provider-mapping billing.js to avoid conflating provider integration with entitlement policy),billing_customers; organization_subscriptions; billing_plans; billing_plan_prices; billing_usage_monthly; billing_usage_events; billing_entitlement_overrides; companies; branches,BILLING_ENFORCEMENT_MODE,billing.manage; billing.checkout,"Idempotent usage increments (advisory-lock-free but idempotency-key-checked against prior request for divergence); enforcement-mode aware (observe vs enforce) so non-production never hard-blocks on a billing lookup failure",services/api/tests/entitlements.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/entitlements.js,Confirmed no collision with existing services/api/src/core/billing.js (Razorpay plan/status mapping only) via direct read.
apps/web/src/core/security.ts,Request security primitives (origin/CSRF checks; rate limiting; audit log write; login-event recording; client IP resolution),sha256; verifiedCaptureProxyFingerprint; directCaptureFingerprint; canonicalAppOrigin; clientIp; assertSameOrigin; assertSameOriginOrMobile; readRequestBytes; enforceRateLimit; audit; recordLoginEvent,SP014,,none,services/api/src/core/security.js (client-injected audit/rate-limit; pure origin/IP helpers unchanged),auth_rate_limits; audit_events; login_events,CRM_CAPTURE_PROXY_SECRET; APP_URL; FORM_ALLOWED_ORIGINS; TRUSTED_PROXY_IP_HEADER; TRUSTED_PROXY_CLIENT_INDEX,none (cross-cutting infra used by permissioned callers),"Origin/referer allow-list (never trusts raw X-Forwarded-For without an operator-configured trusted-proxy header); timing-safe HMAC compare for proxy fingerprints; redactAuditPayload() dependency (see next row) must survive the port unchanged",services/api/tests/security.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/security.js,mobile-vs-browser origin bypass path (assertSameOriginOrMobile) preserved exactly - required for Phase 4's mobile Bearer-token session path.
apps/web/src/shared/security/redaction.ts (dependency of security.ts; not itself among the 42 recovered files),Audit-payload redaction (redactAuditPayload),redactAuditPayload,SP014,,unknown - not recovered,services/api/src/core/audit-redaction.js (new; minimal denylist-key redaction for password/token/secret/credential-shaped keys pending confirmation of the exact original field list),none,none,none,"audit() unconditionally calls redactAuditPayload() on every metadata/before/after payload it persists; without it, sensitive fields could be written to audit_events verbatim. Not recoverable from the 42-file set - rebuilt conservatively rather than skipped.",services/api/tests/audit-redaction.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/audit-redaction.js,Second recovery gap; disclosed per Phase 1's explicit instruction.
apps/web/src/core/attachment-security.ts,Attachment content-type verification + malware scanning,verifyAttachmentContent; scanAttachmentForUpload,SP015,,none,services/api/src/core/attachment-security.js (pure + fetch-based; no DB),none,ATTACHMENT_SCAN_MODE; ATTACHMENT_SCAN_URL; ATTACHMENT_SCAN_TOKEN,none,"Magic-byte content-type verification (not just declared MIME); EICAR test-string rejection; required external scan in production with fail-closed HttpError(503) when unconfigured",services/api/tests/attachment-security.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/attachment-security.js,Ported verbatim; no DB or session dependency, lowest-risk port in the set.
apps/web/src/core/mailer.ts,Auth transactional email delivery (verify-email; reset-password; invitation),deliverAuthMessage,SP010,,none,services/api/src/core/auth-mailer.js (client-injected not required; pure fetch/SMTP),none,SMTP_HOST; SMTP_USER; SMTP_PASSWORD; SMTP_PORT; SMTP_SECURE; AUTH_EMAIL_FROM; AUTH_EMAIL_REPLY_TO; AUTH_EMAIL_WEBHOOK_URL; AUTH_EMAIL_WEBHOOK_SECRET; AUTH_EMAIL_TIMEOUT_MS,none,HTML-escapes all interpolated user content (email/organizationName/url) before building the email body - required for Phase 4 verify-email/reset-password/invitation flows,services/api/tests/auth-mailer.test.mjs (new),PORT_NOW_ACCESS_SESSION,ported,services/api/src/core/auth-mailer.js,Needed directly by Phase 4 auth web experience.
apps/web/src/core/http.ts,Next.js HTTP response/error helpers,HttpError; ok; fail; failWithCode; readJson; errorResponse,SP010,,services/api modules each define their own narrow Error subclass (BusinessDataError; IdempotencyError; BillingDomainError) - no shared HttpError convention exists service-side,apps/web/src/core/http.ts (new; kept in apps/web since NextResponse is Next.js-specific; normalizes services/api's per-module error classes plus a new shared HttpError for route-level validation),none,none,none,none,apps/web tests (new; Phase 4+),NEEDS_REDESIGN,ported,apps/web/src/core/http.ts,Rebuilt rather than copied so it can map services/api's existing per-module error classes (not just one shared HttpError) to HTTP responses.
apps/web/src/core/shared-platform.ts,Tenant API keys (developer apps + API-key issuance/rotation/scoped auth),createTenantApiKeyMaterial; apiKeyHash; createDeveloperApiKey; listDeveloperApiKeys; revokeDeveloperApiKey; authenticateTenantApiKey; requireTenantApiScope,SP016,,none,services/api/src/core/api-keys.js,developer_apps; api_keys,none,integrations.manage,"SHA-256 key hashing (never stores plaintext); constant-length prefix reveal only; scope-based authorization (wildcard * or exact match); revocation is status-flip not delete (auditable)",services/api/tests/api-keys.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/api-keys.js,
apps/web/src/core/shared-platform.ts,OAuth integration connections (Google/Microsoft),PlatformOAuthProvider; beginOAuthConnection; completeOAuthConnection; listOAuthConnections; revokeOAuthConnection; encryptIntegrationCredentials; decryptIntegrationCredentials,SP016,,none,services/api/src/core/oauth.js,oauth_states; oauth_connections,GOOGLE_OAUTH_CLIENT_ID; GOOGLE_OAUTH_CLIENT_SECRET; MICROSOFT_OAUTH_CLIENT_ID; MICROSOFT_OAUTH_CLIENT_SECRET; INTEGRATION_TOKEN_ENCRYPTION_KEY; NODE_ENV,integrations.manage,"State consumed exactly once inside its own transaction BEFORE any network call (no lock held across the provider fetch); HTTPS-only redirect URI enforced in production; AES-256-GCM credential encryption at rest with a mandatory 32-byte key; state TTL 10 minutes",services/api/tests/oauth.test.mjs (new; must cover state-replay rejection),PORT_NOW_PLATFORM,ported,services/api/src/core/oauth.js,Highest security-sensitivity slice of the port; re-reviewed line-by-line against current secret-handling standards, no weakening applied.
apps/web/src/core/shared-platform.ts,Notification preferences,setNotificationPreference; listNotificationPreferences,SP017,,none,services/api/src/core/notification-preferences.js,notification_preferences,none,notifications.view,Per-user per-channel-per-category opt-in with quiet hours; consumed by Phase 13 notification center,services/api/tests/notification-preferences.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/notification-preferences.js,
