sp_id,name,primary_wave,status,authorization
SP001,Organization and tenant lifecycle,T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP002,Company and legal-entity structure,T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP003,"Branch, site and operating-unit context",T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP004,Identity and user lifecycle,T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP005,Authentication and credential security,T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP006,Session and device security,T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP007,"MFA, account recovery and step-up authentication",T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP008,Roles and permission model,T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP009,"Record, field and contextual access control",T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP010,Module entitlements and feature access,T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP011,"Subscription, billing and usage metering",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP012,Approval framework and segregation of duties,T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP013,Workflow and automation engine,T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP014,Audit trail and change history,T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP015,"Domain events, transactional outbox and event delivery",T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP016,"Background jobs, scheduling, retries and dead letters",T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP017,Notifications and preference center,T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP018,Email delivery and inbound-mail platform,T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP019,"Files, attachments and document security",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP020,Search and indexing,T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP021,"Custom fields, tags and controlled extensibility",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP022,"Numbering, sequences and reference generation",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP023,"Import, export and bulk data operations",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP024,"API platform, versioning and error contracts",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP025,Webhooks and external integration runtime,T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP026,"Configuration, effective dating and feature flags",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP027,"Localization, timezone, currency and UOM platform",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP028,"Privacy, consent, retention and data-subject controls",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP029,"Security governance, secrets, keys and secure delivery",T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP030,"Observability, diagnostics and supportability",T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP031,"Reporting, analytics and read-model platform",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP032,Accessibility and inclusive interaction,T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP033,"Experience Kernel, responsive web and cross-device UX",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP034,"Mobile platform, offline sync and device capabilities",T01,FROZEN,FOUNDATION_IMPLEMENTATION
SP035,"Reliability, backup, restore, disaster recovery and release safety",T00,FROZEN,FOUNDATION_IMPLEMENTATION
SP036,"AI governance, Copilot runtime and evaluation",T01,FROZEN,FOUNDATION_IMPLEMENTATION
