requirement_id,feature_id,capability_id,module,requirement_type,priority,ui_relevance,test_ids,status
F001-CAP-001,F001,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F001-CAP-001,IMPLEMENTED_UNVERIFIED
F001-CAP-002,F001,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F001-CAP-002,IMPLEMENTED_UNVERIFIED
F001-CAP-003,F001,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F001-CAP-003,IMPLEMENTED_UNVERIFIED
F001-FR-001,F001,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F001-FR-001;PVT-F001-FR-001,IMPLEMENTED_UNVERIFIED
F001-FR-002,F001,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F001-FR-002;PVT-F001-FR-002,IMPLEMENTED_UNVERIFIED
F001-FR-003,F001,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F001-FR-003;PVT-F001-FR-003,IMPLEMENTED_UNVERIFIED
F001-US-001,F001,CRM-CAP-001,CRM,US,P0,DIRECT_UI,PVT-F001-US-001,IMPLEMENTED_UNVERIFIED
F001-US-002,F001,CRM-CAP-001,CRM,US,P0,DIRECT_UI,PVT-F001-US-002,IMPLEMENTED_UNVERIFIED
F001-FLOW-001,F001,CRM-CAP-001,CRM,FLOW,P0,DIRECT_UI,PVT-F001-FLOW-001,IMPLEMENTED_UNVERIFIED
F001-FLOW-002,F001,CRM-CAP-001,CRM,FLOW,P0,DIRECT_UI,PVT-F001-FLOW-002,IMPLEMENTED_UNVERIFIED
F001-BR-001,F001,CRM-CAP-001,CRM,BR,P0,AFFECTS_UI_STATE,TST-F001-BR-001;PVT-F001-BR-001,IMPLEMENTED_UNVERIFIED
F001-BR-002,F001,CRM-CAP-001,CRM,BR,P0,AFFECTS_UI_STATE,TST-F001-BR-002;PVT-F001-BR-002,IMPLEMENTED_UNVERIFIED
F001-DATA-001,F001,CRM-CAP-001,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F001-DATA-001,IMPLEMENTED_UNVERIFIED
