feature_id,module,feature_name,uat_status,tester,test_date,scenario,evidence,notes
F001,CRM,Leads,NOT_READY,,,Run 05-uat/F001-UAT.md: email/mobile/alternate-phone creation; validation; search/detail/edit/persistence; owner-manager scope; archive/audit/DB; responsive/keyboard/states.,,"Requested automated gates pass under Node 24.19.0; manual browser/live-database UAT tester, date and evidence remain pending."
F002,CRM,Accounts / Companies,NOT_READY,,,Run 05-uat/F002-UAT.md: create/search/filter/detail/edit/preserve/archive; tenant/company permissions; relationship safety; DB/audit/outbox; desktop/tablet/mobile/keyboard/states.,artifacts/f002-uat/live-uat.json; artifacts/f002-uat/*.png,"Automated gates, live tenant migration, CRUD/archive persistence, audit/outbox inspection, and four responsive viewports pass; named human keyboard, role/isolation, and full viewport sign-off pending."
F003,CRM,Contacts,NOT_READY,,,Run 05-uat/F003-UAT.md: standalone/Account-linked create; search/filter/detail/edit/link/unlink/archive; permissions/isolation; relationship safety; DB/audit/outbox; responsive/keyboard/states.,artifacts/f003-uat/live-uat.json; artifacts/f003-uat/*.png,"Focused/broad automation, live migration and persistence, audit/outbox inspection, and 1440/768/390/360 browser automation pass; named human keyboard, role/isolation, failure-state, and visual sign-off remain pending."
F004,CRM,Lead Sources,NOT_READY,,,Run 05-uat/F004-UAT.md: setup hierarchy; create/edit/deactivate/reactivate; duplicate validation; F001 selection/history; public capture; permissions/isolation; DB/audit/outbox; responsive/keyboard/states.,artifacts/f004-uat/live-uat.json; artifacts/f004-uat/*.png,"Focused/broad automation, live migration/database/API lifecycle, historical preservation, and 1440/768/390/360 responsive browser automation pass; named human keyboard, role/isolation, public-capture, failure-state, and visual sign-off remain pending."
F005,CRM,Lead Assignment,NOT_READY,,,Run 05-uat/F005-UAT.md: owner visibility; search/reassign/scope transition; explicit/automatic assignment; F004 source rules; fallback; inactive users/rules; public capture; security; audit/outbox; concurrency; responsive/keyboard/states.,artifacts/f005-uat/responsive-results.json; artifacts/f005-uat/screenshots/*.png; artifacts/f005-uat/run-live-f005.mjs,"Focused automation, live PostgreSQL service/database journey, migration inspection, RLS check, and 11-viewport browser automation pass; named human role, public-capture, concurrency, failure-state, keyboard, and visual sign-off remain pending."
F006,CRM,Lead Qualification,NOT_READY,,,Run 05-uat/F006-UAT.md: readiness; qualify/unqualify/requalify; reasons/history; status/score/conversion boundaries; authorization/scope; F004/F005/public/offline/bulk/import; audit/outbox/concurrency; responsive/keyboard/states.,services/api/tests/crm-lead-qualification-f006.test.mjs; apps/web/tests/crm-lead-qualification-f006.test.mjs; artifacts/f006-uat/live-results.json; artifacts/f006-uat/responsive-results.json; artifacts/f006-uat/screenshots/,"Automated suites, fresh migration, live PostgreSQL, 11-viewport responsive/keyboard checks, and production build pass; named human role, isolation, failure-state, keyboard, responsive, and visual sign-off remain pending."
F007,CRM,Lead Stages and Statuses,NOT_READY,,,Run 05-uat/F007-UAT.md: default/create/rename/reorder/deactivate/reactivate; explicit transitions; Kanban/keyboard/detail/history; qualification/archive/conversion boundaries; public/offline/import/bulk; permissions/isolation; audit/outbox/concurrency; 11 responsive viewports.,services/api/tests/crm-lead-lifecycle-f007.test.mjs; apps/web/tests/crm-lead-lifecycle-f007.test.mjs; scripts/validation/verify-crm-f007-live.mjs; artifacts/f007-uat/responsive-results.json,"Focused automation, live rolled-back PostgreSQL lifecycle/configuration/guard verification and authenticated 11-viewport browser checks pass; named human role, isolation, failure-state, keyboard, responsive and visual sign-off remain pending."
F008,CRM,Duplicate Detection,NOT_READY,,,Run 05-uat/F008-UAT.md: exact/probable matching; restricted disclosure; create/edit/public/import/offline; override evidence; archived/converted; tenant/company/branch isolation; concurrency; F004-F007 preservation; responsive/keyboard/failure states.,services/api/tests/crm-lead-duplicates-f008.test.mjs; apps/web/tests/crm-lead-duplicates-f008.test.mjs; scripts/validation/verify-crm-f008-live.mjs,Focused technical implementation is present; named human role/isolation/concurrency/failure-state/keyboard/responsive/visual sign-off remains pending.
F009,CRM,Opportunities,NOT_READY,,,Run 05-uat/F009-UAT.md: create/default owner; pipeline-stage coherence; Account/Contact/Lead relationships; owner/scope security; edit/archive/idempotency; audit/outbox; Lead conversion regression; responsive/keyboard/error/visual states.,services/api/tests/crm-opportunities-f009.test.mjs; apps/web/tests/crm-opportunities-f009.test.mjs; scripts/validation/verify-crm-f009-live.mjs,Focused technical implementation is present; named human permission/isolation/relationship/failure-state/keyboard/responsive/visual sign-off remains pending.
F010,CRM,Opportunity Pipeline,NOT_READY,,,Run 05-uat/F010-UAT.md: pipeline selection/isolation; open-record scope; drag/select/keyboard movement; same-stage replay; stale-write conflict; wrong-pipeline rejection; won/lost reason capture; history/audit/outbox; closed-record guard; empty/error/truncated/responsive states.,services/api/tests/crm-opportunity-pipeline-f010.test.mjs; apps/web/tests/crm-opportunity-pipeline-f010.test.mjs; scripts/validation/verify-crm-f010-live.mjs,Focused technical implementation is present; named human permission/isolation/concurrency/failure-state/keyboard/responsive/visual sign-off remains pending.
