decision_id,decision,priority,acceptance,review_status,change_policy
AE001,Modular monolith is the default deployment architecture,P0,services/api public module boundaries; no F-ID microservices,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE002,"Next.js app layer is transport/composition, not a second domain layer",P0,route handlers call governed domain contracts,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE003,PostgreSQL is authoritative transactional truth,P0,search/read models/mobile caches/AI retrieval remain derived,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE004,Tenant RLS context is established inside a request-scoped transaction on one checked-out client,P0,BEGIN -> tenant context -> queries -> audit/outbox -> COMMIT/ROLLBACK,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE005,Server authorization plus RLS defense-in-depth is mandatory,P0,org/entitlement/company/branch/record/field scope cannot rely on UI,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE006,Every module owns private tables and domain state,P0,cross-module access is public command/query/event only,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE007,Multi-module coordination lives in services/api/src/orchestration,P0,no private-table cross-module mutation,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE008,Authoritative money uses decimal-safe PostgreSQL NUMERIC and exact serialization,P0,no JS binary floating point or raw BigInt JSON authority,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE009,Inventory/payroll/tax/accounting/payment/state legality remains deterministic,P0,AI can assist but cannot become system of record,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE010,Concurrency-sensitive invariants require DB-safe locking/version/constraint strategy,P0,"last-unit, posting, approval, close and duplicate races are explicit",APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE011,Retry-sensitive commands require stable idempotency/business keys,P0,duplicate callback/import/job/request effects are prevented/reconciled,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE012,Audit and outbox are transactionally coupled to authoritative mutations where required,P0,committed truth has durable evidence and async trigger,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE013,"Posted/consumed truth is reversed/corrected, not silently rewritten",P0,ledger/stock/payroll/payment histories preserve evidence,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE014,"Worker trust scope comes from authenticated/persisted queue metadata, never untrusted payload tenant IDs",P0,service-role boundary is explicit and testable,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE015,"Async handlers declare idempotency, bounded retry/backoff, DLQ/exception and reconciliation",P1,no invisible infinite retry or silent loss,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE016,Commands and queries are explicit public contracts with typed inputs/errors,P1,transport does not duplicate business rules,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE017,Externally consumed APIs are versioned and replay/resource bounded,P1,webhooks/signatures/correlation/pagination/error codes are standardized,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE018,Experience Kernel is the mandatory reusable UX foundation,P1,reusable shell/grid/form/record/approval/audit/dashboard patterns,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE019,Every major UI surface implements standard operational states,P1,loading/empty/error/forbidden/stale/conflict/pending/offline/retry,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE020,WCAG 2.2 AA intent and responsive critical-action parity are architecture requirements,P1,keyboard/screen-reader/reflow/non-drag alternatives are designed in,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE021,Mobile capability is classified; native parity is not automatic,P1,FULL/FIELD_OPTIMIZED/APPROVAL_ONLY/READ_ONLY/NOT_APPLICABLE,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE022,"Offline is opt-in with encrypted bounded state, server revalidation and conflict handling",P0,offline never bypasses authorization or deterministic truth,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE023,Search/reporting/analytics are permission-scoped derived projections,P1,same row/field visibility as direct records; freshness is visible,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE024,Observability is part of every capability definition,P1,logs/metrics/traces/correlation/jobs/business diagnostics/reconciliation,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE025,Security threat modelling and negative authorization tests are mandatory,P0,tenant escape/IDOR/PII/worker/webhook/payment/file/AI threats,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE026,Backups/PITR/restore/DR and rollback are tested release capabilities,P0,document existence alone is not DR evidence,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE027,Schema changes use forward-safe migration/expand-migrate-contract discipline,P0,deployment compatibility and rollback/restore are planned,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE028,AI product runtime retrieves only authorized context with provenance/freshness,P0,cross-tenant or hidden-field context is prohibited,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE029,AI never directly mutates ERP business tables,P0,AI actions execute normal public commands with all policy checks,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE030,High-impact AI automation requires explicit policy/approval and kill-switch,P0,money/stock/payroll/tax/payment/access changes cannot be silently autonomous,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE031,AI engineering agents must follow the 15-step implementation protocol,P1,repo audit -> manifest -> DB/domain/API/UI/tests/adversarial/evidence,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE032,New frameworks/databases/brokers/ORMs/design systems require an ADR,P1,no convenience-driven architecture drift,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE033,"Implementation follows dependency-aware waves T00-T15, not F001-F510 order",P1,platform and deterministic primitives precede dependent modules,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE034,Release environments are local/CI/development/staging/production with gated promotion,P1,staging mirrors critical auth/tenant/worker/integration behavior,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE035,Feature readiness requires evidence across data/backend/auth/UI/tests/integration/UAT,P0,route/table/button/test-stub existence is never completion,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
AE036,F001-F510 and SP001-SP036 remain planning authority; implementation cannot invent scope,P0,planning conflict is a stop condition and change-control event,APPROVED,ADR_OR_PROGRAM_CHANGE_CONTROL
