feature_id,module,feature_name,capability_id,web_source_files,api_source_files,sample_web_file,e2e_mentions,unit_mentions,register_claims,status,notes
F001,CRM,Leads,CRM-CAP-001,1,0,apps/web/src/shell/navigation/module-navigation-registry.ts,,services/api/tests/crm-leads-bulk-operations-contract.test.mjs;services/api/tests/crm-leads-f001-hardening.test.mjs;services/api/tests/crm-leads-f001-version-precision.test.mjs;services/api/tests/crm-leads-f001-wave1.test.mjs;services/api/tests/crm-leads-f001.test.mjs;services/api/tests/crm-leads-record-detail-contract.test.mjs;services/api/tests/crm-leads-record-list-contract.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F002,CRM,Accounts / companies,CRM-CAP-001,17,1,apps/web/src/app/api/crm/accounts/duplicates/route.ts,,apps/web/src/core/privacy-authorization.test.ts;services/api/tests/crm-account-hierarchy-f002.test.mjs;services/api/tests/crm-accounts-f002.test.mjs;services/api/tests/crm-merge-survivorship.test.mjs;services/api/tests/crm-sales-org-hierarchy-f020.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F003,CRM,Contacts,CRM-CAP-001,8,3,apps/web/src/app/api/crm/accounts/[id]/contact-relationships/route.ts,,services/api/tests/crm-account-contact-duplicates-f008.test.mjs;services/api/tests/crm-contact-account-relationships-f003.test.mjs;services/api/tests/crm-contacts-f003.test.mjs;services/api/tests/crm-merge-survivorship.test.mjs;services/api/tests/crm-sales-org-hierarchy-f020.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F004,CRM,Lead sources,CRM-CAP-001,2,1,apps/web/src/app/api/crm/lead-sources/route.ts,,services/api/tests/crm-lead-source-lineage-f004.test.mjs;services/api/tests/crm-lead-sources-f004.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F005,CRM,Lead assignment,CRM-CAP-002,7,12,apps/web/src/app/api/crm/lead-assignment-policies/route.ts,,services/api/tests/crm-follow-ups-f016.test.mjs;services/api/tests/crm-lead-assignment-availability-f005.test.mjs;services/api/tests/crm-lead-assignment-explainability-f005.test.mjs;services/api/tests/crm-lead-assignment-f005.test.mjs;services/api/tests/crm-lead-sla-scan-f005.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F006,CRM,Lead qualification,CRM-CAP-002,6,3,apps/web/src/app/api/crm/leads/[id]/qualification/route.ts,,services/api/tests/crm-config-concurrency-integrity.test.mjs;services/api/tests/crm-lead-qualification-criteria-f006.test.mjs;services/api/tests/crm-lead-qualification-f006.test.mjs;services/api/tests/crm-leads-f001-hardening.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F007,CRM,Lead stages and statuses,CRM-CAP-002,11,12,apps/web/src/app/api/crm/lead-stages/recommended-template/route.ts,,services/api/tests/crm-lead-five-stage-graph-transitions-f007.test.mjs;services/api/tests/crm-lead-lifecycle-directed-graph-f007.test.mjs;services/api/tests/crm-lead-lifecycle-f007.test.mjs;services/api/tests/crm-leads-f001-wave1.test.mjs;services/api/tests/crm-leads-record-list-contract.test.mjs;tests/integration/crm-lead-five-stage-default-f007.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F008,CRM,Duplicate detection,CRM-CAP-001,7,8,apps/web/src/app/api/crm/leads/duplicates/route.ts,,services/api/tests/crm-account-contact-duplicates-f008.test.mjs;services/api/tests/crm-accounts-f002.test.mjs;services/api/tests/crm-contacts-f003.test.mjs;services/api/tests/crm-duplicate-rules-f008.test.mjs;services/api/tests/crm-lead-conversion-duplicate-reuse-f022.test.mjs;services/api/tests/crm-lead-duplicates-f008.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F009,CRM,Opportunities,CRM-CAP-003,2,4,apps/web/src/features/crm/shared/SavedViewsBar.tsx,,services/api/tests/crm-opportunities-f009.test.mjs;services/api/tests/crm-opportunity-commercial-f009.test.mjs;services/api/tests/crm-opportunity-pipeline-f010.test.mjs;services/api/tests/crm-opportunity-scope-f009.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F010,CRM,Opportunity pipeline,CRM-CAP-003,2,4,apps/web/src/app/api/crm/forecast/predictive-snapshot/route.ts,,services/api/tests/crm-opportunity-commercial-f009.test.mjs;services/api/tests/crm-opportunity-pipeline-f010.test.mjs;services/api/tests/crm-pipeline-snapshot-integrity.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
