candidate_id,module,candidate_capability,classification,closest_existing_feature_ids,severity,decision_rationale,new_f_id_required,status,reviewed_on
SEM-CAND-001,CRM,Campaigns / marketing automation,E_OPTIONAL_ADVANCED,F001;F004;F018,P3,Marketing automation is a separate product domain; CRM must retain source/consent/contact context but campaign orchestration is not mandatory baseline ERP.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-002,CRM,Consent / communication preferences,D_SHARED_PLATFORM,F002;F003,P1,"Privacy/consent governance is owned by SP028, while CRM stores authorized customer/contact context.",NO,DISPOSITIONED,2026-08-31
SEM-CAND-003,Sales,Subscriptions / recurring sales,B_EXISTING_FID_SUBCAPABILITY,F042;F050;F058,P2,Recurring commercial schedules can be modeled as an advanced order/invoice/payment-term sub-capability without changing canonical scope.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-004,Sales,RMA authorization workflow,B_EXISTING_FID_SUBCAPABILITY,F054;F055,P1,"Return authorization, eligibility, receipt, refund/credit and disposition belong under customer returns and credit/refund scope.",NO,DISPOSITIONED,2026-08-31
SEM-CAND-005,Procurement,Approved vendor qualification list,B_EXISTING_FID_SUBCAPABILITY,F065;F073;F089;F090,P1,Qualification/selection/performance/rating jointly own approved-supplier eligibility; no new canonical feature required.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-006,Procurement,Service procurement,B_EXISTING_FID_SUBCAPABILITY,F067;F074;F084;F085;F086,P2,"Service lines, milestone/acceptance evidence and matching belong inside requisition/PO/invoice/matching semantics.",NO,DISPOSITIONED,2026-08-31
SEM-CAND-007,Stock / Inventory,Consignment / inventory ownership,B_EXISTING_FID_SUBCAPABILITY,F105;F107;F110;F130;F142,P1,Ownership/status dimension and valuation exclusion can be modeled inside multi-warehouse ledger/movement/valuation semantics.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-008,Stock / Inventory,In-transit stock,B_EXISTING_FID_SUBCAPABILITY,F110;F142;F130,P1,Transfer lifecycle must explicitly represent dispatched/in-transit/received and valuation/ownership consequences.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-009,Manufacturing,Finite-capacity scheduling,B_EXISTING_FID_SUBCAPABILITY,F153;F158;F168,P1,"Capacity constraints and finite scheduling belong under capacity, production planning and scheduling.",NO,DISPOSITIONED,2026-08-31
SEM-CAND-010,Manufacturing,Formula / recipe process manufacturing,E_OPTIONAL_ADVANCED,F145;F146;F174;F176,P3,BOM/batch/co-product semantics can support many process cases; specialized formula potency/scale-up is industry-specific.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-011,Projects,Project baseline / change baseline,B_EXISTING_FID_SUBCAPABILITY,F197;F205;F214;F215;F228,P1,WBS/Gantt/budget revision/progress must preserve approved baselines and variance history.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-012,Assets,Construction in progress / capitalization in progress,B_EXISTING_FID_SUBCAPABILITY,F237;F238;F266,P1,"Acquisition/capitalization and accounting integration must define CIP accumulation, transfer-to-asset and reconciliation.",NO,DISPOSITIONED,2026-08-31
SEM-CAND-013,Assets,Component assets / multi-book depreciation,B_EXISTING_FID_SUBCAPABILITY,F242;F243;F245;F248;F249;F266,P1,Asset value/life/depreciation/posting/accounting integration own components/books as enterprise sub-capabilities.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-014,Point of Sale,Gift cards / stored value,E_OPTIONAL_ADVANCED,F280;F281;F286;F306,P3,Stored-value liability is useful but not mandatory baseline POS; add later only with explicit product decision and finance controls.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-015,Quality,Statistical process control,E_OPTIONAL_ADVANCED,F315;F316;F318;F341;F342,P3,Sampling/measurement/tolerance/cost/KPI cover baseline quality; advanced SPC control charts/capability indices are advanced.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-016,Support / Customer Service,Field service dispatch,E_OPTIONAL_ADVANCED,F343;F351;F373;F374;F375,P3,Technician dispatch/routes/service work orders form a separate FSM domain and are not mandatory help-desk baseline.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-017,HR & Payroll,Position management / headcount positions,B_EXISTING_FID_SUBCAPABILITY,F383;F384;F385;F397;F381,P1,Approved positions/headcount/vacancy linkage should be explicit under org/designation/job-opening/employee semantics.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-018,HR & Payroll,Benefits administration,E_OPTIONAL_ADVANCED,F418;F420;F421;F422,P3,Compensation/deduction structures cover payroll effects; full benefits enrollment/provider administration is advanced HCM scope.,NO,DISPOSITIONED,2026-08-31
SEM-CAND-019,Accounting / Finance,Collections / dunning,B_EXISTING_FID_SUBCAPABILITY,F467;F468;F469;F470,P1,"Outstanding/aging/statements/credit control should own collection stages, reminders, promises and escalation.",NO,DISPOSITIONED,2026-08-31
SEM-CAND-020,Accounting / Finance,Supplier payment run / payment proposal,B_EXISTING_FID_SUBCAPABILITY,F473;F474;F484;F485,P1,"Batch proposal, approval, payment generation and reconciliation belong under supplier payments/allocation/bank/reconciliation.",NO,DISPOSITIONED,2026-08-31
SEM-CAND-021,Accounting / Finance,Intercompany accounting and eliminations,B_EXISTING_FID_SUBCAPABILITY,F498;F499,P1,"Multi-company and consolidation must explicitly own due-to/due-from, matching and elimination controls.",NO,DISPOSITIONED,2026-08-31
SEM-CAND-022,Accounting / Finance,Recurring journals / accrual automation,B_EXISTING_FID_SUBCAPABILITY,F453;F454;F455;F456,P2,Journal/GL/period semantics should include templates/schedules where applicable; no new canonical feature required.,NO,DISPOSITIONED,2026-08-31
