source_id,publisher,title,url,research_use,authority
SRC-SP-NIST-63-4,NIST,NIST SP 800-63-4 Digital Identity Guidelines,https://www.nist.gov/publications/nist-sp-800-63-4-digital-identity-guidelines,"Identity proofing, authentication and federation lifecycle guidance.",OFFICIAL/PRIMARY
SRC-SP-NIST-63B-4,NIST,NIST SP 800-63B-4 Authentication and Authenticator Management,https://www.nist.gov/publications/nist-sp-800-63b-4digital-identity-guidelines-authentication-and-authenticator,"Authenticator assurance, authentication and lifecycle management.",OFFICIAL/PRIMARY
SRC-SP-PG-RLS,PostgreSQL,PostgreSQL Row Security Policies,https://www.postgresql.org/docs/17/ddl-rowsecurity.html,RLS/default-deny behavior and policy-based row access.,OFFICIAL/PRIMARY
SRC-SP-OWASP-API,OWASP,OWASP API Security Top 10 2023,https://owasp.org/API-Security/editions/2023/en/0x11-t10/,"Object/function/property authorization, resource-consumption and sensitive-flow API risks.",OFFICIAL/PRIMARY
SRC-SP-WCAG-22,W3C,Web Content Accessibility Guidelines (WCAG) 2.2,https://www.w3.org/TR/wcag/,"Accessibility requirements across desktop, mobile and other web devices.",OFFICIAL/PRIMARY
SRC-SP-WAI-APG,W3C WAI,ARIA Authoring Practices Guide,https://www.w3.org/WAI/ARIA/apg/,"Accessible widget patterns, semantics, keyboard behavior and interaction guidance.",OFFICIAL/PRIMARY
SRC-SP-OTEL,OpenTelemetry,OpenTelemetry Specification,https://opentelemetry.io/docs/specs/otel/,"Tracing, metrics, logs, context and semantic-convention observability model.",OFFICIAL/PRIMARY
SRC-SP-NIST-AI-600-1,NIST,AI RMF Generative AI Profile,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,"Generative-AI lifecycle risk management, evaluation and trustworthiness practices.",OFFICIAL/PRIMARY
SRC-SP-RFC-9110,IETF/RFC Editor,RFC 9110 HTTP Semantics,https://www.rfc-editor.org/rfc/rfc9110.html,"HTTP method semantics including safe/idempotent methods, validators and protocol behavior.",OFFICIAL/PRIMARY
SRC-SP-RFC-9457,IETF/RFC Editor,RFC 9457 Problem Details for HTTP APIs,https://www.rfc-editor.org/rfc/rfc9457.html,"Machine-readable, consistent HTTP API error details.",OFFICIAL/PRIMARY
SRC-SP-CLDR-48,Unicode Consortium,Unicode CLDR / UTS #35,https://www.unicode.org/reports/tr35/,"Locale identifiers, formatting data and internationalization structures.",OFFICIAL/PRIMARY
SRC-SP-MEITY-DPDP,"MeitY, Government of India",Digital Personal Data Protection Act 2023 and Rules 2025,https://www.meity.gov.in/documents/act-and-policies,India privacy law/rules source for configurable privacy and data-subject controls.,OFFICIAL/PRIMARY
SRC-SP-CERTIN,"CERT-In, Government of India",CERT-In operational cyber guidance,https://www.cert-in.org.in/,"Operational monitoring, log preservation, incident response and BCP/DR guidance.",OFFICIAL/PRIMARY
SRC-SP-GITHUB-OIDC,GitHub,Security for GitHub Actions / OIDC,https://docs.github.com/en/actions/how-tos/secure-your-work,"Secure CI/CD identity, artifact provenance and avoiding long-lived cloud credentials.",OFFICIAL/PRIMARY
SRC-SP-NIST-SSDF,NIST,NIST SP 800-218 Secure Software Development Framework,https://csrc.nist.gov/pubs/sp/800/218/final,Secure software development lifecycle and vulnerability-reduction practices.,OFFICIAL/PRIMARY
SRC-SP-NIST-LOG,NIST,NIST SP 800-92 Guide to Computer Security Log Management,https://csrc.nist.gov/pubs/sp/800/92/final,"Enterprise log management, infrastructure and operational practices.",OFFICIAL/PRIMARY
SRC-SP-NIST-DR,NIST,NIST SP 800-34 Rev.1 Contingency Planning Guide,https://csrc.nist.gov/pubs/sp/800/34/r1/final,"Backup/recovery, contingency planning, exercises and recovery strategy.",OFFICIAL/PRIMARY
