verification_id,journey_id,journey_name,verification_type,objective,status,execution_evidence
CRM-JRN-001-E2E-01,CRM-JRN-001,Prospect to opportunity,E2E,Happy path for Prospect to opportunity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-001-E2E-02,CRM-JRN-001,Prospect to opportunity,E2E,Permission/concurrency/validation failure for Prospect to opportunity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-001-E2E-03,CRM-JRN-001,Prospect to opportunity,E2E,Retry/reversal/reconciliation for Prospect to opportunity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-001-UAT-01,CRM-JRN-001,Prospect to opportunity,UAT,Primary business-role acceptance for Prospect to opportunity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-001-UAT-02,CRM-JRN-001,Prospect to opportunity,UAT,Exception/recovery business-role acceptance for Prospect to opportunity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-002-E2E-01,CRM-JRN-002,Opportunity to quotation,E2E,Happy path for Opportunity to quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-002-E2E-02,CRM-JRN-002,Opportunity to quotation,E2E,Permission/concurrency/validation failure for Opportunity to quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-002-E2E-03,CRM-JRN-002,Opportunity to quotation,E2E,Retry/reversal/reconciliation for Opportunity to quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-002-UAT-01,CRM-JRN-002,Opportunity to quotation,UAT,Primary business-role acceptance for Opportunity to quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-002-UAT-02,CRM-JRN-002,Opportunity to quotation,UAT,Exception/recovery business-role acceptance for Opportunity to quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-003-E2E-01,CRM-JRN-003,Seller daily work,E2E,Happy path for Seller daily work,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-003-E2E-02,CRM-JRN-003,Seller daily work,E2E,Permission/concurrency/validation failure for Seller daily work,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-003-E2E-03,CRM-JRN-003,Seller daily work,E2E,Retry/reversal/reconciliation for Seller daily work,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-003-UAT-01,CRM-JRN-003,Seller daily work,UAT,Primary business-role acceptance for Seller daily work,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-003-UAT-02,CRM-JRN-003,Seller daily work,UAT,Exception/recovery business-role acceptance for Seller daily work,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-004-E2E-01,CRM-JRN-004,Pipeline to forecast and analytics,E2E,Happy path for Pipeline to forecast and analytics,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-004-E2E-02,CRM-JRN-004,Pipeline to forecast and analytics,E2E,Permission/concurrency/validation failure for Pipeline to forecast and analytics,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-004-E2E-03,CRM-JRN-004,Pipeline to forecast and analytics,E2E,Retry/reversal/reconciliation for Pipeline to forecast and analytics,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-004-UAT-01,CRM-JRN-004,Pipeline to forecast and analytics,UAT,Primary business-role acceptance for Pipeline to forecast and analytics,PLANNED,NOT_EXECUTED_PLANNING_ONLY
CRM-JRN-004-UAT-02,CRM-JRN-004,Pipeline to forecast and analytics,UAT,Exception/recovery business-role acceptance for Pipeline to forecast and analytics,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-001-E2E-01,SALES-JRN-001,CRM opportunity to accepted quotation,E2E,Happy path for CRM opportunity to accepted quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-001-E2E-02,SALES-JRN-001,CRM opportunity to accepted quotation,E2E,Permission/concurrency/validation failure for CRM opportunity to accepted quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-001-E2E-03,SALES-JRN-001,CRM opportunity to accepted quotation,E2E,Retry/reversal/reconciliation for CRM opportunity to accepted quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-001-UAT-01,SALES-JRN-001,CRM opportunity to accepted quotation,UAT,Primary business-role acceptance for CRM opportunity to accepted quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-001-UAT-02,SALES-JRN-001,CRM opportunity to accepted quotation,UAT,Exception/recovery business-role acceptance for CRM opportunity to accepted quotation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-002-E2E-01,SALES-JRN-002,Quotation to confirmed sales order,E2E,Happy path for Quotation to confirmed sales order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-002-E2E-02,SALES-JRN-002,Quotation to confirmed sales order,E2E,Permission/concurrency/validation failure for Quotation to confirmed sales order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-002-E2E-03,SALES-JRN-002,Quotation to confirmed sales order,E2E,Retry/reversal/reconciliation for Quotation to confirmed sales order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-002-UAT-01,SALES-JRN-002,Quotation to confirmed sales order,UAT,Primary business-role acceptance for Quotation to confirmed sales order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-002-UAT-02,SALES-JRN-002,Quotation to confirmed sales order,UAT,Exception/recovery business-role acceptance for Quotation to confirmed sales order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-003-E2E-01,SALES-JRN-003,"Order to reservation, fulfilment and delivery",E2E,"Happy path for Order to reservation, fulfilment and delivery",PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-003-E2E-02,SALES-JRN-003,"Order to reservation, fulfilment and delivery",E2E,"Permission/concurrency/validation failure for Order to reservation, fulfilment and delivery",PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-003-E2E-03,SALES-JRN-003,"Order to reservation, fulfilment and delivery",E2E,"Retry/reversal/reconciliation for Order to reservation, fulfilment and delivery",PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-003-UAT-01,SALES-JRN-003,"Order to reservation, fulfilment and delivery",UAT,"Primary business-role acceptance for Order to reservation, fulfilment and delivery",PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-003-UAT-02,SALES-JRN-003,"Order to reservation, fulfilment and delivery",UAT,"Exception/recovery business-role acceptance for Order to reservation, fulfilment and delivery",PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-004-E2E-01,SALES-JRN-004,Order and delivery to invoice and cash,E2E,Happy path for Order and delivery to invoice and cash,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-004-E2E-02,SALES-JRN-004,Order and delivery to invoice and cash,E2E,Permission/concurrency/validation failure for Order and delivery to invoice and cash,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-004-E2E-03,SALES-JRN-004,Order and delivery to invoice and cash,E2E,Retry/reversal/reconciliation for Order and delivery to invoice and cash,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-004-UAT-01,SALES-JRN-004,Order and delivery to invoice and cash,UAT,Primary business-role acceptance for Order and delivery to invoice and cash,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-004-UAT-02,SALES-JRN-004,Order and delivery to invoice and cash,UAT,Exception/recovery business-role acceptance for Order and delivery to invoice and cash,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-005-E2E-01,SALES-JRN-005,Return to stock reversal and financial correction,E2E,Happy path for Return to stock reversal and financial correction,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-005-E2E-02,SALES-JRN-005,Return to stock reversal and financial correction,E2E,Permission/concurrency/validation failure for Return to stock reversal and financial correction,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-005-E2E-03,SALES-JRN-005,Return to stock reversal and financial correction,E2E,Retry/reversal/reconciliation for Return to stock reversal and financial correction,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-005-UAT-01,SALES-JRN-005,Return to stock reversal and financial correction,UAT,Primary business-role acceptance for Return to stock reversal and financial correction,PLANNED,NOT_EXECUTED_PLANNING_ONLY
SALES-JRN-005-UAT-02,SALES-JRN-005,Return to stock reversal and financial correction,UAT,Exception/recovery business-role acceptance for Return to stock reversal and financial correction,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-001-E2E-01,PROC-JRN-001,Supplier onboarding to spend authorization,E2E,Happy path for Supplier onboarding to spend authorization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-001-E2E-02,PROC-JRN-001,Supplier onboarding to spend authorization,E2E,Permission/concurrency/validation failure for Supplier onboarding to spend authorization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-001-E2E-03,PROC-JRN-001,Supplier onboarding to spend authorization,E2E,Retry/reversal/reconciliation for Supplier onboarding to spend authorization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-001-UAT-01,PROC-JRN-001,Supplier onboarding to spend authorization,UAT,Primary business-role acceptance for Supplier onboarding to spend authorization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-001-UAT-02,PROC-JRN-001,Supplier onboarding to spend authorization,UAT,Exception/recovery business-role acceptance for Supplier onboarding to spend authorization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-002-E2E-01,PROC-JRN-002,Requisition to competitive sourcing award and purchase order,E2E,Happy path for Requisition to competitive sourcing award and purchase order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-002-E2E-02,PROC-JRN-002,Requisition to competitive sourcing award and purchase order,E2E,Permission/concurrency/validation failure for Requisition to competitive sourcing award and purchase order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-002-E2E-03,PROC-JRN-002,Requisition to competitive sourcing award and purchase order,E2E,Retry/reversal/reconciliation for Requisition to competitive sourcing award and purchase order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-002-UAT-01,PROC-JRN-002,Requisition to competitive sourcing award and purchase order,UAT,Primary business-role acceptance for Requisition to competitive sourcing award and purchase order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-002-UAT-02,PROC-JRN-002,Requisition to competitive sourcing award and purchase order,UAT,Exception/recovery business-role acceptance for Requisition to competitive sourcing award and purchase order,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-003-E2E-01,PROC-JRN-003,"Purchase order to receipt, stock and supplier return",E2E,"Happy path for Purchase order to receipt, stock and supplier return",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-003-E2E-02,PROC-JRN-003,"Purchase order to receipt, stock and supplier return",E2E,"Permission/concurrency/validation failure for Purchase order to receipt, stock and supplier return",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-003-E2E-03,PROC-JRN-003,"Purchase order to receipt, stock and supplier return",E2E,"Retry/reversal/reconciliation for Purchase order to receipt, stock and supplier return",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-003-UAT-01,PROC-JRN-003,"Purchase order to receipt, stock and supplier return",UAT,"Primary business-role acceptance for Purchase order to receipt, stock and supplier return",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-003-UAT-02,PROC-JRN-003,"Purchase order to receipt, stock and supplier return",UAT,"Exception/recovery business-role acceptance for Purchase order to receipt, stock and supplier return",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-004-E2E-01,PROC-JRN-004,"PO and receipt to supplier invoice, match and accounts payable",E2E,"Happy path for PO and receipt to supplier invoice, match and accounts payable",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-004-E2E-02,PROC-JRN-004,"PO and receipt to supplier invoice, match and accounts payable",E2E,"Permission/concurrency/validation failure for PO and receipt to supplier invoice, match and accounts payable",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-004-E2E-03,PROC-JRN-004,"PO and receipt to supplier invoice, match and accounts payable",E2E,"Retry/reversal/reconciliation for PO and receipt to supplier invoice, match and accounts payable",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-004-UAT-01,PROC-JRN-004,"PO and receipt to supplier invoice, match and accounts payable",UAT,"Primary business-role acceptance for PO and receipt to supplier invoice, match and accounts payable",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-004-UAT-02,PROC-JRN-004,"PO and receipt to supplier invoice, match and accounts payable",UAT,"Exception/recovery business-role acceptance for PO and receipt to supplier invoice, match and accounts payable",PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-005-E2E-01,PROC-JRN-005,Stock replenishment to governed purchasing,E2E,Happy path for Stock replenishment to governed purchasing,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-005-E2E-02,PROC-JRN-005,Stock replenishment to governed purchasing,E2E,Permission/concurrency/validation failure for Stock replenishment to governed purchasing,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-005-E2E-03,PROC-JRN-005,Stock replenishment to governed purchasing,E2E,Retry/reversal/reconciliation for Stock replenishment to governed purchasing,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-005-UAT-01,PROC-JRN-005,Stock replenishment to governed purchasing,UAT,Primary business-role acceptance for Stock replenishment to governed purchasing,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-005-UAT-02,PROC-JRN-005,Stock replenishment to governed purchasing,UAT,Exception/recovery business-role acceptance for Stock replenishment to governed purchasing,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-006-E2E-01,PROC-JRN-006,Manufacturing subcontract demand to purchase and receipt,E2E,Happy path for Manufacturing subcontract demand to purchase and receipt,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-006-E2E-02,PROC-JRN-006,Manufacturing subcontract demand to purchase and receipt,E2E,Permission/concurrency/validation failure for Manufacturing subcontract demand to purchase and receipt,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-006-E2E-03,PROC-JRN-006,Manufacturing subcontract demand to purchase and receipt,E2E,Retry/reversal/reconciliation for Manufacturing subcontract demand to purchase and receipt,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-006-UAT-01,PROC-JRN-006,Manufacturing subcontract demand to purchase and receipt,UAT,Primary business-role acceptance for Manufacturing subcontract demand to purchase and receipt,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-006-UAT-02,PROC-JRN-006,Manufacturing subcontract demand to purchase and receipt,UAT,Exception/recovery business-role acceptance for Manufacturing subcontract demand to purchase and receipt,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-007-E2E-01,PROC-JRN-007,Incoming receipt quality exception and disposition,E2E,Happy path for Incoming receipt quality exception and disposition,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-007-E2E-02,PROC-JRN-007,Incoming receipt quality exception and disposition,E2E,Permission/concurrency/validation failure for Incoming receipt quality exception and disposition,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-007-E2E-03,PROC-JRN-007,Incoming receipt quality exception and disposition,E2E,Retry/reversal/reconciliation for Incoming receipt quality exception and disposition,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-007-UAT-01,PROC-JRN-007,Incoming receipt quality exception and disposition,UAT,Primary business-role acceptance for Incoming receipt quality exception and disposition,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PROC-JRN-007-UAT-02,PROC-JRN-007,Incoming receipt quality exception and disposition,UAT,Exception/recovery business-role acceptance for Incoming receipt quality exception and disposition,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-001-E2E-01,STOCK-JRN-001,Procure to available stock,E2E,Happy path for Procure to available stock,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-001-E2E-02,STOCK-JRN-001,Procure to available stock,E2E,Permission/concurrency/validation failure for Procure to available stock,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-001-E2E-03,STOCK-JRN-001,Procure to available stock,E2E,Retry/reversal/reconciliation for Procure to available stock,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-001-UAT-01,STOCK-JRN-001,Procure to available stock,UAT,Primary business-role acceptance for Procure to available stock,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-001-UAT-02,STOCK-JRN-001,Procure to available stock,UAT,Exception/recovery business-role acceptance for Procure to available stock,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-002-E2E-01,STOCK-JRN-002,Sales reservation to shipment,E2E,Happy path for Sales reservation to shipment,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-002-E2E-02,STOCK-JRN-002,Sales reservation to shipment,E2E,Permission/concurrency/validation failure for Sales reservation to shipment,PLANNED,NOT_EXECUTED_PLANNING_ONLY
