from_sp_id,to_sp_id,relationship,rationale
SP002,SP001,DEPENDS_ON,Company and legal-entity structure relies on the public/shared contract owned by SP001.
SP003,SP001,DEPENDS_ON,"Branch, site and operating-unit context relies on the public/shared contract owned by SP001."
SP003,SP002,DEPENDS_ON,"Branch, site and operating-unit context relies on the public/shared contract owned by SP002."
SP004,SP001,DEPENDS_ON,Identity and user lifecycle relies on the public/shared contract owned by SP001.
SP005,SP004,DEPENDS_ON,Authentication and credential security relies on the public/shared contract owned by SP004.
SP006,SP005,DEPENDS_ON,Session and device security relies on the public/shared contract owned by SP005.
SP007,SP005,DEPENDS_ON,"MFA, account recovery and step-up authentication relies on the public/shared contract owned by SP005."
SP007,SP006,DEPENDS_ON,"MFA, account recovery and step-up authentication relies on the public/shared contract owned by SP006."
SP008,SP004,DEPENDS_ON,Roles and permission model relies on the public/shared contract owned by SP004.
SP009,SP001,DEPENDS_ON,"Record, field and contextual access control relies on the public/shared contract owned by SP001."
SP009,SP002,DEPENDS_ON,"Record, field and contextual access control relies on the public/shared contract owned by SP002."
SP009,SP003,DEPENDS_ON,"Record, field and contextual access control relies on the public/shared contract owned by SP003."
SP009,SP008,DEPENDS_ON,"Record, field and contextual access control relies on the public/shared contract owned by SP008."
SP010,SP001,DEPENDS_ON,Module entitlements and feature access relies on the public/shared contract owned by SP001.
SP010,SP008,DEPENDS_ON,Module entitlements and feature access relies on the public/shared contract owned by SP008.
SP011,SP010,DEPENDS_ON,"Subscription, billing and usage metering relies on the public/shared contract owned by SP010."
SP011,SP015,DEPENDS_ON,"Subscription, billing and usage metering relies on the public/shared contract owned by SP015."
SP011,SP025,DEPENDS_ON,"Subscription, billing and usage metering relies on the public/shared contract owned by SP025."
SP012,SP008,DEPENDS_ON,Approval framework and segregation of duties relies on the public/shared contract owned by SP008.
SP012,SP009,DEPENDS_ON,Approval framework and segregation of duties relies on the public/shared contract owned by SP009.
SP013,SP012,DEPENDS_ON,Workflow and automation engine relies on the public/shared contract owned by SP012.
SP013,SP015,DEPENDS_ON,Workflow and automation engine relies on the public/shared contract owned by SP015.
SP013,SP016,DEPENDS_ON,Workflow and automation engine relies on the public/shared contract owned by SP016.
SP014,SP001,DEPENDS_ON,Audit trail and change history relies on the public/shared contract owned by SP001.
SP014,SP004,DEPENDS_ON,Audit trail and change history relies on the public/shared contract owned by SP004.
SP015,SP014,DEPENDS_ON,"Domain events, transactional outbox and event delivery relies on the public/shared contract owned by SP014."
SP016,SP015,DEPENDS_ON,"Background jobs, scheduling, retries and dead letters relies on the public/shared contract owned by SP015."
SP017,SP015,DEPENDS_ON,Notifications and preference center relies on the public/shared contract owned by SP015.
SP017,SP016,DEPENDS_ON,Notifications and preference center relies on the public/shared contract owned by SP016.
SP018,SP016,DEPENDS_ON,Email delivery and inbound-mail platform relies on the public/shared contract owned by SP016.
SP018,SP017,DEPENDS_ON,Email delivery and inbound-mail platform relies on the public/shared contract owned by SP017.
SP018,SP019,DEPENDS_ON,Email delivery and inbound-mail platform relies on the public/shared contract owned by SP019.
SP019,SP009,DEPENDS_ON,"Files, attachments and document security relies on the public/shared contract owned by SP009."
SP020,SP009,DEPENDS_ON,Search and indexing relies on the public/shared contract owned by SP009.
SP020,SP015,DEPENDS_ON,Search and indexing relies on the public/shared contract owned by SP015.
SP020,SP016,DEPENDS_ON,Search and indexing relies on the public/shared contract owned by SP016.
SP021,SP009,DEPENDS_ON,"Custom fields, tags and controlled extensibility relies on the public/shared contract owned by SP009."
SP021,SP020,DEPENDS_ON,"Custom fields, tags and controlled extensibility relies on the public/shared contract owned by SP020."
SP022,SP002,DEPENDS_ON,"Numbering, sequences and reference generation relies on the public/shared contract owned by SP002."
SP022,SP026,DEPENDS_ON,"Numbering, sequences and reference generation relies on the public/shared contract owned by SP026."
SP023,SP009,DEPENDS_ON,"Import, export and bulk data operations relies on the public/shared contract owned by SP009."
SP023,SP016,DEPENDS_ON,"Import, export and bulk data operations relies on the public/shared contract owned by SP016."
