feature_id,module,feature_name,capability_id,capability_name,primary_wave,specification_status,current_code_status,implementation_status,automated_verification_status,codex_qa_status,human_uat_status,final_acceptance_status,active_blocker,dossier_path,evidence_path,last_updated_commit
F001,CRM,Leads,CRM-CAP-001,Prospect and relationship master data,W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F001-leads.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F002,CRM,Accounts / companies,CRM-CAP-001,Prospect and relationship master data,W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F002-accounts-companies.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F003,CRM,Contacts,CRM-CAP-001,Prospect and relationship master data,W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F003-contacts.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F004,CRM,Lead sources,CRM-CAP-001,Prospect and relationship master data,W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F004-lead-sources.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F005,CRM,Lead assignment,CRM-CAP-002,"Lead lifecycle, qualification and prioritization",W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F005-lead-assignment.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F006,CRM,Lead qualification,CRM-CAP-002,"Lead lifecycle, qualification and prioritization",W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F006-lead-qualification.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F007,CRM,Lead stages and statuses,CRM-CAP-002,"Lead lifecycle, qualification and prioritization",W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F007-lead-stages-and-statuses.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F008,CRM,Duplicate detection,CRM-CAP-001,Prospect and relationship master data,W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F008-duplicate-detection.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F009,CRM,Opportunities,CRM-CAP-003,Opportunity and pipeline governance,W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F009-opportunities.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F010,CRM,Opportunity pipeline,CRM-CAP-003,Opportunity and pipeline governance,W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F010-opportunity-pipeline.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
F011,CRM,Probability and expected revenue,CRM-CAP-003,Opportunity and pipeline governance,W03,SPECIFICATION_READY,AUDITED,RECONCILIATION_REQUIRED,NOT_RECONCILED,NOT_RUN,NOT_RUN,NOT_APPROVED,Primary wave/predecessor and current-code evidence must be reconciled under the five-go protocol before acceptance.,docs/03-modules/crm/features/F011-probability-and-expected-revenue.md,,656ba69e302fbbf133fae0716c4dc7516d3a4a17
