wave_id,execution_status,predecessor_evidence_status,exit_gate_status,active_work_packages,last_verified_commit,evidence_path,blockers,accountable_owner
T00,COMPLETE,PASS,PASS,,e7c0dfe27fdd19d11a29e8b2ad9ff1628cf651ca,docs/08-implementation-plans/evidence/EXECUTION_STATE_RECONCILIATION_20260904.md,,Project Manager
T01,CANDIDATE_COMPLETE,PASS,PENDING,,3569376eb9bbbed930235dda4b462b833b0d80fe,docs/08-implementation-plans/evidence/AWP-T01-SHARED-PLATFORM-01.md,Automated T01 engineering/release/live-DB certification passed; Project Manager human UAT sign-off is required before COMPLETE/PASS.,Project Manager
W01,BLOCKED,PENDING,PENDING,,e7c0dfe27fdd19d11a29e8b2ad9ff1628cf651ca,docs/08-implementation-plans/evidence/EXECUTION_STATE_RECONCILIATION_20260904.md,T01 exit gate is PENDING; master-data implementation evidence exists but dedicated wave-level live invariant/UAT acceptance is not PASS,Project Manager
W02,BLOCKED,PENDING,PENDING,,e7c0dfe27fdd19d11a29e8b2ad9ff1628cf651ca,docs/08-implementation-plans/evidence/EXECUTION_STATE_RECONCILIATION_20260904.md,T01/W01 exit gates are not PASS; ledger/stock primitive evidence exists but property/golden/live-concurrency wave acceptance is incomplete,Project Manager
W03,BLOCKED,PENDING,PENDING,,e7c0dfe27fdd19d11a29e8b2ad9ff1628cf651ca,docs/08-implementation-plans/evidence/EXECUTION_STATE_RECONCILIATION_20260904.md,T01/W01 exit gates are not PASS; F001 human UAT remains pending and F001-F030 do not have a reconciled CRM wave exit PASS,Project Manager
W04,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W05,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W06,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W07,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W08,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W09,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W10,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W11,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W12,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W13,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W14,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
W15,RECONCILIATION_REQUIRED,RECONCILIATION_REQUIRED,NOT_EVALUATED,,,,Repository implementation predates live execution register; objective evidence reconciliation required before new parallel packages are authorized,Project Manager
