feature_id,feature_name,module,review_status,review_questions,owner_ai_role
F001,Leads,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F002,Accounts / companies,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F003,Contacts,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F004,Lead sources,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F005,Lead assignment,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F006,Lead qualification,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F007,Lead stages and statuses,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F008,Duplicate detection,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F009,Opportunities,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F010,Opportunity pipeline,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F011,Probability and expected revenue,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F012,Sales stages,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F013,Calls,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F014,Meetings,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F015,Tasks,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F016,Follow-ups and reminders,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F017,Notes and attachments,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F018,Email history,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F019,Activity timeline,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F020,Territories and sales teams,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F021,Lead import and export,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F022,Lead-to-opportunity conversion,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F023,Opportunity-to-quotation conversion,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F024,Pipeline dashboard,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F025,Sales forecast,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F026,Won / lost reasons,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F027,Basic lead scoring,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F028,Custom fields and tags,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F029,Bulk actions,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F030,CRM reports,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F031,Customer master,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F032,Customer addresses and contacts,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F033,Products and services,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F034,Price lists,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F035,Customer-specific prices,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F036,Quotations,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F037,Quotation versions and revisions,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F038,Quotation expiry,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F039,Discounts,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F040,Taxes,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F041,Approval workflow,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F042,Sales orders,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F043,Order confirmation,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F044,Order amendments,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F045,Availability check,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F046,Stock reservation,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F047,Partial fulfilment,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F048,Backorders,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F049,Delivery and shipment,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F050,Sales invoices,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F051,Partial invoicing,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F052,Advance payments,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F053,Credit limits,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F054,Customer returns,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F055,Credit notes and refunds,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F056,Drop shipping,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F057,Sales commissions,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F058,Payment terms,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F059,Order status tracking,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F060,Sales analytics,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F061,Margin and profitability,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F062,Order-to-cash reporting,Sales,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F063,Supplier master,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F064,Supplier contacts and addresses,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F065,Supplier onboarding,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F066,Supplier categories,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F067,Purchase requisitions,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F068,Requisition approvals,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F069,RFQ creation,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F070,RFQ to multiple vendors,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F071,Supplier quotations,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F072,Bid comparison,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F073,Supplier selection,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F074,Purchase orders,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F075,PO approvals,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F076,PO amendments,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F077,Blanket purchase orders,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F078,Purchase agreements and contracts,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F079,Supplier price lists,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
