planned_test_id,authority_type,authority_id,requirement_id,requirement_type,verification_type,priority,objective,required_environment,status,execution_evidence,owner
PVT-F001-CAP-001,BUSINESS_FEATURE,F001,F001-CAP-001,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F001-CAP-001: Core operator outcome,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-CAP-002,BUSINESS_FEATURE,F001,F001-CAP-002,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F001-CAP-002: Enterprise completeness,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-CAP-003,BUSINESS_FEATURE,F001,F001-CAP-003,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F001-CAP-003: Boundary ownership,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-FR-001,BUSINESS_FEATURE,F001,F001-FR-001,FR,DOMAIN_UNIT,P0,Verify approved requirement F001-FR-001: Primary workflow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-FR-002,BUSINESS_FEATURE,F001,F001-FR-002,FR,DOMAIN_UNIT,P0,Verify approved requirement F001-FR-002: History and recoverability,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-FR-003,BUSINESS_FEATURE,F001,F001-FR-003,FR,DOMAIN_UNIT,P0,Verify approved requirement F001-FR-003: Enterprise volume,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-US-001,BUSINESS_FEATURE,F001,F001-US-001,US,UX_ACCEPTANCE,P0,Verify approved requirement F001-US-001: Front-line job,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-US-002,BUSINESS_FEATURE,F001,F001-US-002,US,UX_ACCEPTANCE,P0,Verify approved requirement F001-US-002: Manager/operations job,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-FLOW-001,BUSINESS_FEATURE,F001,F001-FLOW-001,FLOW,FLOW_INTEGRATION,P0,Verify approved requirement F001-FLOW-001: Primary and alternate flow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-FLOW-002,BUSINESS_FEATURE,F001,F001-FLOW-002,FLOW,FLOW_INTEGRATION,P0,Verify approved requirement F001-FLOW-002: Failure and retry flow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-BR-001,BUSINESS_FEATURE,F001,F001-BR-001,BR,DOMAIN_PROPERTY,P0,Verify approved requirement F001-BR-001: Authoritative ownership,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-BR-002,BUSINESS_FEATURE,F001,F001-BR-002,BR,DOMAIN_PROPERTY,P0,Verify approved requirement F001-BR-002: Historical truth,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F001-DATA-001,BUSINESS_FEATURE,F001,F001-DATA-001,DATA,DATABASE_CONSTRAINT,P0,Verify approved requirement F001-DATA-001: Entity model,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
