feature_id,scope,module,category,feature_name,source_section,status,uat_status,ui_evidence,service_evidence,database_evidence,permission_evidence,test_evidence,primary_gap,secondary_gap,blocker_type,recommended_prompt_cluster,notes
NOTE-000,meta,META,SUPERSEDED,"SUPERSEDED FOR EXACT FEATURE COUNTING BY PROMPT 15",Prompt 15,UNVERIFIED,BLOCKED,,,,,,"This 288-row functional-area matrix is retained as forensic/research evidence only","The exact, individually-numbered 1,039-feature historical register was recovered externally after this file was written and is now canonical — see docs/implementation/ERP_EXACT_FEATURE_MATRIX_015.csv and docs/product/VERCENTLABS_ERP_EXACT_1039_MASTER_REGISTER.md",PRODUCT_DECISION,n/a,"Do not confuse this file's 288 functional-area rows with the 1,039 exact requirements. This file remains valid as repository research (real file paths, real evidence) and its historical conclusions are NOT rewritten — see ERP_EXACT_FEATURE_RECONCILIATION_015.md Section 27 for what changed and why once exact classification became possible."
NOTE-001,meta,META,METHODOLOGY,"Exact 1039-row historical feature register NOT found in repository",Part 42,UNVERIFIED,BLOCKED,,,,,,"No row-level named feature catalogue exists anywhere in the repo","The only candidate (docs/VERCENTLABS_ERP_12_MODULE_FEATURE_REGISTER.md) is a disqualified 236-item auto-generated scan with non-matching counts",PRODUCT_DECISION,n/a,"This CSV therefore contains the REAL functional-area inventory found via evidence-based code inspection (approx. 280 rows), not 1039 fabricated named rows. Each row carries catalogue_weight in notes where an estimate was given by the research pass. See ERP_FEATURE_RECONCILIATION_011.md Section 2-4 for full methodology and the CRITICAL SOURCE CHECK fallback this follows."
CRM-001,module,CRM,Accounts,Account and customer management,Part 10,COMPLETE,READY,"apps/web/src/app/(app)/crm/accounts/[id]/page.tsx",crm.js account CRUD + account-intelligence.js,crm_accounts,crm.accounts.*,crm-core.test.mjs,,,,23-24,
CRM-002,module,CRM,Accounts,"Account hierarchy, merge, 360 view, duplicates",Part 10,COMPLETE,READY,"api/crm/accounts/[id]/{hierarchy,merge,customer-360}",crm/account-intelligence.js (1450 lines),crm_accounts,crm.accounts.*,,,,,23-24,
CRM-003,module,CRM,Contacts,Contact management,Part 10,COMPLETE,READY,"crm/contacts",crm.js resource CRUD,crm_contacts,crm.contacts.*,,,,,23-24,"Prior auto-scan flagged this as Not found; confirmed real via direct code read"
CRM-004,module,CRM,Leads,"Lead capture, master, convert, merge, duplicates",Part 10,COMPLETE,READY,crm/leads,crm.js CRUD,crm_leads,crm.leads.*,field-visibility.test.mjs,,,,23-24,
CRM-005,module,CRM,Leads,Lead scoring and qualification,Part 10,COMPLETE,READY,,crm/lead-intelligence.js (deterministic weighted rules),crm_lead_intelligence,,,,"Rule-based, not real ML/AI despite UI 'AI' labelling",PRODUCT_DECISION,23-24,Do not overclaim as AI in any copy
CRM-006,module,CRM,Opportunities,Opportunity and pipeline management,Part 10,COMPLETE,READY,crm/opportunities,crm.js stage-history + playbook gating,crm_opportunity_stage_history,,,,,,23-24,
CRM-007,module,CRM,Forecasting,Sales forecasting,Part 10,COMPLETE,READY,,getCrmReport forecast,,,,,,,23-24,
CRM-008,module,CRM,Activities,"Activities, calls, meetings, tasks",Part 10,COMPLETE,READY,,crm_activities ownership scoping,crm_activities,,,,,,23-24,
CRM-009,module,CRM,Communications,Email/omnichannel communications,Part 10,COMPLETE,LIMITED,,crm/communications.js (1820 lines),,,,"Real providers need live credentials",,EXTERNAL_PROVIDER,23-24,Mock provider explicitly labelled non-production
CRM-010,module,CRM,Communications,Telephony and conversation intelligence,Part 10,COMPLETE,BLOCKED,crm/conversation-intelligence,crm/conversation-intelligence.js (949 lines),,,,,"Delivery worker (crm:provider-jobs) does not exist",SCHEDULER,13-16,
CRM-011,module,CRM,Campaigns,"Campaigns, target lists, segments, journeys, nurture",Part 10,COMPLETE,READY,,crm/marketing-execution.js (1490 lines),,,,,,,23-24,
CRM-012,module,CRM,Automation,CRM rule-based automation engine,Part 10,PARTIAL,LIMITED,/automation,crm.js runCrmAutomation,crm_automation_rules/runs,automation.view,,"Only 3 of 7 defined event types ever fire",,WORKFLOW,13-16,lead.updated/qualified/activity.overdue/campaign.member_responded never invoked anywhere
CRM-013,module,CRM,Customer success,Customer success dashboards,Part 10,COMPLETE,READY,,crm/customer-success.js (885 lines),,,,,,,23-24,
CRM-014,module,CRM,Partner,Partner/reseller engagement,Part 10,COMPLETE,READY,,crm/partner-engagement.js (507 lines),,,,,,,23-24,
CRM-015,module,CRM,Privacy,"Privacy, consent, retention",Part 10,COMPLETE,READY,/compliance/retention,crm/account-intelligence.js privacy tables,,,,,,,23-24,
