feature_id,feature_name,module,dossier_path,capability_requirement_ids,flow_requirement_ids,business_rule_ids,data_requirement_ids,validation_ids,calculation_ids,ux_ids,security_ids,integration_ids,api_ids,e2e_ids,uat_ids,semantic_review_status,mobile_classification,implementation_authorization,semantic_subcapability_count,flow_state_review_status,pass_c_flow_ids,pass_c_transition_ids
F001,Leads,CRM,docs\03-modules\crm\features\F001-leads.md,F001-CAP-001;F001-CAP-002;F001-CAP-003,F001-FLOW-001;F001-FLOW-002,F001-BR-001;F001-BR-002,F001-DATA-001;F001-DATA-002,F001-VAL-001;F001-VAL-002,F001-CALC-001,F001-UX-001;F001-UX-002;F001-UX-003,F001-SEC-001;F001-SEC-002,F001-INT-001;F001-INT-002,F001-API-001;F001-API-002,F001-E2E-001;F001-E2E-002,F001-UAT-001;F001-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F001-PFC-01;F001-PFC-02;F001-PFC-03;F001-PFC-04;F001-PFC-05;F001-PFC-06;F001-PFC-07;F001-PFC-08;F001-PFC-09;F001-PFC-10,F001-STM-01;F001-STM-02;F001-STM-03;F001-STM-04;F001-STM-05
F002,Accounts / companies,CRM,docs\03-modules\crm\features\F002-accounts-companies.md,F002-CAP-001;F002-CAP-002;F002-CAP-003,F002-FLOW-001;F002-FLOW-002,F002-BR-001;F002-BR-002,F002-DATA-001;F002-DATA-002,F002-VAL-001;F002-VAL-002,F002-CALC-001,F002-UX-001;F002-UX-002;F002-UX-003,F002-SEC-001;F002-SEC-002,F002-INT-001;F002-INT-002,F002-API-001;F002-API-002,F002-E2E-001;F002-E2E-002,F002-UAT-001;F002-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F002-PFC-01;F002-PFC-02;F002-PFC-03;F002-PFC-04;F002-PFC-05;F002-PFC-06;F002-PFC-07;F002-PFC-08;F002-PFC-09;F002-PFC-10,F002-STM-01;F002-STM-02;F002-STM-03;F002-STM-04;F002-STM-05
F003,Contacts,CRM,docs\03-modules\crm\features\F003-contacts.md,F003-CAP-001;F003-CAP-002;F003-CAP-003,F003-FLOW-001;F003-FLOW-002,F003-BR-001;F003-BR-002,F003-DATA-001;F003-DATA-002,F003-VAL-001;F003-VAL-002,F003-CALC-001,F003-UX-001;F003-UX-002;F003-UX-003,F003-SEC-001;F003-SEC-002,F003-INT-001;F003-INT-002,F003-API-001;F003-API-002,F003-E2E-001;F003-E2E-002,F003-UAT-001;F003-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F003-PFC-01;F003-PFC-02;F003-PFC-03;F003-PFC-04;F003-PFC-05;F003-PFC-06;F003-PFC-07;F003-PFC-08;F003-PFC-09;F003-PFC-10,F003-STM-01;F003-STM-02;F003-STM-03;F003-STM-04;F003-STM-05
F004,Lead sources,CRM,docs\03-modules\crm\features\F004-lead-sources.md,F004-CAP-001;F004-CAP-002;F004-CAP-003,F004-FLOW-001;F004-FLOW-002,F004-BR-001;F004-BR-002,F004-DATA-001;F004-DATA-002,F004-VAL-001;F004-VAL-002,F004-CALC-001,F004-UX-001;F004-UX-002;F004-UX-003,F004-SEC-001;F004-SEC-002,F004-INT-001;F004-INT-002,F004-API-001;F004-API-002,F004-E2E-001;F004-E2E-002,F004-UAT-001;F004-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F004-PFC-01;F004-PFC-02;F004-PFC-03;F004-PFC-04;F004-PFC-05;F004-PFC-06;F004-PFC-07;F004-PFC-08;F004-PFC-09;F004-PFC-10,F004-STM-01;F004-STM-02;F004-STM-03;F004-STM-04;F004-STM-05
F005,Lead assignment,CRM,docs\03-modules\crm\features\F005-lead-assignment.md,F005-CAP-001;F005-CAP-002;F005-CAP-003,F005-FLOW-001;F005-FLOW-002,F005-BR-001;F005-BR-002,F005-DATA-001;F005-DATA-002,F005-VAL-001;F005-VAL-002,F005-CALC-001,F005-UX-001;F005-UX-002;F005-UX-003,F005-SEC-001;F005-SEC-002,F005-INT-001;F005-INT-002,F005-API-001;F005-API-002,F005-E2E-001;F005-E2E-002,F005-UAT-001;F005-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F005-PFC-01;F005-PFC-02;F005-PFC-03;F005-PFC-04;F005-PFC-05;F005-PFC-06;F005-PFC-07;F005-PFC-08;F005-PFC-09;F005-PFC-10,F005-STM-01;F005-STM-02;F005-STM-03;F005-STM-04;F005-STM-05
F006,Lead qualification,CRM,docs\03-modules\crm\features\F006-lead-qualification.md,F006-CAP-001;F006-CAP-002;F006-CAP-003,F006-FLOW-001;F006-FLOW-002,F006-BR-001;F006-BR-002,F006-DATA-001;F006-DATA-002,F006-VAL-001;F006-VAL-002,F006-CALC-001,F006-UX-001;F006-UX-002;F006-UX-003,F006-SEC-001;F006-SEC-002,F006-INT-001;F006-INT-002,F006-API-001;F006-API-002,F006-E2E-001;F006-E2E-002,F006-UAT-001;F006-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F006-PFC-01;F006-PFC-02;F006-PFC-03;F006-PFC-04;F006-PFC-05;F006-PFC-06;F006-PFC-07;F006-PFC-08;F006-PFC-09;F006-PFC-10,F006-STM-01;F006-STM-02;F006-STM-03;F006-STM-04;F006-STM-05
F007,Lead stages and statuses,CRM,docs\03-modules\crm\features\F007-lead-stages-and-statuses.md,F007-CAP-001;F007-CAP-002;F007-CAP-003,F007-FLOW-001;F007-FLOW-002,F007-BR-001;F007-BR-002,F007-DATA-001;F007-DATA-002,F007-VAL-001;F007-VAL-002,F007-CALC-001,F007-UX-001;F007-UX-002;F007-UX-003,F007-SEC-001;F007-SEC-002,F007-INT-001;F007-INT-002,F007-API-001;F007-API-002,F007-E2E-001;F007-E2E-002,F007-UAT-001;F007-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F007-PFC-01;F007-PFC-02;F007-PFC-03;F007-PFC-04;F007-PFC-05;F007-PFC-06;F007-PFC-07;F007-PFC-08;F007-PFC-09;F007-PFC-10,F007-STM-01;F007-STM-02;F007-STM-03;F007-STM-04;F007-STM-05
F008,Duplicate detection,CRM,docs\03-modules\crm\features\F008-duplicate-detection.md,F008-CAP-001;F008-CAP-002;F008-CAP-003,F008-FLOW-001;F008-FLOW-002,F008-BR-001;F008-BR-002,F008-DATA-001;F008-DATA-002,F008-VAL-001;F008-VAL-002,F008-CALC-001,F008-UX-001;F008-UX-002;F008-UX-003,F008-SEC-001;F008-SEC-002,F008-INT-001;F008-INT-002,F008-API-001;F008-API-002,F008-E2E-001;F008-E2E-002,F008-UAT-001;F008-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F008-PFC-01;F008-PFC-02;F008-PFC-03;F008-PFC-04;F008-PFC-05;F008-PFC-06;F008-PFC-07;F008-PFC-08;F008-PFC-09;F008-PFC-10,F008-STM-01;F008-STM-02;F008-STM-03;F008-STM-04;F008-STM-05
F009,Opportunities,CRM,docs\03-modules\crm\features\F009-opportunities.md,F009-CAP-001;F009-CAP-002;F009-CAP-003,F009-FLOW-001;F009-FLOW-002,F009-BR-001;F009-BR-002,F009-DATA-001;F009-DATA-002,F009-VAL-001;F009-VAL-002,F009-CALC-001,F009-UX-001;F009-UX-002;F009-UX-003,F009-SEC-001;F009-SEC-002,F009-INT-001;F009-INT-002,F009-API-001;F009-API-002,F009-E2E-001;F009-E2E-002,F009-UAT-001;F009-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F009-PFC-01;F009-PFC-02;F009-PFC-03;F009-PFC-04;F009-PFC-05;F009-PFC-06;F009-PFC-07;F009-PFC-08;F009-PFC-09;F009-PFC-10,F009-STM-01;F009-STM-02;F009-STM-03;F009-STM-04;F009-STM-05
F010,Opportunity pipeline,CRM,docs\03-modules\crm\features\F010-opportunity-pipeline.md,F010-CAP-001;F010-CAP-002;F010-CAP-003,F010-FLOW-001;F010-FLOW-002,F010-BR-001;F010-BR-002,F010-DATA-001;F010-DATA-002,F010-VAL-001;F010-VAL-002,F010-CALC-001,F010-UX-001;F010-UX-002;F010-UX-003,F010-SEC-001;F010-SEC-002,F010-INT-001;F010-INT-002,F010-API-001;F010-API-002,F010-E2E-001;F010-E2E-002,F010-UAT-001;F010-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F010-PFC-01;F010-PFC-02;F010-PFC-03;F010-PFC-04;F010-PFC-05;F010-PFC-06;F010-PFC-07;F010-PFC-08;F010-PFC-09;F010-PFC-10,F010-STM-01;F010-STM-02;F010-STM-03;F010-STM-04;F010-STM-05
