feature_id,feature_name,module,requirement_id,requirement_type,requirement_status,test_ids,dossier_path,build_authority
F001,Leads,CRM,F001-CAP-001,CAP,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-CAP-002,CAP,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-CAP-003,CAP,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-FR-001,FR,APPROVED,TST-F001-FR-001,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-FR-002,FR,APPROVED,TST-F001-FR-002,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-FR-003,FR,APPROVED,TST-F001-FR-003,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-US-001,US,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-US-002,US,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-FLOW-001,FLOW,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-FLOW-002,FLOW,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-BR-001,BR,APPROVED,TST-F001-BR-001,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-BR-002,BR,APPROVED,TST-F001-BR-002,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-DATA-001,DATA,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-DATA-002,DATA,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-VAL-001,VAL,APPROVED,TST-F001-VAL-001,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-VAL-002,VAL,APPROVED,TST-F001-VAL-002,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-CALC-001,CALC,APPROVED,TST-F001-CALC-001,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-UX-001,UX,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-UX-002,UX,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-UX-003,UX,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-SEC-001,SEC,APPROVED,TST-F001-SEC-001,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-SEC-002,SEC,APPROVED,TST-F001-SEC-002,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-AUTO-001,AUTO,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-APP-001,APP,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-NOTIF-001,NOTIF,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-REP-001,REP,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-AI-001,AI,APPROVED,,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-INT-001,INT,APPROVED,TST-F001-INT-001,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-INT-002,INT,APPROVED,TST-F001-INT-002,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
F001,Leads,CRM,F001-API-001,API,APPROVED,TST-F001-API-001,docs\03-modules\crm\features\F001-leads.md,SPECIFICATION_ONLY_UNTIL_GATE_PASS
