authority_type,authority_id,authority_name,requirement_count,semantic,flows_states,benchmark,architecture,verification_plan,wave,surface,journey_links,overall
BUSINESS_FEATURE,F001,Leads,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F002,Accounts / companies,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F003,Contacts,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F004,Lead sources,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F005,Lead assignment,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F006,Lead qualification,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F007,Lead stages and statuses,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F008,Duplicate detection,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F009,Opportunities,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F010,Opportunity pipeline,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F011,Probability and expected revenue,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F012,Sales stages,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F013,Calls,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F014,Meetings,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F015,Tasks,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F016,Follow-ups and reminders,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F017,Notes and attachments,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F018,Email history,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F019,Activity timeline,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F020,Territories and sales teams,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F021,Lead import and export,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F022,Lead-to-opportunity conversion,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F023,Opportunity-to-quotation conversion,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F024,Pipeline dashboard,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F025,Sales forecast,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F026,Won / lost reasons,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F027,Basic lead scoring,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F028,Custom fields and tags,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F029,Bulk actions,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F030,CRM reports,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F031,Customer master,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F032,Customer addresses and contacts,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F033,Products and services,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F034,Price lists,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F035,Customer-specific prices,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F036,Quotations,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F037,Quotation versions and revisions,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F038,Quotation expiry,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F039,Discounts,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F040,Taxes,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F041,Approval workflow,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F042,Sales orders,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F043,Order confirmation,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F044,Order amendments,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F045,Availability check,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F046,Stock reservation,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F047,Partial fulfilment,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F048,Backorders,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F049,Delivery and shipment,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F050,Sales invoices,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F051,Partial invoicing,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F052,Advance payments,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F053,Credit limits,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F054,Customer returns,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F055,Credit notes and refunds,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F056,Drop shipping,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F057,Sales commissions,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F058,Payment terms,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F059,Order status tracking,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F060,Sales analytics,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F061,Margin and profitability,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F062,Order-to-cash reporting,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F063,Supplier master,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F064,Supplier contacts and addresses,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F065,Supplier onboarding,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F066,Supplier categories,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F067,Purchase requisitions,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F068,Requisition approvals,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F069,RFQ creation,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F070,RFQ to multiple vendors,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F071,Supplier quotations,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F072,Bid comparison,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F073,Supplier selection,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F074,Purchase orders,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F075,PO approvals,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F076,PO amendments,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F077,Blanket purchase orders,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F078,Purchase agreements and contracts,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F079,Supplier price lists,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F080,Goods receipt / GRN,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F081,Partial receipts,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F082,Rejected receipts,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F083,Purchase returns,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F084,Supplier invoices,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F085,2-way matching,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BUSINESS_FEATURE,F086,3-way matching: PO – GRN – Invoice,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
