requirement_id,feature_id,capability_id,requirement_type,title,normative_statement,priority,status_flag,database_evidence,backend_function,http_endpoint,frontend_evidence,security_permission_evidence,cross_module_integration,positive_test,negative_test,concurrency_retry_test,browser_test,verification_result,commit_sha,exact_gap,next_action,phase_owner,notes
F268-CAP-001,F268,POS-CAP-001,CAP,Core sub-capability,"Stores and outlets MUST provide store/outlet identity linked to company, branch, warehouse, price/tax/currency/timezone configuration with activation controls.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-CAP-002,F268,POS-CAP-001,CAP,Governance sub-capability,"Stores and outlets MUST define lifecycle/state, operator/device scope, authorization, overrides/approvals, correction/reversal and immutable transaction evidence where financially relevant.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-CAP-003,F268,POS-CAP-001,CAP,Integration/evidence sub-capability,"Stores and outlets MUST expose auditable public contracts/events and evidence for Stock, customer/Sales/CRM, Accounting and shared platform interactions without direct private-table mutation.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-FR-001,F268,POS-CAP-001,FR,Operate lifecycle,Authorized users MUST execute the primary Stores and outlets lifecycle from a focused POS/store workspace with actionable validation and explicit state.,MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-FR-002,F268,POS-CAP-001,FR,Inspect exceptions,"Users MUST inspect history, exceptions, provider/sync/reconciliation state and related sale/shift/stock/accounting evidence for Stores and outlets without leaking unauthorized data.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-FR-003,F268,POS-CAP-001,FR,Correct safely,Committed Stores and outlets facts MUST be corrected through void/refund/reversal/amendment/reconciliation mechanisms rather than silent destructive edits.,MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-US-001,F268,POS-CAP-001,US,Cashier/operator story,"As an authorized cashier/operator, I can perform Stores and outlets quickly and understand price/payment/stock/shift state and the next safe action.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-US-002,F268,POS-CAP-001,US,Supervisor/auditor story,"As a supervisor/auditor, I can prove who executed/overrode Stores and outlets, on which store/terminal/shift, why, and how it reconciles to payment, stock and accounting truth.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-FLOW-001,F268,POS-CAP-001,FLOW,Primary flow,The primary Stores and outlets flow MUST validate store/terminal/shift/operator prerequisites -> authorize -> lock/version relevant transaction state -> apply one atomic POS transition -> audit -> emit idempotent public downstream intent -> show result.,MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-FLOW-002,F268,POS-CAP-001,FLOW,Exception/retry/reversal flow,"Stores and outlets MUST cover stale cart, duplicate submit, permission denial, stock conflict, device/peripheral failure, payment/network uncertainty, offline replay, downstream failure, retry, void/refund/reversal and reconciliation without duplicate business effect.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-BR-001,F268,POS-CAP-001,BR,Deterministic invariant,"Stores and outlets MUST obey authoritative payment, tax, pricing, stock, cash, shift, accounting and authorization rules; AI or client UI state cannot override these invariants.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-BR-002,F268,POS-CAP-001,BR,Historical transaction truth,"Once Stores and outlets contributes to a completed sale, payment, refund, closed shift, Z report or accounting batch, source history MUST remain immutable and corrections MUST link to the original fact.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-DATA-001,F268,POS-CAP-001,DATA,Primary data contract,"Stores and outlets MUST persist stable organization/company/store/terminal/shift/transaction identifiers, status/version, actor/device, timestamps/timezone, customer/item/tender references and feature-specific values required for store/outlet identity linked to company, branch, warehouse, price/tax/currency/timezone configuration with activation controls.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-DATA-002,F268,POS-CAP-001,DATA,Lineage/evidence data,"Stores and outlets MUST retain lineage to cart/sale/line/payment/provider/stock/refund/shift/reconciliation/accounting records, overrides/approvals and correlation/idempotency/offline transaction identifiers where applicable.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
