contract_id,feature_id,requirement_id,module,capability,current_route,target_route,backend_endpoint,http_method,domain_command,permission,record_scope,field_scope,request_contract,response_contract,query_parameters,mutation_parameters,lifecycle_rules,validation_behavior,concurrency_behavior,audit_behavior,approval_behavior,offline_behavior,mobile_behavior,cross_module_behavior,existing_e2e_evidence,target_screen,target_component,migration_status,notes
FC-0001,TBD,TBD,Accounting / Finance,TBD,/accounting/assets/[id],/accounting/assets/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/assets/[id]/page.tsx; kind=PAGE
FC-0002,TBD,TBD,Accounting / Finance,TBD,/accounting/assets/new,/accounting/assets/new,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/assets/new/page.tsx; kind=PAGE
FC-0003,TBD,TBD,Accounting / Finance,TBD,/accounting/assets,/accounting/assets,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/assets/page.tsx; kind=PAGE
FC-0004,TBD,TBD,Accounting / Finance,TBD,/accounting/banking,/accounting/banking,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/banking/page.tsx; kind=PAGE
FC-0005,TBD,TBD,Accounting / Finance,TBD,/accounting/close/[id],/accounting/close/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/close/[id]/page.tsx; kind=PAGE
FC-0006,TBD,TBD,Accounting / Finance,TBD,/accounting/close,/accounting/close,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/close/page.tsx; kind=PAGE
FC-0007,TBD,TBD,Accounting / Finance,TBD,/accounting/journals/[id],/accounting/journals/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/journals/[id]/page.tsx; kind=PAGE
FC-0008,TBD,TBD,Accounting / Finance,TBD,/accounting/journals/new,/accounting/journals/new,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/journals/new/page.tsx; kind=PAGE
FC-0009,TBD,TBD,Accounting / Finance,TBD,/accounting/journals,/accounting/journals,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/journals/page.tsx; kind=PAGE
FC-0010,TBD,TBD,Accounting / Finance,TBD,/accounting/operations,/accounting/operations,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/operations/page.tsx; kind=PAGE
FC-0011,TBD,TBD,Accounting / Finance,TBD,/accounting,/accounting,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/page.tsx; kind=PAGE
FC-0012,TBD,TBD,Accounting / Finance,TBD,/accounting/payables/[id],/accounting/payables/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/payables/[id]/page.tsx; kind=PAGE
FC-0013,TBD,TBD,Accounting / Finance,TBD,/accounting/payables/new,/accounting/payables/new,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/payables/new/page.tsx; kind=PAGE
