module,resource,fields,read_permission,write_permission,owner_bypass,read_enforcement,write_enforcement,detail,list,search,report,export,document,apiV1,jobs,events,automation,attachments,note
crm,leads,email phone mobile customData consentEmail consentSms consentWhatsapp doNotContact qualificationReasonText qualificationNote scoreExplanation normalizedEmail normalizedMobile normalizedBusinessPhone,crm.leads.view_sensitive,crm.leads.view_sensitive,true,services/api/src/modules/crm/lead-lifecycle-qualification-and-prioritization/lead-security.js#projectLeadForContext,services/api/src/modules/crm/lead-lifecycle-qualification-and-prioritization/lead-security.js#firstSensitiveLeadInputField,projected,projected,excluded,excluded,projected,not-exposed,not-exposed,projected,excluded,excluded,not-exposed,Report dataset crm.leads has no contact columns; the CSV export is built from listCrmRecords with the requester's re-resolved context.
crm,contacts,email phone mobile normalizedEmail normalizedMobile,crm.contacts.view_sensitive,crm.contacts.view_sensitive,true,services/api/src/modules/crm/prospect-and-relationship-master-data/contact-security.js#projectContactForContext,services/api/src/modules/crm/prospect-and-relationship-master-data/contact-security.js#firstSensitiveContactInputField,projected,projected,excluded,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,excluded,excluded,not-exposed,
crm,accounts,gstin pan msmeNumber normalizedPan,crm.accounts.view_sensitive,crm.accounts.view_sensitive,true,services/api/src/modules/crm/prospect-and-relationship-master-data/account-security.js#projectAccountForContext,services/api/src/modules/crm/prospect-and-relationship-master-data/account-security.js#firstSensitiveAccountInputField,projected,projected,excluded,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,excluded,excluded,not-exposed,
procurement,suppliers,bankAccountNumber bankAccountName bankName bankBranch bankIfscCode bankSwiftCode bankRoutingNumber bankIban,procurement.suppliers.sensitive,procurement.suppliers.sensitive,true,services/api/src/modules/procurement/index.js#applySupplierFieldVisibility,services/api/src/modules/procurement/index.js#assertSupplierSensitiveFieldsAllowed,projected,projected,excluded,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,excluded,excluded,not-exposed,
hr-payroll,employees,personal_email personal_phone date_of_birth gender marital_status nationality address bank_details tax_identifiers statutory_identifiers emergency_contacts,hr_payroll.sensitive.view,hr_payroll.sensitive.view,false,services/api/src/modules/hr-payroll/common.js#EMPLOYEE_SENSITIVE,services/api/src/modules/hr-payroll/index.js#EMPLOYEE_SENSITIVE_FIELDS,projected,projected,excluded,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,An employee always sees their own record through self-service.
hr-payroll,compensation,*,hr_payroll.sensitive.view,hr_payroll.compensation.manage,false,services/api/src/modules/hr-payroll/compensation.js#SEE,services/api/src/modules/hr-payroll/compensation.js#MANAGE,gated,gated,excluded,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,Salary structures and compensation are whole-record gated; the module event log that records CTC changes (tenant.hr_payroll_events) has no reader.
support,private_notes_and_attachments,*,support.sensitive.view,support.sensitive.view,false,services/api/src/modules/support/common.js#stripPrivate,services/api/src/modules/support/index.js#support.sensitive.view,gated,gated,excluded,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,gated,Record-level: a private note/attachment is visible to sensitive viewers and its author only; portal customers never see private items.
sales,quotations_orders_items,standard_cost cost_amount cost_total margin_amount margin_percent,sales.margin.view,(not writable),false,services/api/src/modules/sales/index.js#redactMargin,computed server-side from item costs; never client input,projected,projected,excluded,gated,not-exposed,excluded,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,The margin report requires sales.margin.view; the sales.orders report dataset and quotation/order PDFs use explicit columns without cost or margin.
manufacturing,costing,cost rate hourly_rate unit_cost issued_cost laborCost overheadCost,manufacturing.costing.view,(not writable),false,services/api/src/modules/manufacturing/execution.js#seeCost;services/api/src/modules/manufacturing/shopfloor.js#seeCost;services/api/src/modules/manufacturing/routing.js#seeCost;services/api/src/modules/manufacturing/costing.js#needCost,computed server-side from postings; never client input,projected,projected,excluded,gated,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,
projects,projects,approved_budget contracted_revenue,projects.profitability.view,projects.profitability.view,true,services/api/src/modules/projects/setup.js#maskProject,services/api/src/modules/projects/setup.js#assertFinanceFieldsWritable,projected,projected,excluded,gated,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,"Any project finance permission reveals them (canSeeFinance: budget.manage, billing.manage, profitability.view, approve, reports.view)."
accounting,bank_accounts,masked_account_number,accounting.view,accounting.bank.manage,false,structural,services/api/src/modules/accounting/banking.js#masked_account_number,structural,structural,excluded,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,excluded,excluded,not-exposed,Full bank account numbers are never stored: only a masked number is accepted and kept.
point-of-sale,payment_provider_configs,credential_env_var,pos.payment.manage,pos.payment.manage,false,structural,services/api/src/modules/point-of-sale/store-terminal-and-cashier-control/settings-and-payment-config.js#credentialEnvVar,structural,structural,excluded,not-exposed,not-exposed,not-exposed,not-exposed,not-exposed,excluded,excluded,not-exposed,Provider credentials are never accepted or stored; only the NAME of the environment variable that holds one.
assets,(none),,,,,,,,,,,,,,,,,,Asset register values are visible to every assets.view holder; no sensitive-field permission exists.
stock,(none),,,,,,,,,,,,,,,,,,Stock quantities and valuation are protected by stock permissions at record level; no field rule exists.
quality,(none),,,,,,,,,,,,,,,,,,Inspection data carries no personal or financial sensitive fields.
