feature_id,feature_name,module,web_classification,mobile_classification,offline_classification,desktop_authority,accessibility,status
F001,Leads,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F002,Accounts / companies,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F003,Contacts,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F004,Lead sources,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F005,Lead assignment,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F006,Lead qualification,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F007,Lead stages and statuses,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F008,Duplicate detection,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F009,Opportunities,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F010,Opportunity pipeline,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F011,Probability and expected revenue,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F012,Sales stages,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F013,Calls,CRM,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F014,Meetings,CRM,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F015,Tasks,CRM,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F016,Follow-ups and reminders,CRM,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F017,Notes and attachments,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F018,Email history,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F019,Activity timeline,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F020,Territories and sales teams,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F021,Lead import and export,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F022,Lead-to-opportunity conversion,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F023,Opportunity-to-quotation conversion,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F024,Pipeline dashboard,CRM,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F025,Sales forecast,CRM,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F026,Won / lost reasons,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F027,Basic lead scoring,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F028,Custom fields and tags,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F029,Bulk actions,CRM,FULL_RESPONSIVE,FULL,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F030,CRM reports,CRM,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F031,Customer master,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F032,Customer addresses and contacts,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F033,Products and services,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F034,Price lists,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F035,Customer-specific prices,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F036,Quotations,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F037,Quotation versions and revisions,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F038,Quotation expiry,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F039,Discounts,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F040,Taxes,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F041,Approval workflow,Sales,FULL_RESPONSIVE,APPROVAL_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F042,Sales orders,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F043,Order confirmation,Sales,FULL_RESPONSIVE,APPROVAL_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F044,Order amendments,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F045,Availability check,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F046,Stock reservation,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
