semantic_id,feature_id,module,feature_name,semantic_family,axis,title,normative_scope,classification,mandatory,owner_feature_id,shared_platform_dependencies,cross_module_context,acceptance_condition,status,reviewed_on
F001-SEM-01,F001,CRM,Leads,operational,CORE,Leads — Feature-specific lifecycle and operator outcome,"Freeze entry conditions, valid states/actions, terminal outcomes and explicit non-goals for this feature. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F001,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F001-SEM-02,F001,CRM,Leads,operational,DATA,"Leads — Authoritative data, relationships and historical truth","Define identifiers, required/optional fields, references, effective dates, lineage, retention and immutable historical facts.",B_EXISTING_FID_SUBCAPABILITY,YES,F001,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F001-SEM-03,F001,CRM,Leads,operational,RULE,"Leads — Eligibility, validation, precedence and invariant rules","Specify server-side guards, configuration precedence, deterministic decisions and actionable failure messages. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F001,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F001-SEM-04,F001,CRM,Leads,operational,SEC,"Leads — Role, scope, sensitive field and override authority","Define permissions, tenant/company/branch/team/owner scope, field visibility and privileged override audit.",B_EXISTING_FID_SUBCAPABILITY,YES,F001,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F001-SEM-05,F001,CRM,Leads,operational,UX,Leads — Primary/alternate/exception operator workflow,"Cover list/search/detail/create/edit/actions, bulk behavior, empty/error/conflict states, responsive/mobile applicability and accessibility.",B_EXISTING_FID_SUBCAPABILITY,YES,F001,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F001-SEM-06,F001,CRM,Leads,operational,INT,Leads — Cross-module/external ownership and contract boundaries,"Identify authoritative owner, public commands/queries, event/outbox effects, idempotency and reconciliation. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F001,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F001-SEM-07,F001,CRM,Leads,operational,EXC,"Leads — Concurrency, duplicate, retry, cancellation and recovery","Define stale writes, duplicate submissions, retries, partial integration failure, reversal/compensation and exception queues. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F001,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F001-SEM-08,F001,CRM,Leads,operational,VER,"Leads — Audit, observability, automated tests and UAT","Require auditable state changes, metrics/logs, negative/concurrency/integration tests, E2E and human sign-off.",B_EXISTING_FID_SUBCAPABILITY,YES,F001,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F002-SEM-01,F002,CRM,Accounts / companies,operational,CORE,Accounts / companies — Feature-specific lifecycle and operator outcome,"Freeze entry conditions, valid states/actions, terminal outcomes and explicit non-goals for this feature.",B_EXISTING_FID_SUBCAPABILITY,YES,F002,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F002-SEM-02,F002,CRM,Accounts / companies,operational,DATA,"Accounts / companies — Authoritative data, relationships and historical truth","Define identifiers, required/optional fields, references, effective dates, lineage, retention and immutable historical facts.",B_EXISTING_FID_SUBCAPABILITY,YES,F002,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F002-SEM-03,F002,CRM,Accounts / companies,operational,RULE,"Accounts / companies — Eligibility, validation, precedence and invariant rules","Specify server-side guards, configuration precedence, deterministic decisions and actionable failure messages.",B_EXISTING_FID_SUBCAPABILITY,YES,F002,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F002-SEM-04,F002,CRM,Accounts / companies,operational,SEC,"Accounts / companies — Role, scope, sensitive field and override authority","Define permissions, tenant/company/branch/team/owner scope, field visibility and privileged override audit.",B_EXISTING_FID_SUBCAPABILITY,YES,F002,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F002-SEM-05,F002,CRM,Accounts / companies,operational,UX,Accounts / companies — Primary/alternate/exception operator workflow,"Cover list/search/detail/create/edit/actions, bulk behavior, empty/error/conflict states, responsive/mobile applicability and accessibility.",B_EXISTING_FID_SUBCAPABILITY,YES,F002,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F002-SEM-06,F002,CRM,Accounts / companies,operational,INT,Accounts / companies — Cross-module/external ownership and contract boundaries,"Identify authoritative owner, public commands/queries, event/outbox effects, idempotency and reconciliation.",B_EXISTING_FID_SUBCAPABILITY,YES,F002,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F002-SEM-07,F002,CRM,Accounts / companies,operational,EXC,"Accounts / companies — Concurrency, duplicate, retry, cancellation and recovery","Define stale writes, duplicate submissions, retries, partial integration failure, reversal/compensation and exception queues.",B_EXISTING_FID_SUBCAPABILITY,YES,F002,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F002-SEM-08,F002,CRM,Accounts / companies,operational,VER,"Accounts / companies — Audit, observability, automated tests and UAT","Require auditable state changes, metrics/logs, negative/concurrency/integration tests, E2E and human sign-off.",B_EXISTING_FID_SUBCAPABILITY,YES,F002,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F003-SEM-01,F003,CRM,Contacts,master_config,CORE,"Contacts — Definition, lifecycle and active/inactive semantics","Define creation, uniqueness, lifecycle, effective use and archival without destroying historical references.",B_EXISTING_FID_SUBCAPABILITY,YES,F003,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F003-SEM-02,F003,CRM,Contacts,master_config,DATA,"Contacts — Identity, hierarchy and reference integrity","Freeze canonical identifiers, parent/child or classification relationships, required fields, deduplication and historical reference behavior.",B_EXISTING_FID_SUBCAPABILITY,YES,F003,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F003-SEM-03,F003,CRM,Contacts,master_config,RULE,"Contacts — Defaults, precedence and effective dating","Define configuration scope, defaults, overrides, precedence, future-dated changes and non-retroactive history.",B_EXISTING_FID_SUBCAPABILITY,YES,F003,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F003-SEM-04,F003,CRM,Contacts,master_config,SEC,Contacts — Administration and field-level authority,"Separate view/use/manage authority, sensitive fields, cross-company scope and unauthorized reference prevention.",B_EXISTING_FID_SUBCAPABILITY,YES,F003,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F003-SEM-05,F003,CRM,Contacts,master_config,UX,"Contacts — Search, selection, maintenance and bulk administration","Cover list/search/select/create/edit/archive, bulk changes, imports, exports, conflicts and accessible responsive maintenance.",B_EXISTING_FID_SUBCAPABILITY,YES,F003,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F003-SEM-06,F003,CRM,Contacts,master_config,INT,Contacts — Downstream consumption contract,Define how dependent modules reference this configuration without duplicating ownership or mutating private tables.,B_EXISTING_FID_SUBCAPABILITY,YES,F003,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F003-SEM-07,F003,CRM,Contacts,master_config,EXC,"Contacts — Deletion, merge, duplicate and stale-reference recovery","Handle duplicate definitions, attempted delete-in-use, merge/remap where legal and deterministic operator errors.",B_EXISTING_FID_SUBCAPABILITY,YES,F003,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F003-SEM-08,F003,CRM,Contacts,master_config,VER,"Contacts — Audit, reporting and verification evidence","Require before/after history, usage visibility, negative tests, migration tests and UAT proving downstream consistency.",B_EXISTING_FID_SUBCAPABILITY,YES,F003,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
