wave_id,name,scope,depends_on,exit_gate,accountable_owner,planning_status,calendar_timeline_policy
T00,Technical safety foundation,Tenant/RLS transaction correctness; toolchain; migration safety; architecture validators,None,Architecture validators pass; coding constitutions and migration safety remain green,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
T01,Shared Platform + Experience Kernel,SP001-SP036; shared UI/runtime contracts,T00,Shared platform + Experience Kernel tenant/security/authorization evidence passes,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W01,Master-data foundation,Company/customer/supplier/item/UOM/currency/tax/warehouse masters used by downstream modules,T00;T01,Master-data invariants and migrations pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W02,Accounting + inventory primitives,Ledger/journal/period/money/tax/stock-ledger/reservation/valuation primitives,T00;T01;W01,Ledger/stock deterministic primitives pass property/golden/concurrency checks,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W03,CRM,F001-F030,T01;W01,CRM capability pack and CRM enterprise journey acceptance pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W04,Sales,F031-F062,W01;W02;W03,Sales capability pack and order-to-cash upstream acceptance pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W05,Procurement + Stock,F063-F144,W01;W02,Procurement/Stock capability packs and procure-to-stock reconciliation pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W06,Finance integration,F453-F510 and subledger integration,W02;W04;W05,"Finance integration balances, locks, postings and subledger reconciliation pass",Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W07,Manufacturing + Quality,F145-F192;F308-F342,W05;W06,Manufacturing/Quality plan-to-produce and atomic quality-hold journeys pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W08,Projects + Assets,F193-F267,W04;W05;W06,Projects/Assets project-to-cash and asset-to-books journeys pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W09,Point of Sale,F268-F307,W01;W02;W06,POS payment uncertainty/offline/stock/accounting reconciliation passes,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W10,Support / Customer Service,F343-F380,W03;W04;W08,Support service-to-resolution journey and linked-domain handoffs pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W11,HR & Payroll,F381-F452,T01;W06,HR/Payroll hire-to-payroll-to-books and statutory/effective-date golden tests pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W12,Enterprise journey certification,All mandatory cross-module journeys,W03-W11,All mandatory cross-module failure/retry/reversal/reconciliation E2E and UAT pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W13,ERP Copilot,Authorization-safe AI after deterministic truth exists,W12,ERP Copilot authorization/eval/provenance/approval/kill-switch gates pass,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W14,Enterprise hardening,Security/load/accessibility/mobile/offline/DR/reconciliation,W12;W13,Security/load/accessibility/mobile/offline/DR/reconciliation hardening passes,Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
W15,"Migration, pilot and production readiness","Migration rehearsal, pilot, restore/rollback rehearsal, production certification",W14,"Migration rehearsal, pilot, restore/rollback rehearsal and production certification pass",Project Manager,PLANNED_FROZEN,NO_CALENDAR_TIMELINE_BASELINED
