feature_id,feature_name,module,review_status,semantic_family,required_flow_count,flow_ids,state_transition_count,transition_ids,happy_path,alternate_path,permission_failure,validation_failure,concurrency_conflict,retry_idempotency,reversal_recovery,downstream_failure,reconciliation_closure,review_decision,reviewed_on
F001,Leads,CRM,APPROVED,operational,10,F001-PFC-01;F001-PFC-02;F001-PFC-03;F001-PFC-04;F001-PFC-05;F001-PFC-06;F001-PFC-07;F001-PFC-08;F001-PFC-09;F001-PFC-10,5,F001-STM-01;F001-STM-02;F001-STM-03;F001-STM-04;F001-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F002,Accounts / companies,CRM,APPROVED,operational,10,F002-PFC-01;F002-PFC-02;F002-PFC-03;F002-PFC-04;F002-PFC-05;F002-PFC-06;F002-PFC-07;F002-PFC-08;F002-PFC-09;F002-PFC-10,5,F002-STM-01;F002-STM-02;F002-STM-03;F002-STM-04;F002-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F003,Contacts,CRM,APPROVED,master_config,10,F003-PFC-01;F003-PFC-02;F003-PFC-03;F003-PFC-04;F003-PFC-05;F003-PFC-06;F003-PFC-07;F003-PFC-08;F003-PFC-09;F003-PFC-10,5,F003-STM-01;F003-STM-02;F003-STM-03;F003-STM-04;F003-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F004,Lead sources,CRM,APPROVED,master_config,10,F004-PFC-01;F004-PFC-02;F004-PFC-03;F004-PFC-04;F004-PFC-05;F004-PFC-06;F004-PFC-07;F004-PFC-08;F004-PFC-09;F004-PFC-10,5,F004-STM-01;F004-STM-02;F004-STM-03;F004-STM-04;F004-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F005,Lead assignment,CRM,APPROVED,decision,10,F005-PFC-01;F005-PFC-02;F005-PFC-03;F005-PFC-04;F005-PFC-05;F005-PFC-06;F005-PFC-07;F005-PFC-08;F005-PFC-09;F005-PFC-10,5,F005-STM-01;F005-STM-02;F005-STM-03;F005-STM-04;F005-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F006,Lead qualification,CRM,APPROVED,decision,10,F006-PFC-01;F006-PFC-02;F006-PFC-03;F006-PFC-04;F006-PFC-05;F006-PFC-06;F006-PFC-07;F006-PFC-08;F006-PFC-09;F006-PFC-10,5,F006-STM-01;F006-STM-02;F006-STM-03;F006-STM-04;F006-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F007,Lead stages and statuses,CRM,APPROVED,master_config,10,F007-PFC-01;F007-PFC-02;F007-PFC-03;F007-PFC-04;F007-PFC-05;F007-PFC-06;F007-PFC-07;F007-PFC-08;F007-PFC-09;F007-PFC-10,5,F007-STM-01;F007-STM-02;F007-STM-03;F007-STM-04;F007-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F008,Duplicate detection,CRM,APPROVED,operational,10,F008-PFC-01;F008-PFC-02;F008-PFC-03;F008-PFC-04;F008-PFC-05;F008-PFC-06;F008-PFC-07;F008-PFC-08;F008-PFC-09;F008-PFC-10,5,F008-STM-01;F008-STM-02;F008-STM-03;F008-STM-04;F008-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F009,Opportunities,CRM,APPROVED,operational,10,F009-PFC-01;F009-PFC-02;F009-PFC-03;F009-PFC-04;F009-PFC-05;F009-PFC-06;F009-PFC-07;F009-PFC-08;F009-PFC-09;F009-PFC-10,5,F009-STM-01;F009-STM-02;F009-STM-03;F009-STM-04;F009-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F010,Opportunity pipeline,CRM,APPROVED,operational,10,F010-PFC-01;F010-PFC-02;F010-PFC-03;F010-PFC-04;F010-PFC-05;F010-PFC-06;F010-PFC-07;F010-PFC-08;F010-PFC-09;F010-PFC-10,5,F010-STM-01;F010-STM-02;F010-STM-03;F010-STM-04;F010-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
