feature_id,feature_name,module,module_slug,server_domain_area,web_experience_area,mobile_experience_area,tenant_schema_area,cross_module_area,shared_platform_rule,architecture_status,implementation_status
F001,Leads,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
F002,Accounts / companies,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
F003,Contacts,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
F004,Lead sources,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
F005,Lead assignment,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
F006,Lead qualification,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
F007,Lead stages and statuses,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
F008,Duplicate detection,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
F009,Opportunities,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
F010,Opportunity pipeline,CRM,crm,services/api/src/modules/crm,apps/web/src/modules/crm,apps/mobile/src/modules/crm,database/tenant,services/api/src/orchestration,Consume SP public contracts; do not fork platform capabilities,FROZEN_PLACEMENT_RULE,NOT_AUTHORIZED_BY_PASS_E_ALONE
