feature_id,historical_index,scope,module,category,feature_number,feature_name,source_section,status,uat_status,priority,ui_evidence,service_evidence,database_evidence,permission_evidence,test_evidence,cross_module_evidence,primary_gap,secondary_gap,blocker_type,recommended_prompt,notes
CRM-001,1,module,CRM,Customer and account management,1,Company and individual customer records,Customer and account management,COMPLETE,READY,P1,"apps/web/src/app/(app)/crm/accounts/page.tsx,apps/web/src/app/(app)/crm/accounts/[id]/page.tsx",services/api/src/crm.js (account CRUD via business_parties),tenant.business_parties,crm.accounts.*,crm-core.test.mjs,,,,NONE,,Company/individual party_type customer|prospect|both; confirmed real via direct code read (Prompt 11).
CRM-002,2,module,CRM,Customer and account management,2,Contacts linked to accounts,Customer and account management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/contacts/page.tsx,services/api/src/crm.js resource CRUD,tenant.contacts (party_id FK),crm.contacts.*,,,,,NONE,,Contacts are hard-linked to a business_parties account via party_id.
CRM-003,3,module,CRM,Customer and account management,3,"Multiple addresses, locations and communication details",Customer and account management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/accounts/[id]/page.tsx,crm.js address CRUD,"tenant.addresses (address_type registered/billing/shipping/office/plant/other, party_id FK, multiple per party)",crm.accounts.*,,,,,NONE,,Verified schema: one-to-many addresses per account with typed address_type.
CRM-004,4,module,CRM,Customer and account management,4,"Customer groups, industries, territories and segments",Customer and account management,PARTIAL,LIMITED,P2,apps/web/src/app/(app)/crm/accounts/[id]/page.tsx,"crm.js, crm/foundation.js","tenant.crm_territories, tenant.crm_territory_assignments (assignee_type='party')",,,Territory assignment for accounts is real. No industry or customer-group field exists on tenant.business_parties itself (only crm_leads has an industry column); generic custom-object system is separate and unattached.,No first-class industry/customer-group field on the account record itself,Territory assignment works but industry/segment classification for converted accounts does not,ARCHITECTURE_DECISION,24,"Territories real; industry/segment fields exist pre-conversion on leads only, not on the converted account record."
CRM-005,5,module,CRM,Customer and account management,5,Parent–child company relationships,Customer and account management,COMPLETE,READY,P1,apps/web/src/app/api/crm/accounts/[id]/hierarchy/route.ts,"crm/account-intelligence.js, tenant.prevent_business_party_hierarchy_cycle() trigger","tenant.business_parties.parent_party_id, tenant.crm_account_hierarchy_events",crm.accounts.*,,,,,NONE,,Cycle-prevention trigger and immutable hierarchy-change audit table confirmed in migration 029.
CRM-006,6,module,CRM,Customer and account management,6,Complete customer 360° timeline,Customer and account management,COMPLETE,READY,P1,apps/web/src/app/api/crm/accounts/[id]/customer-360/route.ts,services/api/src/crm/account-intelligence.js,"tenant.crm_customer_service_events, tenant.business_parties",crm.accounts.*,,,,,NONE,,Real customer-360 aggregation endpoint plus service-event timeline table.
CRM-007,7,module,CRM,Customer and account management,7,Customer tags and custom fields,Customer and account management,PARTIAL,LIMITED,P2,apps/web/src/app/(app)/crm/leads/[id]/page.tsx,crm.js custom_data mapping,"tenant.crm_tags, tenant.crm_lead_tags, tenant.crm_leads.custom_data jsonb",,,"Leads have real tags and a custom_data JSON bucket. tenant.business_parties and tenant.contacts have neither a tags join table nor a custom_data column - the generic crm_custom_object_definitions system is a separate, unattached custom-object builder.","No tags or custom fields on the account/contact record itself, only on leads",,ARCHITECTURE_DECISION,24,"Tags/custom fields are real but scoped to leads only, not accounts or contacts."
CRM-008,8,module,CRM,Customer and account management,8,Duplicate detection and record merging,Customer and account management,COMPLETE,READY,P1,"apps/web/src/app/(app)/crm/accounts/duplicates/route.ts,leads/[id]/merge","services/api/src/crm.js findCrmDuplicates/findDuplicate, crm_data_quality_scores","tenant.crm_merge_records, tenant.crm_account_merge_history, tenant.crm_contact_merge_history, tenant.crm_data_quality_scores","crm.leads.*, crm.accounts.*",crm-record-scope.test.mjs,,,,NONE,,"Real fuzzy match scoring (email/phone/company name) plus immutable merge-history tables for leads, accounts and contacts."
CRM-009,9,module,CRM,Customer and account management,9,"Consent, communication preference and privacy tracking",Customer and account management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/privacy-retention/page.tsx,"services/api/src/crm.js, account-intelligence.js privacy tables","tenant.crm_consent_events, tenant.crm_privacy_requests, tenant.crm_privacy_retention_policies, crm_leads.do_not_contact/consent_*",crm.records.view_all,,,,,NONE,,"Channel/purpose/lawful-basis consent ledger plus DSAR-style privacy request workflow, both real and queried."
CRM-010,10,module,CRM,Customer and account management,10,Customer document and attachment management,Customer and account management,MISSING,NOT_READY,P2,,,,,,,No document/attachment storage wired to any CRM entity,,MISSING_SERVICE,24,"packages/document-engine exists as a generic attachment-validation utility but is never imported by services/api/src/crm.js or any CRM API route; no crm_documents/attachments table exists. Standalone, unused utility as far as CRM is concerned."
