requirement_id,feature_id,capability_id,requirement_type,requirement_classification,backend_evidence,api_evidence,ui_route,ui_screen,ui_component,permission_behavior,responsive_behavior,test_evidence,implementation_status,notes
F001-CAP-001,F001,CRM-CAP-001,CAP,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-CAP-002,F001,CRM-CAP-001,CAP,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-CAP-003,F001,CRM-CAP-001,CAP,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-FR-001,F001,CRM-CAP-001,FR,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-FR-002,F001,CRM-CAP-001,FR,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-FR-003,F001,CRM-CAP-001,FR,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-US-001,F001,CRM-CAP-001,US,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-US-002,F001,CRM-CAP-001,US,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-FLOW-001,F001,CRM-CAP-001,FLOW,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-FLOW-002,F001,CRM-CAP-001,FLOW,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-BR-001,F001,CRM-CAP-001,BR,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-BR-002,F001,CRM-CAP-001,BR,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-DATA-001,F001,CRM-CAP-001,DATA,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-DATA-002,F001,CRM-CAP-001,DATA,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-VAL-001,F001,CRM-CAP-001,VAL,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-VAL-002,F001,CRM-CAP-001,VAL,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-CALC-001,F001,CRM-CAP-001,CALC,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-UX-001,F001,CRM-CAP-001,UX,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-UX-002,F001,CRM-CAP-001,UX,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-UX-003,F001,CRM-CAP-001,UX,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-SEC-001,F001,CRM-CAP-001,SEC,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-SEC-002,F001,CRM-CAP-001,SEC,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-AUTO-001,F001,CRM-CAP-001,AUTO,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-APP-001,F001,CRM-CAP-001,APP,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-NOTIF-001,F001,CRM-CAP-001,NOTIF,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-REP-001,F001,CRM-CAP-001,REP,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-AI-001,F001,CRM-CAP-001,AI,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-INT-001,F001,CRM-CAP-001,INT,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-INT-002,F001,CRM-CAP-001,INT,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-API-001,F001,CRM-CAP-001,API,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-API-002,F001,CRM-CAP-001,API,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-PERF-001,F001,CRM-CAP-001,PERF,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-OBS-001,F001,CRM-CAP-001,OBS,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-E2E-001,F001,CRM-CAP-001,E2E,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-E2E-002,F001,CRM-CAP-001,E2E,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-UAT-001,F001,CRM-CAP-001,UAT,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F001-UAT-002,F001,CRM-CAP-001,UAT,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-CAP-001,F002,CRM-CAP-001,CAP,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-CAP-002,F002,CRM-CAP-001,CAP,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-CAP-003,F002,CRM-CAP-001,CAP,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-FR-001,F002,CRM-CAP-001,FR,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-FR-002,F002,CRM-CAP-001,FR,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-FR-003,F002,CRM-CAP-001,FR,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-US-001,F002,CRM-CAP-001,US,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-US-002,F002,CRM-CAP-001,US,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-FLOW-001,F002,CRM-CAP-001,FLOW,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-FLOW-002,F002,CRM-CAP-001,FLOW,AFFECTS_UI_STATE,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-BR-001,F002,CRM-CAP-001,BR,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-BR-002,F002,CRM-CAP-001,BR,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-DATA-001,F002,CRM-CAP-001,DATA,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-DATA-002,F002,CRM-CAP-001,DATA,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-VAL-001,F002,CRM-CAP-001,VAL,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-VAL-002,F002,CRM-CAP-001,VAL,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-CALC-001,F002,CRM-CAP-001,CALC,NO_DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-UX-001,F002,CRM-CAP-001,UX,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
F002-UX-002,F002,CRM-CAP-001,UX,DIRECT_UI,,,,,,,,,NOT_STARTED,Clean rebuild has not yet reached this feature; see CRM_CLEAN_REBUILD_REGISTER.md tranche plan.
