raid_id,type,priority,description,owner,status,response
R-001,Risk,P0,Missing authoritative exact 36 shared-platform requirements,Project Manager,Closed,Resolved by Pass A; 36/36 shared-platform requirements are specification-ready
R-002,Risk,P1,Semantic/template completeness may create false-positive specification readiness,Project Manager,Closed,Resolved by Pass B; 510/510 semantic reviews are APPROVED
R-003,Risk,P1,Benchmark evidence may be attached to semantically irrelevant features,Project Manager,Closed,Resolved by Pass D; 510/510 benchmark relevance reviews are APPROVED
R-004,Risk,P0,Tenant context can fail if RLS context is not transaction/client scoped,Project Manager,Mitigated,Tenant transaction/RLS standard is frozen; implementation must retain DB negative tests
R-005,Risk,P0,Cross-module retries can duplicate stock/payment/accounting effects,Project Manager,Mitigated,Journey idempotency/reversal/reconciliation contracts are frozen and remain wave exit gates
R-006,Risk,P1,Large implementation can diverge visually across modules,Project Manager,Mitigated,"Experience Kernel, responsive/accessibility requirements and visual regression gates remain mandatory"
R-007,Risk,P1,"Parallel AI execution can create incomplete, contradictory or context-lost implementation if package scope and integration are uncontrolled",Project Manager,Open,"Registered AWPs, isolated branches/worktrees, base commits, deterministic path ownership, migration reservations, package evidence checkpoints and one-at-a-time PM integration"
R-008,Risk,P1,"An AI session may invent dates, deadlines, durations or delivery forecasts that the Project Manager did not authorize",Project Manager,Open,Calendar timeline is intentionally not baselined; only dependency sequence and evidence gates are authoritative
R-009,Risk,P1,External hosting/SaaS/API costs are not inferable until providers and usage are selected,Project Manager,Open,Zero paid-spend authorization baseline; explicit cost/procurement change is required before any paid commitment
A-001,Assumption,P1,Modular monolith remains target architecture unless ADR changes it,Project Manager,Confirmed,TECH_STACK_ADR is architecture-freeze approved and explicitly rejects microservices as the default
D-001,Dependency,P0,All implementation waves depend on architecture freeze,Project Manager,Satisfied,Architecture freeze validator passes; wave-specific predecessor evidence gates still apply
D-002,Dependency,P0,Implementation authorization depends on the sole-PM planning baseline remaining valid,Project Manager,Satisfied,PM planning validator is installed and wired into planning closure and implementation authorization
R-010,Risk,P0,Parallel path collision: two AI packages edit overlapping paths or one package silently refactors another package scope,Project Manager,Open,AWP owned-path registration plus fail-closed parallel and per-agent scope validation
R-011,Risk,P0,Migration collision: multiple AI packages allocate the same platform or tenant migration prefix,Project Manager,Open,Central migration reservation register before migration files are created; duplicate active prefixes fail
R-012,Risk,P1,Shared contract drift: agents independently alter public contracts or shared primitives,Project Manager,Open,Shared/global changes require a dedicated INTEGRATION or SHARED_PLATFORM work package and dependent package revalidation
R-013,Risk,P1,Stale branch integration: a package passes tests on an old base that no longer represents current main,Project Manager,Open,Base-commit pinning plus integration-time comparison/rebase and full package/repository revalidation against current main
