requirement_id,source_register,feature_id,capability_id,module,requirement_type,title,ui_relevance,ui_archetype,route_or_surface,web_component,mobile_component,desktop_support,tablet_support,phone_support,offline_support,permission_behavior,field_security_behavior,loading_state,empty_state,no_results_state,validation_state,error_state,forbidden_state,stale_state,conflict_state,offline_state,sync_state,approval_behavior,audit_behavior,notification_behavior,reporting_behavior,ai_behavior,integration_behavior,background_job_behavior,design_status,implementation_status,test_status,storybook_story,e2e_test,accessibility_test,notes
F001-CAP-001,F_REGISTER,F001,CRM-CAP-001,CRM,CAP,Core operator outcome,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
F001-CAP-002,F_REGISTER,F001,CRM-CAP-001,CRM,CAP,Enterprise completeness,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
F001-CAP-003,F_REGISTER,F001,CRM-CAP-001,CRM,CAP,Boundary ownership,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
F001-FR-001,F_REGISTER,F001,CRM-CAP-001,CRM,FR,Primary workflow,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
F001-FR-002,F_REGISTER,F001,CRM-CAP-001,CRM,FR,History and recoverability,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
F001-FR-003,F_REGISTER,F001,CRM-CAP-001,CRM,FR,Enterprise volume,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
F001-US-001,F_REGISTER,F001,CRM-CAP-001,CRM,US,Front-line job,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
F001-US-002,F_REGISTER,F001,CRM-CAP-001,CRM,US,Manager/operations job,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
F001-FLOW-001,F_REGISTER,F001,CRM-CAP-001,CRM,FLOW,Primary and alternate flow,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
F001-FLOW-002,F_REGISTER,F001,CRM-CAP-001,CRM,FLOW,Failure and retry flow,DIRECT_UI,,,,,FULL,FULL,FIELD_OPTIMIZED,NOT_APPLICABLE,INHERITED_RECORD_SCOPE,NOT_APPLICABLE,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,REQUIRED_STANDARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,
