route,mutation_methods,billing_gate,status,exclusion_reason,heuristic_category
api/approvals/[id]/decide/route.ts,POST,none,out-of-scope,,"business-data mutation (default assumption, needs confirmation)"
api/auth/forgot-password/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/invitations/[token]/accept/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/invitations/manage/[id]/resend/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/invitations/manage/[id]/revoke/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/invitations/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/login/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/logout/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/mfa/disable/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/mfa/enroll/confirm/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/mfa/enroll/start/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/mfa/recovery-codes/regenerate/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/mfa/verify/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/register/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/resend-verification/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/reset-password/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/auth/verify-email/route.ts,POST,none,out-of-scope,,auth/security (likely must stay reachable regardless of billing)
api/crm/[resource]/[id]/route.ts,"PATCH,DELETE",via-requireCrmMutationAccess,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/[resource]/route.ts,POST,via-requireCrmMutationAccess,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/accounts/[id]/hierarchy/route.ts,PATCH,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/accounts/[id]/route.ts,"PATCH,DELETE",via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/accounts/duplicates/route.ts,POST,none,excluded,Read-only duplicate search (findAccountDuplicates) -- no record is created or changed.,"business-data mutation (default assumption, needs confirmation)"
api/crm/accounts/merge/preview/route.ts,POST,none,excluded,"Read-only merge preview -- computes the would-be merged record, writes nothing.","business-data mutation (default assumption, needs confirmation)"
api/crm/accounts/merge/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/accounts/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/attachments/[entityType]/[entityId]/[id]/route.ts,DELETE,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/attachments/[entityType]/[entityId]/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/calls/[id]/cancel/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/calls/[id]/complete/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/calls/[id]/route.ts,PATCH,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/calls/[id]/start/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/calls/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/contacts/[id]/reactivate/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/contacts/[id]/relationships/[relationshipId]/primary/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/contacts/[id]/relationships/[relationshipId]/route.ts,"PATCH,DELETE",via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/contacts/[id]/relationships/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/contacts/[id]/route.ts,"PATCH,DELETE",via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/contacts/duplicates/route.ts,POST,none,excluded,Read-only duplicate search (findContactDuplicates) -- mirrors accounts/duplicates exactly.,"business-data mutation (default assumption, needs confirmation)"
api/crm/contacts/merge/preview/route.ts,POST,none,excluded,Read-only merge preview -- mirrors accounts/merge/preview exactly.,"business-data mutation (default assumption, needs confirmation)"
api/crm/contacts/merge/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/contacts/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/custom-fields/definitions/[entityType]/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/custom-fields/definitions/by-id/[id]/active/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/custom-fields/values/[entityType]/[entityId]/route.ts,PATCH,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/follow-ups/[id]/cancel/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/follow-ups/[id]/complete/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/follow-ups/[id]/reminders/[reminderId]/acknowledge/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/follow-ups/[id]/route.ts,PATCH,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/follow-ups/[id]/snooze/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/follow-ups/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/forecast/predictive-snapshot/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-assignment-policies/[id]/route.ts,"POST,PATCH,DELETE",via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-assignment-policies/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-scoring-models/[id]/activate/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-scoring-models/[id]/route.ts,PATCH,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-scoring-models/[id]/rules/[ruleId]/status/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-scoring-models/[id]/rules/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-scoring-models/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-sources/[id]/active/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-sources/[id]/route.ts,PATCH,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-sources/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-stage-transition-reasons/[id]/active/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-stage-transition-reasons/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-stage-transitions/[fromId]/[toId]/route.ts,DELETE,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-stage-transitions/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-stages/[id]/deactivate/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-stages/[id]/reactivate/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-stages/[id]/route.ts,PATCH,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-stages/recommended-template/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/lead-stages/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/assign/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/convert/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/duplicates/dismiss/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/follow-up/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/merge/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/qualification/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/score/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/stage/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/tags/[tagId]/route.ts,DELETE,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/[id]/tags/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/bulk/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/duplicates/route.ts,POST,none,excluded,"Read-only possible-duplicate check performed while composing a Lead -- never auto-merges, writes nothing.","business-data mutation (default assumption, needs confirmation)"
api/crm/leads/enrichment/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/export/route.ts,POST,none,excluded,"Authorized data export -- exports must remain available regardless of subscription-write state, per this pass's explicit policy.",export/privacy/recovery (likely must stay reachable)
api/crm/leads/import/[batchId]/commit/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/import/[batchId]/rollback/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/import/preview/route.ts,POST,none,excluded,Preview stage of the two-step Lead import -- validates and stages rows for review; 'creates no Lead yet' per its own header comment. The commit step (leads/import/[batchId]/commit) is gated.,"business-data mutation (default assumption, needs confirmation)"
api/crm/leads/sla/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/meetings/[id]/cancel/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/meetings/[id]/complete/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/meetings/[id]/route.ts,PATCH,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
api/crm/meetings/[id]/start/route.ts,POST,via-mutation-option,gated,,"business-data mutation (default assumption, needs confirmation)"
