route,method,class,via,module,permission,billing_write,self_service,origin_check,protection
api/accounting/actions/[action]/route.ts,POST,WORKSPACE_MODULE,accountingMutation,accounting,accounting.view (helper default; route may narrow),true,false,true,session + organisation context + Shared Access authorize()
api/accounting/view/[kind]/route.ts,GET,WORKSPACE_MODULE,accountingRead,accounting,accounting.view (helper default; route may narrow),false,false,false,session + organisation context + Shared Access authorize()
api/approvals/[id]/decide/route.ts,POST,WORKSPACE_PLATFORM,workspaceRoute,,,false,false,true,Only an assigned approver of an accessible module; segregation of duties in decideApproval; denials audited.
api/approvals/route.ts,GET,WORKSPACE_PLATFORM,workspaceRoute,,,false,false,false,Approval inbox limited to steps assigned to the caller in accessible modules.
api/assets/actions/[action]/route.ts,POST,WORKSPACE_MODULE,assetsMutation,assets,assets.view (helper default; route may narrow),true,false,true,session + organisation context + Shared Access authorize()
api/assets/view/[kind]/route.ts,GET,WORKSPACE_MODULE,assetsRead,assets,assets.view (helper default; route may narrow),false,false,false,session + organisation context + Shared Access authorize()
api/auth/forgot-password/route.ts,POST,PUBLIC_AUTH,explicit,,,false,false,true,Account-enumeration-safe identical response; same-origin; rate limited.
api/auth/invitations/[token]/accept/route.ts,POST,PUBLIC_AUTH,explicit,,,false,false,true,Hashed invitation token; an existing account must also hold a matching session; same-origin.
api/auth/invitations/[token]/route.ts,GET,PUBLIC_AUTH,explicit,,,false,false,false,Read-only lookup by hashed invitation token through a narrow definer function.
api/auth/invitations/manage/[id]/resend/route.ts,POST,WORKSPACE_PLATFORM,workspaceRoute,,CORE_PERMISSIONS.usersManage,false,false,true,session + organisation context + Shared Access authorize()
api/auth/invitations/manage/[id]/revoke/route.ts,POST,WORKSPACE_PLATFORM,workspaceRoute,,CORE_PERMISSIONS.usersManage,false,false,true,session + organisation context + Shared Access authorize()
api/auth/invitations/route.ts,GET,WORKSPACE_PLATFORM,workspaceRoute,,CORE_PERMISSIONS.usersManage,false,false,false,session + organisation context + Shared Access authorize()
