component_id,component_name,category,mandatory_states,accessibility_contract,responsive_contract,review_status
UXK001,ERPWorkspace,Shell,loading|error|forbidden|offline,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK002,PageHeader,Navigation,loading|ready,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK003,RecordHeader,Record,loading|stale|conflict|forbidden,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK004,Object360,Record,loading|empty|error|forbidden,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK005,EnterpriseDataGrid,Data,loading|empty|error|stale|partial,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK006,AdvancedFilters,Data,ready|validation-error,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK007,SavedViews,Data,loading|empty|error|conflict,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK008,GlobalSearch,Navigation,loading|empty|error|permission-filtered,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK009,CommandPalette,Navigation,ready|permission-filtered|error,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK010,StructuredForm,Form,loading|validation-error|saving|saved|stale|conflict,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK011,QuickCreate,Form,ready|validation-error|saving|error,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK012,BulkActionBar,Action,ready|confirming|processing|partial-failure|complete,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK013,ProcessPath,Workflow,loading|ready|blocked|complete,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK014,KanbanBoard,Workflow,loading|empty|error|conflict,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK015,Gantt,Workflow,loading|empty|error|conflict,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK016,Calendar,Workflow,loading|empty|error|conflict,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK017,ActivityTimeline,Record,loading|empty|error,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK018,RelatedRecords,Record,loading|empty|error|forbidden,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK019,ApprovalTimeline,Control,loading|pending|approved|rejected|error,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK020,AuditHistory,Control,loading|empty|error|forbidden,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK021,DocumentViewer,Document,loading|error|forbidden|unsupported,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK022,MetricCard,Analytics,loading|empty|error|stale,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK023,Dashboard,Analytics,loading|empty|error|partial|stale,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK024,Chart,Analytics,loading|empty|error|accessible-table,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK025,ExceptionQueue,Operations,loading|empty|error|processing|partial,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK026,NotificationCenter,Platform,loading|empty|error,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK027,PermissionState,State,forbidden|request-access,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK028,ConflictState,State,stale|conflict|reload|compare,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK029,OfflineState,State,offline|pending-sync|syncing|conflict|failed,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK030,AsyncJobState,State,queued|running|partial|failed|complete,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK031,EmptyState,State,empty|filtered-empty,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK032,ErrorState,State,recoverable|non-recoverable|retry,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK033,LoadingState,State,skeleton|progress,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK034,MobileCardList,Mobile,loading|empty|error|offline,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK035,ResponsiveDetail,Responsive,desktop|tablet|phone,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
UXK036,AccessibleActionMenu,Accessibility,keyboard|touch|screen-reader,WCAG_2_2_AA_INTENT_KEYBOARD_FOCUS_LABELS_STATUS_ERRORS_TARGETS_NON_DRAG,Critical actions preserved or explicitly classified,APPROVED
