route,method,class,module,permission,record_scope,field_scope,billing_write,audit
api/accounting/actions/[action]/route.ts,POST,WORKSPACE_MODULE,accounting,accounting.view,active company; segregation of duties (no self-approval) in the domain,bank_accounts: accounting.view,yes,denials logged
api/accounting/view/[kind]/route.ts,GET,WORKSPACE_MODULE,accounting,accounting.view,active company; segregation of duties (no self-approval) in the domain,bank_accounts: accounting.view,no,denials logged
api/approvals/[id]/decide/route.ts,POST,WORKSPACE_PLATFORM,,,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/approvals/route.ts,GET,WORKSPACE_PLATFORM,,,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials logged
api/assets/actions/[action]/route.ts,POST,WORKSPACE_MODULE,assets,assets.view,active company; custodian rules in the domain,,yes,denials logged
api/assets/view/[kind]/route.ts,GET,WORKSPACE_MODULE,assets,assets.view,active company; custodian rules in the domain,,no,denials logged
api/auth/forgot-password/route.ts,POST,PUBLIC_AUTH,,n/a,Account-enumeration-safe identical response; same-origin; rate limited.,,no,n/a
api/auth/invitations/[token]/accept/route.ts,POST,PUBLIC_AUTH,,n/a,Hashed invitation token; an existing account must also hold a matching session; same-origin.,,no,n/a
api/auth/invitations/[token]/route.ts,GET,PUBLIC_AUTH,,n/a,Read-only lookup by hashed invitation token through a narrow definer function.,,no,n/a
api/auth/invitations/manage/[id]/resend/route.ts,POST,WORKSPACE_PLATFORM,,CORE_PERMISSIONS.usersManage,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/auth/invitations/manage/[id]/revoke/route.ts,POST,WORKSPACE_PLATFORM,,CORE_PERMISSIONS.usersManage,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/auth/invitations/route.ts,GET,WORKSPACE_PLATFORM,,CORE_PERMISSIONS.usersManage,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/auth/invitations/route.ts,POST,WORKSPACE_PLATFORM,,CORE_PERMISSIONS.usersManage,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/auth/login/route.ts,POST,PUBLIC_AUTH,,n/a,"Credentials are the authentication; same-origin, rate limited per IP and account, lockout, MFA challenge before a full session.",,no,n/a
api/auth/logout/route.ts,POST,PUBLIC_AUTH,,n/a,Reads the session cookie directly so logout works for any session state; idempotent; same-origin.,,no,n/a
api/auth/mfa/disable/route.ts,POST,SELF_SERVICE,,n/a,the caller's own account; user + organisation context from the session,,no,n/a
api/auth/mfa/enroll/confirm/route.ts,POST,SELF_SERVICE,,n/a,the caller's own account; user + organisation context from the session,,no,n/a
api/auth/mfa/enroll/start/route.ts,POST,SELF_SERVICE,,n/a,the caller's own account; user + organisation context from the session,,no,n/a
api/auth/mfa/recovery-codes/regenerate/route.ts,POST,SELF_SERVICE,,n/a,the caller's own account; user + organisation context from the session,,no,n/a
api/auth/mfa/verify/route.ts,POST,SELF_SERVICE,,n/a,the caller's own account; user + organisation context from the session,,no,n/a
api/auth/register/route.ts,POST,PUBLIC_AUTH,,n/a,"Self-serve account creation; same-origin, rate limited per IP, no session exists yet.",,no,n/a
api/auth/resend-verification/route.ts,POST,PUBLIC_AUTH,,n/a,Signed-in but unverified user; same-origin; rate limited.,,no,n/a
