feature_id,feature_name,module,dossier_path,schema_version,mandatory_sections,nested_requirement_types,requirement_contract,ux_contract,working_status,readiness_gate,current_code_evidence,semantic_research,note
F001,Leads,CRM,docs/03-modules/crm/features/F001-leads.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F002,Accounts / companies,CRM,docs/03-modules/crm/features/F002-accounts-companies.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F003,Contacts,CRM,docs/03-modules/crm/features/F003-contacts.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F004,Lead sources,CRM,docs/03-modules/crm/features/F004-lead-sources.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F005,Lead assignment,CRM,docs/03-modules/crm/features/F005-lead-assignment.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F006,Lead qualification,CRM,docs/03-modules/crm/features/F006-lead-qualification.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F007,Lead stages and statuses,CRM,docs/03-modules/crm/features/F007-lead-stages-and-statuses.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F008,Duplicate detection,CRM,docs/03-modules/crm/features/F008-duplicate-detection.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F009,Opportunities,CRM,docs/03-modules/crm/features/F009-opportunities.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F010,Opportunity pipeline,CRM,docs/03-modules/crm/features/F010-opportunity-pipeline.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
F011,Probability and expected revenue,CRM,docs/03-modules/crm/features/F011-probability-and-expected-revenue.md,3.0.0,54,21,PASS,PASS,UNSPECIFIED,NONE,PENDING_MODULE_PASS,PENDING_MODULE_PASS,Framework contract only; does not claim researched subfeature completeness.
