transition_id,feature_id,feature_name,module,semantic_family,machine_name,from_state,action,guard,to_state,invalid_transition_behavior,lock_strategy,idempotency_behavior,audit_event,downstream_event,reversal_transition,acceptance_test,status,reviewed_on
F001-STM-01,F001,Leads,CRM,operational,F001 implementation planning state machine,DRAFT,prepare,"required context valid; plus F001 permission/scope, semantic RULE/VAL requirements and current effective configuration.",READY,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F001 transition DRAFT --prepare--> READY with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F001; otherwise reject reversal and document the alternative correction/reopen path.","Test valid DRAFT->READY, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F001.",FROZEN,2026-08-31
F001-STM-02,F001,Leads,CRM,operational,F001 implementation planning state machine,READY,start_or_confirm,"permission and business guards pass; plus F001 permission/scope, semantic RULE/VAL requirements and current effective configuration.",IN_PROGRESS,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F001 transition READY --start_or_confirm--> IN_PROGRESS with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F001; otherwise reject reversal and document the alternative correction/reopen path.","Test valid READY->IN_PROGRESS, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F001.",FROZEN,2026-08-31
F001-STM-03,F001,Leads,CRM,operational,F001 implementation planning state machine,IN_PROGRESS,complete,"success conditions satisfied; plus F001 permission/scope, semantic RULE/VAL requirements and current effective configuration.",COMPLETED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F001 transition IN_PROGRESS --complete--> COMPLETED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F001; otherwise reject reversal and document the alternative correction/reopen path.","Test valid IN_PROGRESS->COMPLETED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F001.",FROZEN,2026-08-31
F001-STM-04,F001,Leads,CRM,operational,F001 implementation planning state machine,IN_PROGRESS,suspend_or_fail,"recoverable exception occurs; plus F001 permission/scope, semantic RULE/VAL requirements and current effective configuration.",EXCEPTION,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F001 transition IN_PROGRESS --suspend_or_fail--> EXCEPTION with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F001; otherwise reject reversal and document the alternative correction/reopen path.","Test valid IN_PROGRESS->EXCEPTION, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F001.",FROZEN,2026-08-31
F001-STM-05,F001,Leads,CRM,operational,F001 implementation planning state machine,COMPLETED,reverse_or_reopen,"controlled correction permitted; plus F001 permission/scope, semantic RULE/VAL requirements and current effective configuration.",REVERSED_OR_REOPENED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F001 transition COMPLETED --reverse_or_reopen--> REVERSED_OR_REOPENED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F001; otherwise reject reversal and document the alternative correction/reopen path.","Test valid COMPLETED->REVERSED_OR_REOPENED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F001.",FROZEN,2026-08-31
F002-STM-01,F002,Accounts / companies,CRM,operational,F002 implementation planning state machine,DRAFT,prepare,"required context valid; plus F002 permission/scope, semantic RULE/VAL requirements and current effective configuration.",READY,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F002 transition DRAFT --prepare--> READY with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F002; otherwise reject reversal and document the alternative correction/reopen path.","Test valid DRAFT->READY, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F002.",FROZEN,2026-08-31
F002-STM-02,F002,Accounts / companies,CRM,operational,F002 implementation planning state machine,READY,start_or_confirm,"permission and business guards pass; plus F002 permission/scope, semantic RULE/VAL requirements and current effective configuration.",IN_PROGRESS,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F002 transition READY --start_or_confirm--> IN_PROGRESS with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F002; otherwise reject reversal and document the alternative correction/reopen path.","Test valid READY->IN_PROGRESS, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F002.",FROZEN,2026-08-31
F002-STM-03,F002,Accounts / companies,CRM,operational,F002 implementation planning state machine,IN_PROGRESS,complete,"success conditions satisfied; plus F002 permission/scope, semantic RULE/VAL requirements and current effective configuration.",COMPLETED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F002 transition IN_PROGRESS --complete--> COMPLETED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F002; otherwise reject reversal and document the alternative correction/reopen path.","Test valid IN_PROGRESS->COMPLETED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F002.",FROZEN,2026-08-31
F002-STM-04,F002,Accounts / companies,CRM,operational,F002 implementation planning state machine,IN_PROGRESS,suspend_or_fail,"recoverable exception occurs; plus F002 permission/scope, semantic RULE/VAL requirements and current effective configuration.",EXCEPTION,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F002 transition IN_PROGRESS --suspend_or_fail--> EXCEPTION with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F002; otherwise reject reversal and document the alternative correction/reopen path.","Test valid IN_PROGRESS->EXCEPTION, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F002.",FROZEN,2026-08-31
F002-STM-05,F002,Accounts / companies,CRM,operational,F002 implementation planning state machine,COMPLETED,reverse_or_reopen,"controlled correction permitted; plus F002 permission/scope, semantic RULE/VAL requirements and current effective configuration.",REVERSED_OR_REOPENED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F002 transition COMPLETED --reverse_or_reopen--> REVERSED_OR_REOPENED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F002; otherwise reject reversal and document the alternative correction/reopen path.","Test valid COMPLETED->REVERSED_OR_REOPENED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F002.",FROZEN,2026-08-31
