control_id,step,required_input,required_output,stop_condition,review_status
AICTL01,Load approved authority,"Canonical F/SP IDs, dossiers, requirements, flows, dependencies, architecture",Authority set,STOP on conflict/unapproved scope,APPROVED
AICTL02,Audit repository,Current schema/services/routes/UI/mobile/worker/tests,Reuse/gap map,STOP before duplicate architecture,APPROVED
AICTL03,Create implementation manifest,Approved scope + repo gap,"Files, migrations, commands, queries, UI, tests, rollout",STOP if ownership unclear,APPROVED
AICTL04,Implement DB/invariants first,Stateful requirements,Migration/constraints/RLS/indexes/tests,STOP if deterministic rule absent,APPROVED
AICTL05,Implement domain backend,DB contract + approved rules,Commands/queries/state machine/audit/outbox,STOP on cross-module private-table need,APPROVED
AICTL06,Implement transport,Public domain contracts,Thin versioned routes/DTO/error mapping,STOP if transport duplicates rules,APPROVED
AICTL07,Implement web UX,Experience Kernel + domain contracts,Complete responsive/accessibility states,STOP on unapproved UX invention,APPROVED
AICTL08,Implement mobile/offline when classified,Mobile policy + domain contracts,Native/offline behavior,STOP if offline conflict policy absent,APPROVED
AICTL09,Integrate modules,Public contracts/orchestration,Cross-module behavior,STOP if reconciliation/reversal undefined,APPROVED
AICTL10,Write automated verification,Requirement/test plan,Unit/DB/RLS/API/integration/race/reconciliation/E2E,STOP if critical behavior untestable,APPROVED
AICTL11,Visual/accessibility verification,Major UI states,Screenshots/a11y evidence,STOP on inaccessible critical path,APPROVED
AICTL12,Adversarial review,Threat model + edge cases,Negative findings/fixes,STOP on P0/P1 blocker,APPROVED
AICTL13,Run repository gates,Changed capability/wave,Validator/build/test results,STOP on any required failure,APPROVED
AICTL14,Produce evidence packet,Requirements + diffs + test results,Traceable implementation evidence,STOP if evidence incomplete,APPROVED
AICTL15,Commit coherent capability,All gates passed,Single coherent checkpoint,Never mark product ready from code existence,APPROVED
