requirement_id,sp_id,requirement_family,enumerated,title,normative_statement,priority,category,dependencies,source_dossier
SP001-SECTION-IDENTITY,SP001,SECTION,FALSE,Identity,"- Shared-platform ID: `SP001`
- Category: **Identity & tenancy**
- Owner: **Platform**
- Priority: **P0**
- Canonical business count impact: **NONE**.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-INTENT,SP001,SECTION,FALSE,Intent,"Create, activate, suspend, recover and close an organization/tenant with explicit tenant identity, lifecycle state, isolation and ownership.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-OUTCOMES,SP001,SECTION,FALSE,Outcomes,"One governed reusable implementation serves all applicable modules; Organization and tenant lifecycle remains consistent across web, API, worker and mobile.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-PERSONAS,SP001,SECTION,FALSE,Personas,"Tenant administrators, ERP users, managers/approvers, security/operations personnel, integration clients and implementation agents as applicable; negative-permission personas are mandatory.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-ENTRY-POINTS,SP001,SECTION,FALSE,Entry Points,Administration/settings where configured and protected runtime/API/mobile/worker paths where Organization and tenant lifecycle is consumed.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-BENCHMARK,SP001,SECTION,FALSE,Benchmark,"Evidence IDs: `SP001-SRC-SP-NIST-63-4`, `SP001-SRC-SP-PG-RLS`, `SP001-SRC-SP-OWASP-API`.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-DECISION,SP001,SECTION,FALSE,Decision,`DEC-SP001` freezes this exact shared-platform identity and scope.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-OMISSION-GATE,SP001,SECTION,FALSE,Omission Gate,"Red-team Organization and tenant lifecycle for lifecycle, authorization, multi-company/tenant scope, stale state, concurrency, retry, recovery, reporting, mobile, accessibility, observability and operations.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-SUBCAPABILITIES,SP001,SECTION,FALSE,Subcapabilities,"Requirement families: `SP001-CAP-###`, `SP001-FR-###`, `SP001-US-###`, `SP001-FLOW-###`, `SP001-BR-###`, `SP001-DATA-###`, `SP001-VAL-###`, `SP001-CALC-###`, `SP001-UX-###`, `SP001-SEC-###`, `SP001-AUTO-###`, `SP001-APP-###`, `SP001-NOTIF-###`, `SP001-REP-###`, `SP001-AI-###`, `SP001-INT-###`, `SP001-API-###`, `SP001-PERF-###`, `SP001-OBS-###`, `SP001-E2E-###`, `SP001-UAT-###`.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-FR-001,SP001,FR,TRUE,Functional,"Approved FRs: `SP001-FR-001`, `SP001-FR-002`, `SP001-FR-003`.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
