bug_id,surface,route,component,viewport,category,severity,description,root_cause,fix,status,test_evidence
TOPBAR-001,erp,all authenticated routes,apps/web/src/app/globals.css (.topbar > .context-switcher; .context-switcher grid-template-columns); apps/web/src/app/operator-workbench.css (.global-search unconditional width rule),tablet (768px) and mobile (390px),OVERFLOW,P0,"Every authenticated ERP page horizontally overflowed the viewport at tablet and mobile widths (confirmed live: 768px viewport rendered at scrollWidth 1141px; 390px rendered at scrollWidth 796px). Root cause was two-part: (1) .topbar > .context-switcher used flex:0 0 auto, so it never shrank regardless of its own grid's minmax(0,...) tracks; (2) operator-workbench.css (loaded after globals.css) defines an unconditional .global-search { width: min(100%, 620px) } with no media guard, silently overriding globals.css's own max-width:1240px rule that shrinks the search bar to an icon-only launcher on narrow viewports.","Two independent cascade bugs compounding: a non-shrinking flex item, and a same-specificity unconditional rule loaded later in the stylesheet order defeating an earlier responsive rule.","Changed .context-switcher's flex-shrink to allow shrinking (min-width:0, grid tracks minmax(0,...) instead of hard px floors) and added ellipsis truncation; added an explicit .global-search { width: auto } override inside operator-workbench.css's own existing max-width:1240px block so its unconditional base rule no longer wins.",FIXED,"Live Chromium measurement before/after: 768px scrollWidth 1141->768 (exact match to innerWidth); 390px scrollWidth 796->390 (exact match). Re-verified via full apps/landing e2e suite (305/305 passed) and manual shell-component screenshots at 1440/768/390px, all overflow=false."
SIDEBAR-001,erp,all authenticated routes,apps/web/src/app/globals.css (.sidebar.collapsed rules),desktop (collapsed rail state),CONSISTENCY,P1,"The new collapsed/rail sidebar state (Part 14 of this prompt) only clipped .nav-link-label text to icon-only; module GROUP headers (<details><summary>CRM</summary>...</details>, operator-workbench.css's .nav-section component) use a separate .nav-section-label class and a .nav-section-chevron icon that the collapsed-mode CSS never targeted, so every module group name still rendered as wrapped, visible multi-line text inside the 72px rail instead of collapsing to just its icon.",The collapsed-mode CSS was written and tested only against the leaf .nav-link pattern; .nav-section's summary/label/chevron markup is a structurally different component the same selector never matched.,"Added .sidebar.collapsed .nav-section > summary (icon-centered grid, same treatment as .nav-link), .sidebar.collapsed .nav-section-label (same sr-only clip as .nav-link-label), and .sidebar.collapsed .nav-section-chevron { display:none }.",FIXED,"Found and confirmed via manual visual screenshot at 1440px during this prompt's required final visual-inspection step; re-screenshotted after the fix showing a clean icon-only rail with all 12 module group icons, no wrapped text."
ERP-001,erp,"/stock, /assets, /hr-payroll, /manufacturing, /point-of-sale, /projects, /quality, /support",8 module dashboard components,all,CONSISTENCY,P0,8 of 12 module dashboards rendered their wrapper and primary action links with .module-workspace/.action-grid/.button(.secondary) — none defined in any stylesheet — so primary actions rendered as bare underlined text instead of buttons.,"Components were written against a parallel, never-implemented class-naming convention instead of the actual design-system classes used elsewhere.",Renamed to the established .module-workbench/.module-hero-actions/.primary-button+.secondary-button classes (matching the exact same simple Link+text DOM shape already used correctly by /accounting and /crm).,FIXED,grep confirms zero remaining module-workspace/action-grid/button(.secondary) instances anywhere in apps/web/src. Re-typechecked and relinted apps/web clean.
ERP-002,erp,"/stock, /assets, /hr-payroll, /manufacturing, /point-of-sale, /projects, /quality, /settings/users, role editor",7 module dashboards + user-administration.tsx + role-manager.tsx,all,CARD,P1,"7 dashboards plus Settings > Users and the role editor wrapped cards/action rows in .resource-grid/.button-row — neither defined anywhere — so cards stacked full-width instead of a 2-column grid, and paired buttons (Resend/Revoke, role save) sat with zero gap.","Same undefined-class-naming root cause as ERP-001; also found 2 additional real instances (role-manager.tsx, a second user-administration.tsx usage) the initial audit agent had not enumerated.",Renamed .resource-grid to the existing .resource-cards grid class and .button-row to the existing .action-row flex/gap class across all 4 affected files.,FIXED,grep confirms zero remaining resource-grid/button-row instances anywhere in apps/web/src. Re-typechecked and relinted apps/web clean.
ERP-003,erp,"/stock/[resource], /manufacturing/[resource], /support/[resource], /assets/[resource], /hr-payroll/[resource], /point-of-sale/[resource], /projects/[resource], /quality/[resource]",8 generic [resource]/page.tsx fallback pages,all,OVERFLOW,P1,"The generic fallback list page wraps its 760px-min-width table in a div with class table-shell, which is not defined anywhere, so the wrapper provided no overflow-x:auto and tables could visually overflow their panel on any viewport narrower than ~800px with no scroll affordance.",Missing CSS class definition for the table wrapper used by this shared fallback pattern.,Replaced table-shell with the existing table-panel class (already provides overflow-x:auto/border/radius/shadow) across all 8 files.,FIXED,grep confirms zero remaining table-shell instances anywhere in apps/web/src.
ERP-004,erp,/stock/[resource] and 7 sibling fallback pages,8 generic [resource]/page.tsx fallback pages,all,TABLE,P2,Zero-record state renders an empty tbody with just the header row instead of the app's own .empty-state component used consistently elsewhere.,The fallback page's rows-mapping has no zero-length branch.,"Not fixed this pass — requires restructuring all 8 files' render branch, moderate effort for a cosmetic-only gap with low functional impact (data is genuinely empty either way).",DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-005,erp,/stock/[resource] and 7 sibling fallback pages,8 generic [resource]/page.tsx fallback pages,all,HIERARCHY,P2,Raw h1 + plain paragraph directly inside .panel instead of the shared .page-heading eyebrow/h1/description/status-badge structure used by virtually every other page.,Page was built without reusing the .page-heading pattern.,Not fixed this pass — same 8-file coordinated change as ERP-004/006; bundling all three into one pass in a future prompt is lower-risk than three separate partial edits to the same files.,DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-006,erp,/stock/[resource] and 7 sibling fallback pages,8 generic [resource]/page.tsx fallback pages,all,DENSITY,P3,Fetches up to 100 rows with no pagination or search controls unlike every other list surface in the app.,No PaginationControls/GovernancePagination usage was wired into this shared fallback template.,"Not fixed this pass — see ERP-004/005; also carries more functional risk (query/offset logic) than the other two, warranting its own reviewed change.",DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-007,erp,shared component,apps/web/src/app/globals.css (table th rule),all,TABLE,P2,"th{position:sticky;top:0} never engaged because .table-panel (its scroll ancestor) has no height cap anywhere in the app, so the sticky positioning context it needs was never established.",.table-panel was never given a height cap.,"Dropped the dead position:sticky/top/z-index declarations from th (the audit's own suggested lower-risk alternative to adding a page-wide max-height/scroll behavior change to every table in the app, which this pass couldn't safely verify across dozens of usages).",FIXED,Code inspection confirms the dead rule is removed; re-typechecked/relinted apps/web clean. No visual regression possible since the rule was inert.
ERP-008,erp,"/crm/accounts, /crm/contacts, /master-data/[resource] (16 resource types)",apps/web/src/components/business-data-manager.tsx,all,PERFORMANCE,P2,Server pages fetch up to 500 rows and pass the full array to a client component that only ever displays 10 at a time via client-side slicing.,Pagination is implemented entirely client-side over a large server-fetched array instead of being pushed to the query.,"Not fixed this pass — requires moving pagination to server-side offset/limit queries across 16 resource types, a real architecture change with functional-regression risk this prompt's scope explicitly cautions against making for visual convenience alone.",DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-009,erp,"/crm/accounts, /crm/contacts, /master-data/[resource]",apps/web/src/app/business-data-extension.css,all,OVERFLOW,P2,".business-data-table td{white-space:nowrap} has no max-width/ellipsis companion, so a single long value widens the entire column and forces horizontal scroll.",No max-width/ellipsis rule was added alongside the nowrap rule.,Not fixed this pass — deferred alongside ERP-008 to keep business-data-table changes reviewed together rather than as two separate partial CSS edits to the same file.,DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
