decision_id,sp_id,status,decision,rationale
DEC-SP001,SP001,APPROVED,"Treat Organization and tenant lifecycle as one of the exact 36 shared-platform requirements, separate from F001-F510.","Create, activate, suspend, recover and close an organization/tenant with explicit tenant identity, lifecycle state, isolation and ownership."
DEC-SP002,SP002,APPROVED,"Treat Company and legal-entity structure as one of the exact 36 shared-platform requirements, separate from F001-F510.","Model legal/business companies inside a tenant, including active state, base currency, fiscal/tax context and controlled access boundaries."
DEC-SP003,SP003,APPROVED,"Treat Branch, site and operating-unit context as one of the exact 36 shared-platform requirements, separate from F001-F510.",Represent branches/sites/operating units and provide authoritative contextual scope for business modules without duplicating module-specific warehouse/plant/project entities.
DEC-SP004,SP004,APPROVED,"Treat Identity and user lifecycle as one of the exact 36 shared-platform requirements, separate from F001-F510.","Manage user identity, invitation, activation, deactivation, profile linkage and lifecycle across tenants without sharing credentials or permissions between organizations."
DEC-SP005,SP005,APPROVED,"Treat Authentication and credential security as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide password and approved authenticator login, credential lifecycle, brute-force protections and secure authentication responses."
DEC-SP006,SP006,APPROVED,"Treat Session and device security as one of the exact 36 shared-platform requirements, separate from F001-F510.","Issue, rotate, expire and revoke authenticated sessions with device/session visibility and risk-aware controls."
DEC-SP007,SP007,APPROVED,"Treat MFA, account recovery and step-up authentication as one of the exact 36 shared-platform requirements, separate from F001-F510.","Support configurable multi-factor authentication, recovery and high-risk-action step-up without weakening normal authorization."
DEC-SP008,SP008,APPROVED,"Treat Roles and permission model as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide explicit permission vocabulary, roles, grants and deny/least-privilege semantics used consistently by web, API, worker and mobile."
DEC-SP009,SP009,APPROVED,"Treat Record, field and contextual access control as one of the exact 36 shared-platform requirements, separate from F001-F510.",Enforce company/branch/team/owner/record/field visibility and mutation scope in addition to coarse module permissions.
DEC-SP010,SP010,APPROVED,"Treat Module entitlements and feature access as one of the exact 36 shared-platform requirements, separate from F001-F510.",Gate modules/features by organization subscription/entitlement while keeping authorization and billing concepts distinct.
DEC-SP011,SP011,APPROVED,"Treat Subscription, billing and usage metering as one of the exact 36 shared-platform requirements, separate from F001-F510.","Manage SaaS subscription state, seats/usage metrics, invoices/payment provider references and retry-safe entitlement consequences for Vercentlabs itself."
DEC-SP012,SP012,APPROVED,"Treat Approval framework and segregation of duties as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide reusable maker-checker approvals, delegation, thresholds, escalation and separation-of-duties controls without replacing module-owned business invariants."
DEC-SP013,SP013,APPROVED,"Treat Workflow and automation engine as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide configurable triggers, conditions and actions for approved low/medium-risk automation with loop prevention and policy boundaries."
DEC-SP014,SP014,APPROVED,"Treat Audit trail and change history as one of the exact 36 shared-platform requirements, separate from F001-F510.","Create tamper-resistant business/security audit evidence for who did what, when, where, through which channel, with before/after or event details as appropriate."
DEC-SP015,SP015,APPROVED,"Treat Domain events, transactional outbox and event delivery as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide reliable domain-event publication from committed state with transactionally consistent outbox, stable event identity and consumer idempotency."
