requirement_id,module_or_platform,capability,expected_behavior,existing_domain_code,existing_http_endpoint,existing_frontend,existing_worker_or_job,existing_database_support,permission_and_scope,missing_parts,implementation_status,test_evidence,real_runtime_evidence,severity,dependency,target_phase,verified_commit
SEC-CRM-001,shared-platform,CRM generic-resource mutation authorization,"Every CRM_RESOURCE_KEYS mutation (POST /api/crm/[resource], PATCH/DELETE /api/crm/[resource]/[id]) requires either a documented manage permission or an explicit, justified self-scoped exemption; anything else is denied by default.",apps/web/src/features/crm/shared/crm-context.ts (requireCrmMutationAccess) + resource-permissions.ts (resolveCrmMutationPermission),"apps/web/src/app/api/crm/[resource]/route.ts, apps/web/src/app/api/crm/[resource]/[id]/route.ts","n/a (server-side policy, not a screen)",n/a,"n/a (policy layer, not schema)","Deny-by-default for ~40 of 62 CRM_RESOURCE_KEYS with no RESOURCE_MANAGE_PERMISSIONS entry; one documented exemption (saved-views, per-user SQL scope)","none for the generic boundary itself — remaining work is extending RESOURCE_MANAGE_PERMISSIONS as new resource-backed screens ship, per the file's own documented policy",VERIFIED_END_TO_END,"apps/web/src/features/crm/shared/resource-permissions.test.ts (5 tests, exhaustive over CRM_RESOURCE_KEYS)","apps/web/e2e/crm-authorization.spec.ts — real HTTP requests against the running server/DB: POST /api/crm/ai-feedback now 403s (previously would have succeeded for any crm.view member including the org owner), saved-views create/delete and leads create still succeed",P0 (was: any CRM viewer could mutate ~40 resources with zero manage-tier check),none,Checkpoint A,a0992cb0
SEC-APPROVAL-001,shared-platform,Approval decision authorization (cancel),"Only the original requester of a pending approval, or someone holding approvals.manage, may cancel it. approved/rejected already require the underlying module's own permission (verified pre-existing, not this session's fix).",services/api/src/core/approvals.js (decideApproval),apps/web/src/app/api/approvals/[id]/decide/route.ts,n/a (policy layer),n/a,"public.approval_requests (existing table, no migration needed)","Any authenticated org member could previously cancel any other user's pending approval — cancellation skipped both the SoD check (by design, correctly) and any permission check (not by design).",none for this fix,VERIFIED_END_TO_END,"services/api/tests/platform-approvals.test.mjs (2 new tests: bystander blocked, approvals.manage holder allowed) — full backend suite 1090/1090","apps/web/e2e/platform-security.spec.ts covers the route's happy path end-to-end; the specific denial case is proven at the unit level, not yet E2E, because it needs a genuinely restricted (non-owner) session — see GAP-CRM-RESTRICTED-FIXTURE below",P1,none,Checkpoint A,d7e8fe88
SEC-APPROVAL-002,shared-platform,Approval list visibility,GET /api/approvals scopes results to the caller's own requested/assigned rows unless they hold approvals.manage — the same permission the shell's badge count was already correctly gated on.,services/api/src/core/approvals.js (listApprovals),apps/web/src/app/api/approvals/route.ts,"apps/web/src/app/(workspace)/approvals/approvals-client.tsx (existing screen, unchanged by this fix)",n/a,public.approval_requests,"Previously took a bare organizationId with no caller-identity filtering at all — any authenticated org member saw every pending approval org-wide (amounts, requester, entity_type), regardless of role.",none for this fix,VERIFIED_END_TO_END,services/api/tests/platform-approvals.test.mjs (2 tests: with/without approvals.manage) — full backend suite 1090/1090,"apps/web/e2e/platform-security.spec.ts proves the route works end-to-end for the owner (who has approvals.manage, so this doesn't prove the SCOPED case E2E — see GAP-CRM-RESTRICTED-FIXTURE below)","P2 (information disclosure, not privilege escalation — approve/reject themselves were already gated at the module layer)",none,Checkpoint A,d7e8fe88
SEC-ORIGIN-001,shared-platform,Same-origin/CSRF consistency on cookie-authenticated mutations,Every cookie-authenticated mutation route calls assertSameOriginOrMobile like the CRM mutation routes already did.,services/api/src/core/security/request-security.js (assertSameOriginOrMobile — pre-existing),"apps/web/src/app/api/auth/logout/route.ts, apps/web/src/app/api/notifications/route.ts, apps/web/src/app/api/notifications/[id]/read/route.ts, apps/web/src/app/api/approvals/[id]/decide/route.ts",n/a,n/a,n/a,"4 routes were missing the check that every CRM mutation route already had. Session cookie is SameSite=Lax, which already blocks a forced cross-site POST/PATCH — this was a consistency/defense-in-depth gap, not a live, exploitable CSRF path (verified: SameSite=Lax in apps/web/src/core/session.ts).",none for these 4 routes; a full route-by-route audit of every OTHER mutation route in the app (beyond CRM/notifications/approvals/logout) has not been performed yet,VERIFIED_END_TO_END,"n/a (the check itself is a single existing, already-tested function; no new unit test needed)","apps/web/e2e/platform-security.spec.ts — real requests prove all 4 routes still work for their real same-origin callers after the check was added, including that a revoked logout session is genuinely rejected (401) afterward","P3 (defense-in-depth, not a live exploit given SameSite=Lax)",none,Checkpoint A,d7e8fe88
GAP-SAMEORIGIN-AUDIT-REMAINING,shared-platform,Same-origin/CSRF audit coverage beyond the 4 routes checked this checkpoint,Every cookie-authenticated mutation route across the whole app (not just CRM/notifications/approvals/logout) calls assertSameOriginOrMobile or has an equivalent verified protection.,"services/api/src/core/security/request-security.js (assertSameOrigin, assertSameOriginOrMobile — pre-existing)","apps/web/src/app/api/workspace/context/route.ts, apps/web/src/app/api/crm/{accounts,contacts}/duplicates/route.ts, apps/web/src/app/api/crm/{accounts,contacts}/merge/preview/route.ts",n/a,n/a,n/a,n/a,"Full enumeration performed: every POST/PATCH/PUT/DELETE handler under apps/web/src/app/api/**/route.ts (~110 files) cross-referenced against assertSameOrigin/assertSameOriginOrMobile usage (a plain substring check, not just the OrMobile variant — an earlier pass of this same check incorrectly flagged routes using the stricter assertSameOrigin as missing, since \b-based regex doesn't split assertSameOrigin from assertSameOriginOrMobile). Found and fixed 4 real gaps (workspace/context switch; accounts/contacts duplicate-search and merge-preview POSTs — all cookie-authenticated). Confirmed apps/web/src/app/api/crm/public/meetings/{bookings/[token],links/[token]/book}/route.ts are correctly unprotected by design (token-authenticated public booking endpoints, no session cookie involved, verified by reading both files in full — no requireWorkspace call, access control is the opaque per-record token). Every auth/* pre-login and token-bearer route (forgot-password, reset-password, verify-email, resend-verification, login, invitations accept) already had assertSameOrigin. No other module (accounting/sales/procurement/stock/etc.) has any API routes yet to audit (see AUDIT-MODULE-STATE-* rows).",VERIFIED_END_TO_END,,"Full Playwright suite (29/29, one unrelated pre-existing flake reproduced as passing in isolation) and both packages' typecheck pass after the 4 fixes","P3 (defense-in-depth, consistent with SEC-ORIGIN-001 — SameSite=Lax already mitigates the live exploit class for all 4)",none,Checkpoint D,f9280cf1
GAP-MODULE-CATALOG-001,shared-platform,ERP_MODULE_CATALOG.availability accuracy,"A module's availability field in packages/shared-types/src/modules.js (""released"" vs ""roadmap"") reflects whether it actually has a web/API surface, since isModuleReleased()/resolveModuleAccess() (module-entitlements.js) uses this field as the first hard gate in the module-access pipeline.","packages/shared-types/src/modules.js (ERP_MODULE_CATALOG, RELEASED_MODULE_KEYS)","n/a (data file, consumed by module-entitlements.js's resolveModuleAccess/assertModuleAccessible)","Consumed by any screen that calls getAccessibleModules/resolveModuleAccess, e.g. a future module-enablement admin screen",n/a,n/a,"n/a — this is a data-accuracy finding, not an authorization bypass","All 12 ERP_MODULE_CATALOG entries (accounting, procurement, sales, crm, stock, manufacturing, projects, assets, point-of-sale, quality, support, hr-payroll) are marked availability:""released"". Verified directly against apps/web/src/app/(workspace)/<module>/page.tsx and apps/web/src/app/api/: 11 of 12 (all but crm) render only ModuleFoundationPage/PlatformFoundationPage stubs and have zero apps/web/src/app/api/<module> routes. The two module navigation registries (moduleNavigationRegistry.ts, module-navigation-registry.ts) correctly mark these 11 as ""foundation""/PLANNED — they are NOT overstated. Only the shared-types catalog's availability field is inconsistent with actual build state. Current real-world impact is limited: since no web/API routes exist for the 11 mislabeled modules, nothing is actually reachable to exploit — this is a documentation/data-integrity gap, relevant to any future billing/entitlement/module-enablement admin screen that trusts this field, not a live access-control bypass today.",PARTIAL,,"Verified directly: packages/shared-types/src/modules.js lines 2-13 (read in full); apps/web/src/app/(workspace)/{sales,accounting,procurement,stock,manufacturing,projects,assets,pos,quality,support,hr}/page.tsx confirmed as ModuleFoundationPage stubs; apps/web/src/app/api/ directory listing confirmed no sales/accounting/procurement/stock/manufacturing/projects/assets/pos/quality/support/hr routes exist","P2 (data-integrity/documentation-honesty finding, not a current security bypass)","Needs a product decision on the correct availability value/taxonomy for in-development modules (the codebase currently defines only ""released""/""roadmap"" — a third state may be needed, e.g. ""in_development"") before changing source",Checkpoint B or later (Phase 10 documentation reconciliation),
AUDIT-MODULE-STATE-SALES,sales,Overall module readiness,"n/a — audit finding, not a single requirement","services/api/src/modules/sales/ — 9 files, ~5,425 lines (index.js, order-governance.js, quotation-governance.js, money.js, pass1-operations.js), 12 dedicated passing tests (sales-order-close-f059, sales-quotation-expiry-f038, sales-fulfillment-stock-movement-f047, sales-commission-auto-accrual-f057, sales-crm-opportunity-sync-f042, etc.)",None (no apps/web/src/app/api/sales),None — apps/web/src/app/(workspace)/sales/page.tsx is a ModuleFoundationPage stub; no apps/web/src/features/sales directory exists,Not audited this pass,Not audited this pass,n/a,"Entire web layer (routes, screens, API endpoints) — substantial, well-tested backend exists with no UI wired to it",PARTIAL,services/api/tests/sales-*.test.mjs (12 files),,"Informational (correctly disclosed as PLANNED in nav registry, not overstated)","Out of this execution's implementation scope per instruction (""Do not start implementing Sales... in full"")",Future Sales module prompt,
AUDIT-MODULE-STATE-ACCOUNTING,accounting,Overall module readiness,"n/a — audit finding, not a single requirement","services/api/src/modules/accounting/ — 31 files, ~10,778 lines (core.js, journals.js, banking.js, banking-governance.js, close.js, compliance.js, forecast.js, accruals.js, assets.js, advanced.js, etc.) — the largest non-CRM backend module",None (no apps/web/src/app/api/accounting),None — ModuleFoundationPage stub only,Not audited this pass,Not audited this pass,n/a,Entire web layer,PARTIAL,"accounting-service.test.mjs, billing-service.test.mjs (passing)",,"Informational (correctly disclosed as PLANNED in nav registry, not overstated)",Out of this execution's implementation scope,Future Accounting module prompt,
AUDIT-MODULE-STATE-PROCUREMENT,procurement,Overall module readiness,"n/a — audit finding, not a single requirement","services/api/src/modules/procurement/ — 7 files, ~3,455 lines (governance.js, money.js, pass1-operations.js); test coverage only indirect, via the shared pass1-f015-f114-runtime.test.mjs (21 cases), no dedicated procurement-*.test.mjs",None,None — ModuleFoundationPage stub only,Not audited this pass,Not audited this pass,n/a,Entire web layer; thinner backend test coverage than Sales/Accounting despite being listed alongside CRM in NATIVE_OPERATIONAL_MODULE_KEYS (modules.js),PARTIAL,"pass1-f015-f114-runtime.test.mjs (shared, not procurement-dedicated)",,"Informational (correctly disclosed as PLANNED in nav registry, not overstated) — worth noting the NATIVE_OPERATIONAL_MODULE_KEYS listing implies procurement should be further along than it is",Out of this execution's implementation scope,Future Procurement module prompt,
AUDIT-MODULE-STATE-REMAINING-8,"stock, manufacturing, projects, assets, point-of-sale, quality, support, hr-payroll",Overall module readiness,"n/a — audit finding, not a single requirement","Each has services/api/src/modules/<key>/ at 3 files / 430-1,004 lines — real, non-placeholder logic (quality/index.js verified directly: a real generic resource router across quality_plans/inspections/holds/nonconformances/capa/audits/events with permission checks and event logging, not a stub that throws), but small scale and mostly no dedicated test file (stock and manufacturing are the exceptions, covered by stock-balance-diagnostic.test.mjs / manufacturing-stock-integrity.test.mjs / point-of-sale-stock-integrity.test.mjs, which are cross-module integrity tests, not per-module unit suites)",None for any of the 8,"None — ModuleFoundationPage stub only, for all 8",Not audited this pass,Not audited this pass,n/a,"Entire web layer for all 8; dedicated backend test coverage for 6 of the 8 (all but stock, manufacturing)",PARTIAL,"stock-balance-diagnostic.test.mjs, manufacturing-stock-integrity.test.mjs, point-of-sale-stock-integrity.test.mjs (indirect/cross-module only)",,"Informational (correctly disclosed as PLANNED in nav registry, not overstated)",Out of this execution's implementation scope,Future per-module prompts,
