feature_id,scope,category,feature_name,status,uat_status,ui_evidence,service_evidence,database_evidence,permission_evidence,test_evidence,primary_gap,blocker_type,recommended_prompt_cluster,notes
ACC-001,accounting,GL,General Ledger,COMPLETE,READY,,reports.js getTrialBalance/getGeneralLedger,accounting_journal_lines/accounting_accounts,accounting.reports.view,,none material,,n/a,Unchanged since Prompt 11 — re-confirmed unaffected by Prompts 12-14 (Prompt 15 review)
ACC-002,accounting,GL,Chart of Accounts,COMPLETE,READY,,setup.js createAccountingAccount,accounting_accounts,,,none material,,n/a,
ACC-003,accounting,Journals,Journals (journal books/types),COMPLETE,READY,,journals.js loadJournal,accounting_journals,,,none material,,n/a,
ACC-004,accounting,Journals,Journal entries full lifecycle,COMPLETE,READY,,journals.js incl. maker-checker+content-hash tamper check,,,,none material,,n/a,
ACC-005,accounting,Posting,Double-entry balance enforcement,COMPLETE,READY,,normalizeLines throws on unbalanced; re-verified server-side at submit,,,,none - hard enforced twice,,n/a,
ACC-006,accounting,Dimensions,"Dimensions (cost center/dept/project/branch)",COMPLETE,READY,,journals.js allocation-% validated to sum to 100,accounting_dimensions/dimension_values/line_dimensions,,,none material,,n/a,
ACC-007,accounting,Close,Fiscal periods open/soft-close/close/lock,COMPLETE,READY,,close.js updateFiscalPeriodStatus + periodBlockers() (12 categories),,,,none material,,n/a,
ACC-008,accounting,AR,Accounts Receivable (customer invoices/credit notes),COMPLETE,READY,,receivables.js (656 lines),,,,none material,,n/a,
ACC-009,accounting,AP,Accounts Payable (vendor bills/credit notes),COMPLETE,READY,,payables.js (616 lines),,,,none material,,n/a,
ACC-010,accounting,Payments,Receipts/payments incl. payment proposals,COMPLETE,READY,,payables-governance.js createVendorPaymentProposal,,,,none material,,n/a,
ACC-011,accounting,Allocations,Allocations,COMPLETE,READY,,schedules.js allocateInstallments,customer_receipt_allocations/vendor_payment_allocations,,accounting-service.test.mjs,none material,,n/a,
ACC-012,accounting,Reports,Ageing (AR/AP),COMPLETE,READY,,reports.js getAging real bucketed SQL,,,,none material,,n/a,
ACC-013,accounting,Reports,Statements (customer/vendor),COMPLETE,READY,,reports.js getPartyStatement,,,,none material,,n/a,
ACC-014,accounting,Banking,Banking accounts + statement import,COMPLETE,READY,,banking.js parseCsvRows real hand-rolled parser,,,,UI upload flow not independently verified end-to-end,UI,n/a,
ACC-015,accounting,Banking,Bank reconciliation,COMPLETE,READY,,banking.js suggestBankMatches/startBankReconciliation,,,,Match confidence scoring is binary 100/70 not fuzzy - acceptable for MVP,,n/a,
ACC-016,accounting,Tax,GST tax rates and tax ledger,COMPLETE,READY,,tax.js recordDocumentTaxLedger,tax_rates seeded+versioned,,,Tax-ledger-to-journal-line pairing by array index not stable key - correctness risk,SERVICE,n/a,Flag as correctness risk not a gap
ACC-017,accounting,Fixed assets,Fixed assets lifecycle (capitalize/transfer/impair/dispose),COMPLETE,READY,,assets.js real GL journal on every transition,,,,none material,,n/a,
ACC-018,accounting,Budgets,Budgets create/submit/approve/activate + variance,COMPLETE,READY,,advanced.js + reports.js getBudgetVsActual,,,,none material,,n/a,
