feature_id,working_status,readiness_gate,research,requirements,design,domain,security,implementation,integration,e2e,responsive,accessibility,visual,uat,product_ready,blocking_issues,last_reviewed_on
F001,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F002,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F003,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F004,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F005,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F006,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F007,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F008,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F009,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F010,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F011,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F012,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F013,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F014,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F015,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F016,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F017,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F018,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F019,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F020,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F021,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F022,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F023,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F024,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F025,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F026,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F027,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F028,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F029,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F030,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 1 certifies specification only.,2026-08-30
F031,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F032,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F033,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F034,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F035,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F036,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F037,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F038,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F039,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F040,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F041,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F042,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F043,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F044,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F045,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F046,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F047,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F048,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F049,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F050,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F051,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F052,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F053,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F054,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F055,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F056,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F057,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F058,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F059,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F060,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F061,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F062,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 2.",2026-08-30
F063,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F064,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F065,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F066,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F067,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F068,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F069,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F070,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F071,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F072,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F073,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F074,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F075,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F076,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F077,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F078,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F079,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F080,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F081,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F082,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F083,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F084,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F085,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F086,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F087,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F088,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
