sp_id,requirement_name,category,owner,priority,specification_status,implementation_status,product_status,spec_path,source_ids,dependencies,canonical_business_count_impact
SP001,Organization and tenant lifecycle,Identity & tenancy,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md,SRC-SP-NIST-63-4;SRC-SP-PG-RLS;SRC-SP-OWASP-API,,NONE
SP002,Company and legal-entity structure,Identity & tenancy,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md,SRC-SP-PG-RLS;SRC-SP-OWASP-API;SRC-SP-CLDR-48,SP001,NONE
SP003,"Branch, site and operating-unit context",Identity & tenancy,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP003-branch-site-and-operating-unit-context.md,SRC-SP-PG-RLS;SRC-SP-OWASP-API,"SP001,SP002",NONE
SP004,Identity and user lifecycle,Identity & access,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP004-identity-and-user-lifecycle.md,SRC-SP-NIST-63-4;SRC-SP-OWASP-API,SP001,NONE
SP005,Authentication and credential security,Identity & access,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP005-authentication-and-credential-security.md,SRC-SP-NIST-63B-4;SRC-SP-OWASP-API,SP004,NONE
SP006,Session and device security,Identity & access,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP006-session-and-device-security.md,SRC-SP-NIST-63B-4;SRC-SP-OWASP-API,SP005,NONE
SP007,"MFA, account recovery and step-up authentication",Identity & access,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP007-mfa-account-recovery-and-step-up-authentication.md,SRC-SP-NIST-63B-4;SRC-SP-NIST-63-4,"SP005,SP006",NONE
SP008,Roles and permission model,Authorization,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP008-roles-and-permission-model.md,SRC-SP-OWASP-API;SRC-SP-PG-RLS,SP004,NONE
SP009,"Record, field and contextual access control",Authorization,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP009-record-field-and-contextual-access-control.md,SRC-SP-OWASP-API;SRC-SP-PG-RLS,"SP001,SP002,SP003,SP008",NONE
SP010,Module entitlements and feature access,Commercial & entitlement,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP010-module-entitlements-and-feature-access.md,SRC-SP-OWASP-API;SRC-SP-RFC-9110,"SP001,SP008",NONE
SP011,"Subscription, billing and usage metering",Commercial & entitlement,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP011-subscription-billing-and-usage-metering.md,SRC-SP-RFC-9110;SRC-SP-OWASP-API,"SP010,SP015,SP025",NONE
SP012,Approval framework and segregation of duties,Workflow & control,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP012-approval-framework-and-segregation-of-duties.md,SRC-SP-OWASP-API;SRC-SP-NIST-SSDF,"SP008,SP009",NONE
