flow_id,feature_id,feature_name,module,semantic_family,flow_type,primary_actor,entry_point,preconditions,trigger,steps,state_before,state_after,permission_gate,business_validation,concurrency_idempotency,visible_ui_state,downstream_effect,failure_recovery,audit_evidence,acceptance_test,status,reviewed_on
F001-PFC-01,F001,Leads,CRM,operational,ENTRY_CONTEXT,Sales user,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,Open the correct workspace/deep link and resolve authoritative tenant/company/site context before exposing actions.,For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Open the correct workspace/deep link and resolve authoritative tenant/company/site context before exposing actions.,OUTSIDE,DRAFT,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show entry context state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes ENTRY_CONTEXT for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
F001-PFC-02,F001,Leads,CRM,operational,HAPPY_PATH,Sales user,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,Complete the primary operator outcome from valid entry through durable success and visible confirmation.,For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Complete the primary operator outcome from valid entry through durable success and visible confirmation.,DRAFT,EXCEPTION,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show happy path state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes HAPPY_PATH for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
F001-PFC-03,F001,Leads,CRM,operational,ALTERNATE_PATH,Sales manager,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,Complete a valid alternate configuration/role/partial/approval path without bypassing invariants.,For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Complete a valid alternate configuration/role/partial/approval path without bypassing invariants.,READY,COMPLETED,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show alternate path state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes ALTERNATE_PATH for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
F001-PFC-04,F001,Leads,CRM,operational,PERMISSION_DENIED,Sales user,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,Reject unauthorized actor/scope/field/action before sensitive data or mutation is exposed.,For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Reject unauthorized actor/scope/field/action before sensitive data or mutation is exposed.,DRAFT,DRAFT,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show permission denied state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes PERMISSION_DENIED for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
F001-PFC-05,F001,Leads,CRM,operational,VALIDATION_FAILURE,Sales user,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,Reject invalid or stale business input with field/actionable errors and no partial side effects.,For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Reject invalid or stale business input with field/actionable errors and no partial side effects.,DRAFT,DRAFT,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show validation failure state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes VALIDATION_FAILURE for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
F001-PFC-06,F001,Leads,CRM,operational,CONCURRENCY_CONFLICT,Sales user,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,Detect or serialize concurrent actors so stale state cannot silently overwrite authoritative truth.,For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Detect or serialize concurrent actors so stale state cannot silently overwrite authoritative truth.,READY,CONFLICT_VISIBLE,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show concurrency conflict state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes CONCURRENCY_CONFLICT for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
F001-PFC-07,F001,Leads,CRM,operational,DUPLICATE_RETRY,Sales user,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,"Use idempotency/replay rules so duplicate submit, job, callback or client retry does not duplicate effects.","For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Use idempotency/replay rules so duplicate submit, job, callback or client retry does not duplicate effects.",REQUEST_IN_FLIGHT,ORIGINAL_RESULT_REUSED,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show duplicate retry state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes DUPLICATE_RETRY for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
F001-PFC-08,F001,Leads,CRM,operational,REVERSAL_RECOVERY,Sales manager,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,Use explicit cancel/reopen/reverse/compensate semantics rather than deleting authoritative history.,For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Use explicit cancel/reopen/reverse/compensate semantics rather than deleting authoritative history.,EXCEPTION,REVERSED_OR_REOPENED,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show reversal recovery state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes REVERSAL_RECOVERY for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
F001-PFC-09,F001,Leads,CRM,operational,DOWNSTREAM_FAILURE,Sales user,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,"Surface partial integration/worker failure, preserve source truth, retry safely and route persistent failures to an exception queue.","For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Surface partial integration/worker failure, preserve source truth, retry safely and route persistent failures to an exception queue.",LOCAL_COMMIT_OR_PENDING_EFFECT,EXCEPTION_VISIBLE,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show downstream failure state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes DOWNSTREAM_FAILURE for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
F001-PFC-10,F001,Leads,CRM,operational,RECONCILIATION_CLOSURE,Sales manager,CRM workspace / authorised deep link / related-record context,Authenticated tenant/company context; F001 permission and applicable scope; prerequisite records active and accessible.,Prove the feature result agrees with downstream ledger/stock/payment/payroll/project/audit truth where applicable and close exceptions visibly.,For Leads: resolve authorised context; load current authoritative state; evaluate the operational record/action lifecycle rules; execute only through the owning module command; persist transaction/audit/outbox atomically when writing; render the resulting state and permitted next actions. Path objective: Prove the feature result agrees with downstream ledger/stock/payment/payroll/project/audit truth where applicable and close exceptions visibly.,COMPLETED_WITH_DOWNSTREAM_EFFECTS,RECONCILED,Server checks module entitlement + CRM action permission + company/branch/site/project/warehouse/record/field scope before protected read/write.,Apply the frozen F001 semantic CORE/DATA/RULE requirements plus current effective configuration; stale/deleted/held/closed references and illegal transitions must fail server-side.,Read path uses version/freshness semantics; writes use optimistic version checks or row/advisory locks according to invariant risk. Retryable mutations require an idempotency key or stable natural replay key; duplicate result returns the original outcome.,"Show reconciliation closure state with role-appropriate actions, reason/error, current version, processing/disabled controls where applicable, and accessible status announcement. Desktop/tablet/mobile adaptation follows the dossier mobile classification and Experience Kernel.","Use only public module/shared-platform contracts listed by F001; audit/outbox is mandatory for material writes. If no business downstream effect applies, record an explicit NONE decision rather than performing hidden writes.","No partial authoritative mutation may remain after a synchronous failure. Unknown async/external outcome becomes pending/exception, is retried with backoff, and is reconciled before closure. Reversal is compensating/versioned, never destructive history deletion.",Correlation/request id + actor + scope + F001 command/query + before/after or decision reason + idempotency/retry metadata for material actions.,"Automated/E2E test executes RECONCILIATION_CLOSURE for F001, proves expected visible state and authoritative data/audit/downstream outcome, and proves prohibited side effects do not occur.",FROZEN,2026-08-31
